Country,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
Portugal,PerceptionsRisk,3.127659574,4,3.678571429,3.751879699,3.512396694,3.572815534,3.657142857,3.693877551,3.495726496,3.741071429,3.801652893,3.79245283,3.769230769,3.843137255
Poland,PerceptionsRisk,3.083333333,3.535714286,3.454545455,3.75862069,3.552083333,3.336842105,3.244897959,3.127659574,3.028846154,3.25,3.16,3.294117647,3.318681319,3.531914894
Belgium,PerceptionsRisk,4,4.666666667,3.833333333,4,3.666666667,4,3.2,3,3.166666667,3.166666667,3.666666667,3.4,3.666666667,3.833333333
Greece,PerceptionsRisk,4,4.384615385,3.880952381,3.763157895,3.277777778,3.571428571,3.6,3,3.414634146,3.575,3.756097561,3.425,3.918918919,4.166666667
United Kingdom,PerceptionsRisk,3.206521739,4.542372881,4.22173913,4.297674419,4.033707865,3.907894737,3.755681818,3.735632184,3.551351351,3.580645161,3.8,3.855555556,3.773006135,3.847058824
United States,PerceptionsRisk,2.571428571,3.555555556,3.9,4,3.555555556,3.529411765,3.540540541,3.303030303,3.5,3.648648649,3.657894737,3.666666667,3.653846154,3.432432432
Mexico,PerceptionsRisk,2.8125,3.588235294,4.057142857,4.212121212,4.24,4.045454545,4.043478261,4.173913043,4.142857143,3.846153846,4.25,4.678571429,4.428571429,4.407407407
Spain,PerceptionsRisk,3,4.227272727,4,4.244444444,4.289473684,4,3.818181818,3.675,3.45,3.717948718,4,3.95,4.060606061,4.2
Canada,PerceptionsRisk,2.642857143,3.333333333,3.97826087,3.871794872,3.571428571,3.566666667,3.314285714,3.25,2.972222222,3.117647059,3.2,3.166666667,3.37037037,3.5
Hungary,PerceptionsRisk,2.833333333,4.5,4.65,4.285714286,4.6,4.5,3.4,2.733333333,2.692307692,2.615384615,3.294117647,3.5,3,3.578947368
Angola,PerceptionsRisk,,,4,6,,,,,,,,,4,4
Ireland,PerceptionsRisk,4.5,4.5,4.833333333,4.833333333,4.25,4,3.4,3.6,3.4,3.6,3.8,3.2,3.333333333,3.8
Czech Republic,PerceptionsRisk,4.5,4,3.5,3.727272727,4.2,4,3.7,4.090909091,3.625,3.25,3.777777778,4.25,4.142857143,4.125
Italy,PerceptionsRisk,4.5,3.5,3.785714286,3.5,3.692307692,3.421052632,3.583333333,3.35,3.125,3.2,3.68,3.545454545,3.263157895,3.571428571
Ecuador,PerceptionsRisk,,,3,3,3,,,5,3,,,,,5
France,PerceptionsRisk,3.4,,4.3,4.6,3.428571429,3.714285714,4.2,3.857142857,3.428571429,4.555555556,4.4,4.2,4,4
Germany,PerceptionsRisk,3.25,3.25,4,4.125,3.5,4,3,3.4,3.833333333,3.428571429,3.125,2.571428571,3.166666667,3.714285714
Australia,PerceptionsRisk,2.5,3.888888889,3.583333333,4,3.363636364,2.888888889,2.818181818,2.375,2.375,2.888888889,3.7,3.3,3.428571429,3.625
Luxembourg,PerceptionsRisk,2,,4,3,5.5,4,2,3,4,3,4,4,4,3
Austria,PerceptionsRisk,,,4.25,3.25,3.666666667,5,4.333333333,3.333333333,4,4,5.5,4.333333333,4.5,5
New Zealand,PerceptionsRisk,3.5,2.5,2,2,2,,1,1,1,1,1,1.5,2,2
Slovenia,PerceptionsRisk,2.333333333,1,3.142857143,3.428571429,3,2.571428571,2.4,2.5,2.2,2.2,1.8,2.6,2.5,2.6
Denmark,PerceptionsRisk,6,,4,3.4,3.4,3.2,2,3.25,2.8,3.5,3.5,2.25,3.666666667,3
Norway,PerceptionsRisk,1,3.5,4,3,3,3,3.5,3,,2,2.5,2.666666667,2.666666667,2.666666667
Estonia,PerceptionsRisk,4,4,3.8,3.8,3.8,4.333333333,3.75,4,3.5,2.666666667,2.833333333,2.8,2.4,3.2
Finland,PerceptionsRisk,4,3,3.6,3,3.333333333,1.666666667,3,2.333333333,1.75,2,2,2.666666667,2.666666667,2.666666667
Netherlands,PerceptionsRisk,4.333333333,4,4.555555556,5,5.5,4.5,4,3.75,4,3.142857143,3.4,4.5,4,3.75
Switzerland,PerceptionsRisk,6,6,3.666666667,4.5,3.666666667,4.5,3.5,4,4,4.25,4.333333333,4.666666667,4.666666667,4.666666667
Latvia,PerceptionsRisk,2,4.5,4.25,4.4,3.75,3.25,3,2.4,2.25,1.75,2,2,1.5,1.75
Sweden,PerceptionsRisk,4.333333333,5.5,5,5,4.6,5,3.666666667,4,4.25,4.333333333,4,4.4,4.75,5
South Korea,PerceptionsRisk,,,2,5,3,1,1,2,1,2,2,2,2,3
Israel,PerceptionsRisk,3,1,2.714285714,2.714285714,2.285714286,3,2.333333333,2.714285714,2.571428571,3.142857143,3,3.142857143,3.6,2.666666667
Chile,PerceptionsRisk,2,5.333333333,4.4,4.8,3.75,5.333333333,4.75,3.833333333,4.6,3.4,4.5,4,4.4,3.833333333
Turkey,PerceptionsRisk,,7,7,7,7,,7,,7,7,7,7,7,7
World,PerceptionsRisk,3.130990415,4.046875,3.914539401,4,3.763888889,3.678456592,3.553254438,3.471212121,3.370990237,3.47954866,3.638666667,3.654178674,3.666666667,3.767062315
Portugal,PFIHumanitySharedFate,4.522727273,4.553191489,4.75,4.886363636,4.75862069,4.679245283,4.692307692,4.621359223,4.706896552,4.758928571,4.975409836,4.735849057,4.942857143,4.941176471
Poland,PFIHumanitySharedFate,4.428571429,4.166666667,4.520661157,4.525862069,4.804123711,4.538461538,4.477777778,4.568421053,4.475728155,4.567010309,4.545454545,4.613861386,4.549450549,4.430107527
Belgium,PFIHumanitySharedFate,4,2.5,2.833333333,3.333333333,3.2,3,3.2,3.166666667,3.166666667,3.333333333,3.333333333,2.8,3.166666667,3.166666667
Greece,PFIHumanitySharedFate,4.416666667,4.083333333,4.404761905,4.631578947,4.125,4.441176471,4.342105263,4.135135135,4.292682927,4.275,4.365853659,4.55,4.297297297,4.514285714
United Kingdom,PFIHumanitySharedFate,4.079545455,4.044776119,4.726086957,4.841860465,4.756756757,4.766233766,4.6875,4.803680982,4.545945946,4.661290323,4.656716418,4.709497207,4.644171779,4.588235294
United States,PFIHumanitySharedFate,5.260869565,4.666666667,5.057142857,4.62962963,4.428571429,4.342857143,4.789473684,4.571428571,4.1875,4.837837838,4.763157895,4.666666667,5.153846154,5.216216216
Mexico,PFIHumanitySharedFate,4.5625,5.1,5.085714286,4.878787879,5.384615385,5.789473684,4.958333333,5.041666667,4.642857143,4.884615385,4.875,4.785714286,5.107142857,5.259259259
Spain,PFIHumanitySharedFate,4.555555556,4.578947368,4.565217391,4.533333333,4.378378378,4.424242424,4.675675676,4.513513514,4.25,4.333333333,4.829268293,4.6,4.545454545,4.45
Canada,PFIHumanitySharedFate,4.882352941,5.066666667,4.869565217,4.615384615,4.361111111,4.733333333,4.685714286,4.515151515,4.194444444,4.735294118,4.228571429,4.6,4.407407407,4.5625
Hungary,PFIHumanitySharedFate,3.4,3.5,4.35,4,4.235294118,3.9375,3.823529412,3.888888889,3.692307692,4.769230769,3.882352941,4.125,4,4.263157895
Angola,PFIHumanitySharedFate,,,3,3,,,,,,,,,4,2
Ireland,PFIHumanitySharedFate,,3,4.5,3.833333333,4.333333333,3.75,4.75,5.5,4.6,5,5.2,5,4.166666667,4.8
Czech Republic,PFIHumanitySharedFate,3.75,5.5,4.583333333,4.454545455,4.181818182,5.285714286,3.375,4.444444444,3.875,3.5,4,4,4,4.25
Italy,PFIHumanitySharedFate,5,4.8,4.964285714,4.846153846,4.72,4.333333333,4.428571429,4.565217391,4.375,4.72,5,4.818181818,5.157894737,5.047619048
Ecuador,PFIHumanitySharedFate,,,2,4,4,,,5,6,,,,,4
France,PFIHumanitySharedFate,4.333333333,4.2,4.7,4.1,4.111111111,4.25,4.375,4.333333333,4.571428571,4,4.8,4.6,4,4.5
Germany,PFIHumanitySharedFate,5,4.333333333,4.5,4.25,3.5,3,4.666666667,3.6,4.166666667,4.285714286,3.875,3.428571429,3.833333333,3.857142857
Australia,PFIHumanitySharedFate,4.111111111,5.285714286,5.166666667,4.916666667,4.5,4.7,4.6,3.7,4.875,4.666666667,4.9,4.777777778,4.857142857,5.25
Luxembourg,PFIHumanitySharedFate,2,1,4,5,7,5.5,5,4,5.5,5,4,4,4,4
Austria,PFIHumanitySharedFate,6,5,5.25,4.5,4.333333333,3.5,4.25,2.5,4,4.333333333,4,3.666666667,4.5,5
New Zealand,PFIHumanitySharedFate,4.5,4,3.5,3.5,4,3,3.5,3.5,4,4,4.5,4.5,4,4.5
Slovenia,PFIHumanitySharedFate,5,5,4.428571429,4.142857143,4.428571429,4.571428571,4.6,3.5,4.2,5.8,5.6,5,5.5,5.2
Denmark,PFIHumanitySharedFate,,,3.6,3,3,3,3.2,3.25,2.8,2.75,4.75,2.75,2.666666667,2.75
Norway,PFIHumanitySharedFate,2,1.666666667,4.333333333,2.5,3,4,3,5,,6,3,5,5,5
Estonia,PFIHumanitySharedFate,3.5,1,4.2,4,3.8,4,3.25,5,4.75,3.166666667,3.833333333,4,4.2,3.6
Finland,PFIHumanitySharedFate,3,4,4.2,4,4,4,4.4,4.333333333,4,4.333333333,4.5,4,4.333333333,4
Netherlands,PFIHumanitySharedFate,,3,3.777777778,4.142857143,4.166666667,4,4.5,3.5,4.166666667,4.285714286,3.8,4.333333333,4,4
Switzerland,PFIHumanitySharedFate,7,5,3.666666667,4.25,4,3.333333333,3.666666667,5,5.666666667,5.25,6.333333333,6.666666667,6.666666667,6.333333333
Latvia,PFIHumanitySharedFate,4,,4.5,3.4,4.5,4.25,4,4.75,4,5,5.25,4.4,4.5,5.5
Sweden,PFIHumanitySharedFate,4,3.333333333,4,4.5,4.6,5.5,3.75,3,3.5,5.333333333,4.4,4.6,4.5,4.75
South Korea,PFIHumanitySharedFate,,,4,5,4,4,3,4,4,4,4,4,4,4
Israel,PFIHumanitySharedFate,3,,3.857142857,4.428571429,4,3.833333333,3.4,4.857142857,4.142857143,4.428571429,3.142857143,4.571428571,4.8,4.5
Chile,PFIHumanitySharedFate,3,5,3.2,4.2,4,4,3.75,3.6,3.6,4.6,4.5,4.833333333,4.6,5
Turkey,PFIHumanitySharedFate,5,,6,5,5,2,1,6,3,6,6,5,6,5
World,PFIHumanitySharedFate,4.376623377,4.309803922,4.658157603,4.633333333,4.58668516,4.564516129,4.522255193,4.538577912,4.425174825,4.6,4.636968085,4.616497829,4.641955836,4.651785714
Portugal,PFIHumanityEmpathy,5.886363636,6.106382979,5.857142857,5.894736842,5.715517241,5.698113208,5.6,5.504854369,5.700854701,5.598214286,5.770491803,5.481132075,5.542857143,5.558823529
Poland,PFIHumanityEmpathy,5.342857143,5.333333333,5.52892562,5.543103448,5.556701031,5.32967033,5.211111111,5.231578947,5.163461538,5.24742268,5.151515152,5.235294118,5.087912088,5.085106383
Belgium,PFIHumanityEmpathy,5.5,3.5,4.166666667,4.5,4,4,4,4.166666667,3.333333333,3.5,3.833333333,3.6,3.833333333,3.5
Greece,PFIHumanityEmpathy,6.083333333,5.75,5.857142857,5.736842105,5.46875,5.382352941,5.736842105,5.459459459,5.512195122,5.575,5.073170732,5.3,5.486486486,5.6
United Kingdom,PFIHumanityEmpathy,5.5,5.492537313,5.844155844,5.706976744,5.486486486,5.619354839,5.392045455,5.36809816,5.378378378,5.252688172,5.268656716,5.353932584,5.306748466,5.241176471
United States,PFIHumanityEmpathy,5.695652174,5.166666667,5.914285714,5.666666667,5.285714286,5.514285714,5.421052632,5.485714286,4.96875,5.324324324,5.315789474,5.3,5.576923077,5.513513514
Mexico,PFIHumanityEmpathy,5.941176471,6.3,6,5.909090909,5.884615385,5.947368421,6.125,5.916666667,5.571428571,5.615384615,5.46875,5.642857143,5.607142857,5.777777778
Spain,PFIHumanityEmpathy,5.111111111,5.421052632,5.47826087,5.155555556,5.081081081,4.878787879,5.243243243,5.189189189,4.925,4.948717949,5.12195122,4.975,5,5.05
Canada,PFIHumanityEmpathy,5.941176471,5.866666667,5.673913043,5.512820513,5.416666667,5.6,5.542857143,5.575757576,5.305555556,5.235294118,5.542857143,5.4,5.148148148,5.34375
Hungary,PFIHumanityEmpathy,5.4,5.5,5.65,5.666666667,5.647058824,5.5,5.176470588,5.222222222,5.307692308,5.384615385,4.588235294,4.625,4.733333333,5
Angola,PFIHumanityEmpathy,,,6,6,,,,,,,,,6,6
Ireland,PFIHumanityEmpathy,,5.5,6.166666667,5.666666667,6,5.25,5.5,6.25,6.2,5.4,5.4,5.8,5.333333333,5.4
Czech Republic,PFIHumanityEmpathy,6.25,6,5.666666667,5.545454545,5.181818182,5.428571429,5.125,5.111111111,4.625,4.875,5.222222222,4.75,5.142857143,5.125
Italy,PFIHumanityEmpathy,6.166666667,6.2,6.035714286,5.846153846,5.68,5.333333333,5.619047619,5.47826087,5.041666667,5.44,5.56,5.545454545,5.526315789,5.142857143
Ecuador,PFIHumanityEmpathy,,,7,6,6,,,7,6,,,,,6
