State_full,State,Count,Sex,Covid_infected,Age
Alabama,AL,9,55,0,37.3
All states,,915,51,43,46.1
Arizona,AZ,22,45,0,49.5
Arkansas,AR,9,55,0,45.7
California,CA,96,44,2,44.7
Colorado,CO,13,30,1,56
Connecticut,CT,5,60,0,41.8
Delaware,DE,3,100,1,38.6
District of Columbia,DC,2,100,0,46.5
Florida,FL,71,45,6,51.2
Georgia,GA,39,56,1,47.1
Hawaii,HI,5,0,0,46.2
Idaho,ID,4,25,0,47.5
Illinois,IL,29,48,6,47.3
Indiana,IN,18,38,2,46.3
Iowa,IA,7,42,1,42
Kansas,KS,5,80,1,50.2
Kentucky,KY,14,50,0,48.7
Louisiana,LA,8,75,1,43.6
Maine,ME,2,50,0,21
Maryland,MD,16,43,0,40
Massachusetts,MA,27,37,2,46
Michigan,MI,27,59,0,53.4
Minnesota,MN,7,14,0,40
Mississippi,MS,5,60,0,55.2
Missouri,MO,12,50,1,48
Montana,MT,1,0,0,63
Nebraska,NE,5,40,1,48.2
Nevada,NV,7,28,0,48.7
New Hampshire,NH,4,50,0,57.2
New Jersey,NJ,25,48,3,49.4
New Mexico,NM,4,50,0,56.7
New York,NY,99,58,2,38.5
North Carolina,NC,33,54,1,48.3
Ohio,OH,36,58,1,51.3
Oklahoma,OK,14,50,2,47.9
Oregon,OR,15,40,1,44.6
Pennsylvania,PA,33,51,1,45.7
Puerto Rico,PR,1,0,0,31
Rhode Island,RI,2,50,1,53
South Carolina,SC,13,61,0,51.5
South Dakota,SD,1,0,0,38
Tennessee,TN,16,75,1,46.8
Texas,TX,70,57,2,44.9
Utah,UT,1,0,0,41
Vermont,VT,3,66,0,47.3
Virginia,VA,20,75,1,43.7
Washington,WA,26,42,0,47.2
West Virginia,WV,4,100,0,49
Wisconsin,WI,15,40,1,46.8
