State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Pennsylvania,Age,45.76,45.61,44.85,45.17,48.67,49.91,48.05,46.09,46.76,45.46,45.87,51.18
Virginia,Age,43.7,46.55,42.17,48.79,44.08,47,39.43,46,49.13,50.8,47.5,43.75
Tennessee,Age,46.88,51.5,49.92,49.18,48.6,48.75,51.11,52.78,60.5,52.2,53,55.5
California,Age,44.72,45.2,47.39,47.05,47.13,48.6,47.17,47.87,48.12,48.18,49.5,51.35
Georgia,Age,47.18,50.17,54.15,52.2,53.45,54.5,57,55.35,54.5,57.47,56.39,54.67
Texas,Age,44.96,46.86,48,47.7,49.86,48.79,48.45,51.3,49.52,50.51,51.5,47.81
Massachusetts,Age,46,49.35,50.55,50.88,51.81,51.8,52.09,52.13,55.5,52.17,51.19,50.25
New York,Age,38.56,44.58,49.08,47.54,48.86,50.22,50.54,51.31,51.5,49.24,49.22,50.5
Kentucky,Age,48.71,51.33,49.15,48.55,48.82,48.91,53.14,50.44,54.71,53.89,53.13,53
Maryland,Age,40.06,48.9,44.45,45.08,50.4,49.8,53.22,51.1,51.2,47.78,51.13,49.78
Washington,Age,47.27,53.94,51.84,49.24,50.88,53.18,50.08,51.08,50.92,55.17,53.45,53.6
Indiana,Age,46.33,47.54,47.93,48.07,47.6,49.6,50,52.4,53.89,57.86,56,58.13
Ohio,Age,51.36,55.16,54.07,54,54.74,54.33,54.16,56.33,56.13,56.05,54.57,54.57
Michigan,Age,53.48,53.87,55.38,53.71,56.1,56.47,55.76,53.78,53,56.87,56.5,55.86
Hawaii,Age,46.2,47.75,46.4,48,46.75,46.6,48,46.8,57.5,55,52.33,57.5
North Carolina,Age,48.36,48.5,50.36,51,56.47,52.53,51.68,52.61,52.72,52.89,50.68,51.81
Oregon,Age,44.67,45.79,44.33,46,47.8,47.8,47.78,47.78,45,44.44,47.5,48.67
New Mexico,Age,56.75,64,66.67,66.67,66.67,61,67.33,67.33,61.5,67.33,61.5,62
Florida,Age,51.27,53.02,54.57,55.79,54.41,55.98,55.98,56.5,56.13,57.08,54.54,56.03
Illinois,Age,47.31,46.38,48.86,49.91,48.52,49.14,48.38,46.12,50.29,47.06,52.07,50.43
Arizona,Age,49.59,51.07,50.53,50.58,49.06,53.27,53.21,49.13,51.36,50.5,51.44,52.58
Colorado,Age,56.08,59.1,60,58.78,60.1,55.3,58,60.71,58.13,58.13,57.9,59.56
Oklahoma,Age,47.93,54.67,51.78,54.13,54.5,53.6,51.83,56.17,56.67,53.2,55.43,55.86
Missouri,Age,48.08,47.73,51.89,46.7,48.29,49.33,58.17,56.17,56.17,56.17,53.71,55.2
Arkansas,Age,45.78,46.5,51.25,51.6,58,58,56.25,51.5,56.75,58.67,59,58.67
Idaho,Age,47.5,50.67,47,51,51.33,60,51.67,51.67,51.67,51.67,51.67,51.67
Alabama,Age,37.33,40.71,39.38,39.38,47.67,38.33,47.5,34.5,49,0,0,0
West Virginia,Age,49,49.25,49.25,49.25,54.67,56.5,41.5,49,49,49.33,49.33,49.33
Puerto Rico,Age,31,31,31,31,31,31,31,31,31,31,31,32
Vermont,Age,47.33,47.33,54.5,54.5,54.5,54.5,54.5,55,71,55.5,55.5,72
Montana,Age,63,63,63,63,64,64,0,64,64,64,64,0
Wisconsin,Age,46.8,49.82,48.67,50.27,49.08,50.44,50.56,51.5,57.86,54.78,61.6,54
Kansas,Age,50.2,50.2,60,48.25,59.67,60.5,50.67,47,52,69,0,0
District of Columbia,Age,46.5,65,47,47,66,66,47,66,66,0,66,66
Louisiana,Age,43.63,43.75,40.71,40.86,44.13,47.17,43.17,46.43,47.33,41.2,43.67,43.67
Minnesota,Age,40,40,50.25,47.8,55.33,64,57,57,57,0,29,43.5
South Carolina,Age,51.54,53.64,51.33,47.9,54.22,49.38,53.33,58.75,53.75,60.2,60.2,54.17
Iowa,Age,42,46.2,52.75,46.4,52.75,50.67,47,55.5,45.67,37,55.5,55.5
New Jersey,Age,49.4,51.14,53.75,48.42,47.74,53.38,52.9,52.6,53.45,51.25,53.11,58
Nebraska,Age,48.2,54,48.2,48.4,54.25,54.25,62.33,54.5,62.33,55,63,63
New Hampshire,Age,57.25,56.67,56.67,56.67,65.5,63.67,66,63.67,66,66,66.5,66.5
Mississippi,Age,55.2,60.33,59.67,52,52,60,52.25,52.5,60.67,60.67,52.75,62
none,Age,35.42,51,64,64,64,62,62,62,62,0,0,62
Rhode Island,Age,53,53,53,53,70,0,37,54,0,0,54,54
Nevada,Age,48.71,53.2,50.2,50.17,52.2,50.17,52.2,50.33,52.6,53.25,50.6,50.8
Delaware,Age,38.67,42,42,40,41,42,41,41,40,41,41,40
Connecticut,Age,41.8,62,50.67,62,62.5,51,76,76,76,52,76,76
South Dakota,Age,38,0,38,38,0,38,0,0,0,0,0,0
Utah,Age,41,41,41,41,41,41,41,41,0,42,0,42
Maine,Age,21,0,0,0,0,0,0,0,0,21,0,0
All states,Age,46.19,49.1,50.1,49.65,50.96,51.52,51.46,51.63,52.56,52.23,52.43,52.77
Pennsylvania,PerceptionRisk,3.72,3.96,4,4.13,3.67,3.41,3.58,3.05,2.88,2.85,3.4,3.36
