Context,Node
1,societal-advantage
2,societal-advantage
2,people
3,climate
3,societal-advantage
4,societal-advantage
4,irrigation
5,societal-advantage
5,pizarro
5,technology
5,germs
6,humans
6,europe
6,africa
6,asia
7,humans
7,oceania
7,animals
8,humans
8,americas
8,animals
9,oceania
9,societal-advantage
9,new-zealand
9,chatham
9,war
9,isolation
9,size
9,population
9,technology
10,oceania
10,food-production
10,animals
10,population
10,climate
11,societal-advantage
11,americas
11,technology
11,war
11,population-displacement
11,europe
11,pizarro
11,incas
12,incas
12,germs
12,pizarro
12,americas
12,europe
13,societal-advantage
13,technology
13,europe
13,americas
13,central-government
14,societal-advantage
14,writing
14,europe
14,americas
14,incas
14,pizarro
15,food-production
15,population
15,animals
15,plants
15,technology
15,central-government
15,writing
15,religion
15,societies
15,animals
15,plants
16,animals
16,war
16,transportation
16,plants
16,clothes
17,food-production
17,plant-domestication
17,animal-domestication
17,founder-package
17,fertile-crescent
17,china
17,mesoamerica
17,eastern-us
17,sahel-zone
17,west-africa
17,ethiopia
17,new-guinea
17,africa
17,americas
17,oceania
18,food-production
18,founder-package
18,cultural-diffusion
18,population-displacement
18,technology
18,germs
18,societal-advantage
18,early-food-production
18,egypt
18,europe
18,south-africa
18,south-west-us
18,california
18,north-west-america
18,argentine
18,australia
18,siberia
18,hunter-gatherers
19,food-production
19,population
19,technology
19,isolation
19,climate
19,hunter-gatherers
19,california
19,south-africa
19,australia
20,plant-domestication
21,plant-domestication
21,fertile-crescent
22,founder-package
22,plants
22,clothes
22,nutrition
23,food-production
23,animals
23,europe
23,asia
23,africa
23,americas
23,oceania
24,plant-domestication
24,plants
25,societal-advantage
25,food-production
25,environment
25,people
25,food-production-inequalities
25,fertile-crescent
25,new-guinea
25,south-west-us
26,food-production-inequalities
26,fertile-crescent
26,environment
26,climate
26,mesoamerica
26,size
27,food-production-inequalities
27,people
27,environment
27,hunter-gatherers
27,new-guinea
27,animal-domestication
27,plant-domestication
27,plants
27,animals
28,food-production-inequalities
28,environment
28,eastern-us
28,plants
28,animals
28,plant-domestication
28,animal-domestication
29,food-production-inequalities
29,environment
29,plants
29,animals
30,food-production-inequalities
30,animal-domestication
30,animals
30,transportation
31,animal-domestication
31,europe
31,africa
31,americas
31,oceania
31,humans
31,societal-advantage
31,food-production-inequalities
31,asia
32,food-production-spread
32,geography
32,europe
32,africa
32,americas
32,oceania
32,climate
32,asia
33,germs
33,war
33,americas
33,europe
33,africa
33,oceania
34,germs
34,food-production
34,animals
34,population
35,germs
35,americas
35,europe
35,asia
35,africa
35,societal-advantage
36,writing
37,writing
37,central-government
38,writing
38,isolation
38,americas
38,africa
38,oceania
39,technology
40,technology-adoption
41,technology-adoption
42,technology-adoption
42,cultural-diffusion
42,population-displacement
42,isolation
42,europe
42,asia
43,mesoamerica
43,south-american-andes
43,technology
43,americas
43,animals
43,transportation
44,societies
44,population
45,societies
45,bands
45,new-guinea
45,americas
46,tribes
46,food-production
46,societies
47,chiefdoms
47,societies
47,religion
47,central-government
47,technology
48,states
48,societies
48,war
48,religion
49,states
49,writing
50,population
50,societies
50,central-government
51,societies
51,war
53,new-guinea
53,food-production
53,climate
53,population
53,hunter-gatherers
53,technology
53,animals
53,indonesia
53,isolation
53,societies
53,bands
53,tribes
54,australia
54,societal-advantage
54,environment
54,climate
54,isolation
54,indonesia
54,technology
54,animals
54,food-production
54,new-guinea
55,isolation
55,population
55,technology
55,societal-advantage
55,oceania
55,australia
55,new-guinea
55,tasmania
56,cultural-diffusion
56,language
56,genetics
56,population-displacement
57,new-guinea
57,germs
57,europe
57,isolation
57,cultural-diffusion
57,australia
57,population-displacement
57,war
57,founder-package
57,societal-advantage
58,china
58,language
58,population-displacement
58,east-asians
58,philippines
58,indonesia
58,austronesean-expansion
59,china
59,food-production
59,writing
59,technology
59,germs
59,early-food-production
60,china
60,writing
60,language
60,east-asians
60,population-displacement
60,korea
60,japan
60,cultural-diffusion
60,early-food-production
60,austronesean-expansion
60,hunter-gatherers
60,east-asians
60,genetics
61,austronesean-expansion
61,polynesia
61,hawaii
61,madagascar
61,chatham
61,east-asians
61,language
61,genetics
61,technology
61,food-production
61,australia
61,new-guinea
61,malay-peninsula
61,china
61,societal-advantage
61,population-displacement
61,philippines
61,indonesia
62,europe
62,new-zealand
62,hawaii
62,new-caledonia
62,polynesia
62,climate
62,polynesia
62,societal-advantage
63,societal-advantage
63,europe
63,americas
63,early-food-production
63,environment
63,isolation
63,geography
63,technology
63,writing
63,germs
64,societal-advantage
64,europe
64,americas
64,climate
64,central-government
64,food-production
65,africa
65,blacks
65,whites
65,khoisan
65,pygmies
65,asians
65,austronesean-expansion
65,south-saharan-africa
65,madagascar
65,north-saharan-africa
65,hunter-gatherers
65,south-africa
66,population-displacement
66,blacks
66,khoisan
66,pygmies
66,genetics
66,language
67,africa
67,founder-package
67,sahel-zone
67,ethiopia
67,west-africa
67,fertile-crescent
67,china
67,animals
68,madagascar
68,cultural-diffusion
68,technology
68,food-production
68,austronesean-expansion
69,population-displacement
69,bantu
69,pygmies
69,khoisan
69,societal-advantage
69,technology
69,early-food-production
69,west-africa
69,ethiopia
69,sahel-zone
69,food-production
69,south-africa
69,climate
70,societal-advantage
70,europe
70,africa
70,early-food-production
70,geography
70,size
71,societal-advantage
71,environment
71,geography
71,isolation
71,population
71,size
72,societal-advantage
72,fertile-crescent
72,europe
73,societal-advantage
73,europe
73,china
73,central-government
74,societal-advantage
