Id,Context
1,"In the twentieth century there were vast differences in societies around the world. Most were literate industrial populations but there were also many farmer-based societies, and even some hunter gatherers with stone tools. The societal differences were so vast that a handful of societies managed to overpower and extert their will in many other via expansionism, colonialism and so on. Why were they able to do so? Someone who has spent time in such diverse societies can see that it's not like people in one society are any less intelligent, so why and how did these differences emerge? This is what this book tries to answer. Why did societal and technological development proceed in such different rates in different parts of the world?"
2,"Not only do older attempts to explain developmental differences according to differences in populations' intelligence (the non white Europeans being less intelligent) have no merit as no convincing proof was ever presented, but Diamond believes westerners might actually be in disadvantage after spending a lot of time with New Guinean aboriginals who to him seem more intelligent. He believes they might be more intelligent because 1) intelligence probably plays much more a role in survival there compared to the Western world where people survive more indiscriminately, and 2) because kids grow up with no TV, spending their whole time talking, playing, and engaging with others, so with a lot of stimuli believed to be vital by Western scientists. So, the question becomes, why did the Europeans develop more quickly even though they might be less intelligent?"
3,"One explanation given in the past to explain developmental differences in societies is that of weather. The argument is that a varying climate pushed people to be more inventive, develop warmer clothes and homes and so on. Weather on its own is inadequate to explain these developmental differences. It's inadequate because Northern Europeans largely benefited by inventions developed elsewhere like the wheel, metallurgy, print etc, and in America all significant inventions happened around the equator which is where the largest civilisations also grew."
4,"Another explanation sometimes used to explain these developmental differences between societies is about low land river valleys in dry climates. In such areas farming requires irrigation control which is hard to implement so such efforts might have given rise to central government. Again, this explanation is adequate due to the various exceptions where societal developments did not follow irrigation developments, or where such river valleys never developed irrigation at all. "
5,"Guns, germs, and steel are much better in explaining the developmental differences between societies, as at least they talk about the actual means by which the Europeans dominated the rest. But we should look at how and why those things developed, and why Africa with a head start on civilisation and plenty deadly viruses was surpassed. A good starting point to understand the impact of guns, germs and steel is to look at the spectacular example of Pizarro."
6,"Human history began in Africa 7(+/- 2) million years ago when a population of apes broke up into three. One group to eventually become the gorillas, the other the chimpanzees (common and bonobo), and the third one the humans. Our human ancestors only managed to leave Africa about 2 million years ago with homo erectus who were already using stone tools. Homo sapiens with their large brains appeared about half a million years ago along with the use of fire. Neanderthals appeared about 130.000-40.000 years ago in Europe and east Asia, with larger brains than modern humans, and the first evidence of burying their dead and caring for their sick. In other parts of the world like Africa and Western Asia skeletons of that time look closer to modern humans, but they all still used very crude tools and still seem to only hunt very easy to kill non-dangerous prey. Modern humans only seemed to arrive around 50 thousand years ago, with standardised tools, multi piece tools, clothes, jewellery, and art."
7,"A couple of important milestones happened around 40.000 years ago when humans first arrived in Australia and New Guinea. Firstly, the event itself is indisputable proof that humans were decent seafarers. Secondly, the extinction of all large animals in that continent probably (but not certainly) connected to the arrival of humans."
8,"It's not exactly clear when, but by 12.000 years ago humans had certainly crossed to the Americas, and subsequently populated the last remaining continent. To do so they would have to occupy Siberia first which required the development of warm clothes and houses. Their arrival again coincides with the extinction of most large animals in the continent, including elephants, lions, and giant sloths. Climate changes (the latest ice age) are also provided as alternative causes for the extinction, but between evidence that humans preyed on such animals and the animals surviving the previous 22 ice ages but still somehow collectively going extinct now, the overkill theory seems more likely."
9,"The Chatham Island became home of the Moriori. The cold climate didn't allow for cultivating the known crops so after settlement the Moriori reverted to older ways of life and technology and evolved into hunter-gatherer societies. This did not allow any extra food to be left for other professions. The small size of the island greatly restricted population numbers and due to the absence of soldiers, chieftains etc they resolved for peaceful solutions with male babies being castrated for population control. All this was supported by the Morioris isolation as their small island was hard to reach and once settled pretty much evolved on its own. The Maori of northern New Zealand, on the other hand, grew plenty of crops and could afford professional soldiers, technicians etc. They lived in large settlements with political structures and often came in conflict with neighbouring settlements so were used to ongoing war. These societal differences were enough so that when the Maori heard about the Moriori lands and their peaceful ways they paid them a visit slaughtering the Moriori. Both populations had a common origin, and were socially and technologically similar less than 500 years prior to the conflict. "
10,"In Polynesia there are only three domesticated animals that were all brought by settlers, pigs, chickens and dogs. Not all three made it to all islands and no additional animals were domesticated. But in any case, these animals only consisted a smaller part of people’s diet who mostly relied on farming plants. The various plants cultivated were also brought by settlers and were all tropical plants so couldn't be effectively grown in colder climates forcing people on such islands to revert to hunter-gatherer lives. Food production was the main decider on population density on the islands. Total populations were sometimes occupying multiple close islands when travel was easy, or could be split in a single Island if there were natural barriers. Generally, large populations with high density had more of a food surplus which allowed for non food producer specialist classes that produced better technologies, warriors, chiefs and priests creating more complex and structured political systems with tendencies to expand, build larger monuments, ships, and so on. By the time the Europeans re-discovered Polynesia there were already various naval empires in place."
