Context,Node
1,elastic-thinking
1,adaptability
1,creativity
1,paradigm-shift
2,elastic-thinking
2,rational-thinking
2,scripted-behaviour
3,reward-system 
3,human-temperament 
3,neophilia
4,neophilia
5,epigenetics
5,adaptability
6,neophilia
7,scripted-behaviour
7,mindfulness
8,mindfulness
8,focus
8,scripted-behaviour
9,analytical-thinking 
9,elastic-thinking
10,analytical-thinking 
10,elastic-thinking
10,problem-solving
10,reward-system 
11,problem-solving
12,elastic-thinking
12,scripted-behaviour
12,emergence
13,paradigm-shift
13,adaptability
14,problem-solving
15,elastic-thinking
15,default-mode
16,default-mode
16,associative-thinking
17,associative-thinking
18,rest 
18,associative-thinking
18,creativity
18,procrastination 
19,left-right-brain
20,left-right-brain
20,insight
20,problem-solving
21,left-right-brain
21,problem-solving
22,insight
22,inflexible-thinking
22,creativity
23,inflexible-thinking
23,momentum-of-thought
23,functional-fixedness 
24,inflexible-thinking
24,momentum-of-thought
25,frozen-thinking 
25,critical-thinking 
25,inflexible-thinking
26,frozen-thinking 
26,beginners-mind
27,problem-solving
27,inflexible-thinking
28,frozen-thinking 
28,experts
28,beginners-mind
29,inflexible-thinking
30,cognitive-filter
31,creativity
31,cognitive-filter
32,cognitive-filter
32,creativity
33,analytical-thinking 
33,elastic-thinking
34,cognitive-filter
34,cannabis
35,cognitive-filter
35,alcohol
36,default-mode
36,lsd 
36,psilocybin
37,creativity
37,ayahuasca
38,analytical-thinking 
38,elastic-thinking
39,elastic-thinking
39,happiness
