Id,Context
1,"One of the new 'talents' that can aid us navigate a rapidly changing world is 'the capacity to let go of comfort and become accustomed to ambiguity and contradiction, to raise above convention, to reframe questions, to abandon assumptions, open to new paradigms, more imagination and less reasoning to integrate ideas, experiment and tolerate failure. Due to new findings, all these seem to form a coherent cognitive style. We'll call all this elastic thinking. Bottom-up, non-linear processing, less directed and more informed by emotional centres'. "
2,Scripted behaviours in primal life are extended with rational thinking and elastic thinking. 
3,"There are four basic traits of human temperament: reward dependence, harm avoidance, persistence, and neophilia (attraction to novelty and change). "
4,"Humans are particularly interested in the new, in exploration, compared to other species. Still, tedious tasks were the norm until very recently, and the word boring didn't even enter the vocabulary until the late 18th century and the Industrial Revolution. Our appetite for stimuli and change has grown dramatically ever since. "
5,Epigenetics is the field of studying cells modifying bits of DNA and related proteins to turn on/off genes in response to environmental changes. Epigenetics is little understood but can be driven by habits and behaviours and even be hereditary.
6,135k years ago humanity was reduced to about 600 individuals after a major catastrophe. It is theorised that the survivors had a greater edge for exploration which resulted in unpreceded explorations/colonializations from their descendants in the next few millennia. There has even been a gene found connected to explorations (dopamine-driven) that seems stronger on populations further removed from their origins. 
7,"Scripted behaviours are fairly common in humans even if often we are not aware of them. In that sense, responses are mindless as they are simple scripted responses to given triggers. In contrast, mindful responses are following some thinking which can be either rational or elastic. "
8,Research suggests that mindful practice 3-6 times a week will observably increase your ability to reduce scripted responses and raise other executive functions such as focus. 
9,The difference between making a computer that can play chess and one that can compose music is similar to the difference between analytical and elastic thinking. 
10,"Without the reward system, we are unable to take pleasure in reaching goals and therefore we are unable to reach decisions on open-ended questions like where to eat, as illustrated by a patient with an impaired reward system. Analytical thinking alone is similarly inadequate. Elastic thinking is essential whenever you need to formulate and invent criteria for choice. "
11,"Satisfiers vs maximisers. Satisfiers take the first good enough choice, while maximisers are looking for optimal choices. The maximising strategy usually leaves people depleted and less satisfied therefore only worth doing for important stuff like doctors, life partners and so on."
