Context,Node,
1,paran,
1,whiskeyjack,
3,sorry,
4,paran,
4,lorn,
2,shadowthrone,
2,sorry,
2,hounds,
5,tattersail,
5,bridgeburners,
5,hairlock,
5,whiskeyjack,
5,kalam,
5,quick,
5,fiddler,
5,mallet,
5,hedge,
5,trotts,
5,sorry,
6,tattersail,
6,tayschrenn,
6,sorry,
7,caladan,
7,tiste-andii,
7,crimson-guard,
8,anomander,
8,tayschrenn,
8,nightchill,
8,bellurdan,
8,tattersail,
8,hairlock,
8,akaronys,
9,quick,
9,kalam,
9,whiskeyjack,
9,hairlock,
9,tayschrenn,
9,tattersail,
9,sorry,
9,nightchill,
9,akaronys,
9,calot,
9,bridgeburners,
10,paran,
10,lorn,
10,sorry,
10,bridgeburners,
11,tattersail,
11,bellurdan,
11,nightchill,
12,tattersail,
12,tayschrenn,
12,oppon,
12,anomander,
12,shadowthrone,
12,sorry,
13,paran,
13,tayschrenn,
13,toc,
13,dujek,
13,laseen,
14,tattersail,
14,tayschrenn,
14,hairlock,
14,quick,
14,kalam,
14,whiskeyjack,sorry
14,sorry,
14,akaronys,
14,calot,
14,nightchill,
14,bridgeburners,
15,shadowthrone,
15,oppon,
15,sorry,
16,paran,
16,tattersail,
16,sorry,
16,shadowthrone,
16,oppon,
16,bridgeburners,
17,dujek,
17,whiskeyjack,
17,bridgeburners,
18,paran,
18,hairlock,
18,tattersail,
18,hounds,
18,sorry,
19,kruppe,
19,oppon,
20,crokus,
20,oppon,
21,baruk,
21,circle-breaker,
21,circle-breaker,
21,eel,
22,baruk,
22,crone,
22,anomander,
22,turban-orr,
23,rallick,
23,simtal,
23,oppon,
24,rallick,
24,ocelot,
25,baruk,
25,anomander,
26,kruppe,
26,krul,
27,kruppe,
27,crokus,
27,rallick,
27,murillio,
27,coll,
28,turban-orr,
28,simtal,
29,rallick,
19,murillio,
30,kruppe,
30,oppon,
30,crokus,
31,baruk,
31,kruppe,
31,crokus,
31,oppon,
32,quick,
32,hairlock,
33,lorn,
33,toc,
33,tool,
34,tattersail,
34,paran,
34,hairlock,
34,oppon,
35,lorn,
35,tayschrenn,
35,dujek,
36,lorn,
36,tattersail,
36,dujek,
37,tattersail,
37,lorn,
37,dujek,
37,tayschrenn,
37,toc,
37,oppon,
37,shadowthrone,
38,tattersail,
38,paran,
38,lorn,
38,hairlock,
38,sorry,
38,bridgeburners,
39,paran,
39,toc,
39,lorn,
39,tattersail,
39,bridgeburners,
40,lorn,
40,tattersail,
40,tool,
40,bellurdan,
40,raest,
40,tayschrenn,
40,nightchill,
41,caladan,
41,crone,
41,anomander,
41,oppon,
41,crimson-guard,
42,paran,
42,toc,
42,tattersail,
42,bellurdan,
42,tayschrenn,
42,lorn,
43,kruppe,
43,krul,
43,tattersail,
43,nightchill,
43,pran-chole,
44,crokus,
44,mammot,
45,bridgeburners,
45,quick,
45,sorry,
45,fiddler,
45,mallet,
45,trotts,
45,hedge,
45,whiskeyjack,
45,kalam,
46,sorry,
46,kruppe,
46,crokus,
46,irilta-meese,
47,quick,
47,shadowthrone,
47,hairlock,
48,baruk,
48,kruppe,
48,murillio,
48,coll,
48,crone,
48,crokus,
49,crokus,
49,sorry,
50,rallick,
50,quick,
50,kalam,
50,anomander,
50,tiste-andii,
51,rallick,
51,murillio,
51,coll,
51,simtal,
52,anomander,
52,baruk,
52,vorcan,
53,lorn,
53,tool,
53,raest,
53,anomander,
54,raest,
54,anomander,
55,lorn,
55,raest,
55,kruppe,
55,crokus,
55,coll,
55,murillio,
56,paran,
56,anomander,
56,hairlock,
56,shadowthrone,
56,toc,
56,oppon,
56,hounds,
56,sorry,
57,paran,
57,hounds,
57,oppon,
57,anomander,
58,tool,
58,lorn,
58,raest,
59,crokus,
59,coll,
59,sorry,
59,apsalar,
59,mammot,
60,kruppe,
60,murillio,
60,crokus,
60,coll,
61,paran,
61,tattersail,
61,oppon,
62,anomander,
62,baruk,
62,raest,
62,lorn,
62,tool,
63,anomander,
63,tiste-andii,
64,baruk,
64,mammot,
64,raest,
65,crokus,
65,apsalar,
65,irilta-meese,
65,mammot,
66,rallick,
66,circle-breaker,
66,simtal,
66,turban-orr,
66,ocelot,
67,paran,
67,coll,
67,mallet,
68,paran,
68,bridgeburners,
68,lorn,
68,tattersail,
68,hairlock,
69,whiskeyjack,dujek
69,dujek,paran
69,paran,
70,anomander,
70,icarium-mappo,
71,lorn,
71,circle-breaker,
72,lorn,
72,whiskeyjack,
72,fiddler,
72,bridgeburners,
73,tiste-andii,
73,crimson-guard,
73,caladan,
73,crokus,
74,lorn,
74,tool,
74,raest,
75,kruppe,
75,eel,
75,baruk,
75,murillio,
75,anomander,
76,kruppe,
76,circle-breaker,
77,anomander,
77,bridgeburners,
78,turban-orr,
78,rallick,
78,circle-breaker,
79,murillio,
79,rallick,
79,simtal,
79,coll,
80,raest,
80,kruppe,
80,krul,
80,tool,
80,tiste-andii,
80,pran-chole,
81,crokus,
81,apsalar,
81,paran,
81,mallet,
81,bridgeburners,
82,crokus,
82,rallick,
82,vorcan,
82,paran,
82,kalam,
82,baruk,
82,mammot,
83,paran,
83,tool,
83,raest,
83,hounds,
84,raest,
84,derudan,
84,mammot,
84,whiskeyjack,
84,quick,
84,bridgeburners,
84,hedge,
85,paran,
85,sorry,
85,hounds,
85,oppon,
86,kalam,
86,fiddler,
86,hedge,
87,lorn,
87,crokus,
87,whiskeyjack,
87,anomander,
87,crimson-guard,
87,irilta-meese,
87,paran,
88,anomander,
88,baruk,
88,crokus,
89,baruk,
89,vorcan,
89,crokus,
89,tiste-andii,
89,oppon,
89,derudan,
89,mammot,
90,dujek,
90,paran,
90,kalam,
90,fiddler,
90,whiskeyjack,
90,caladan,
90,bridgeburners,
90,laseen,
90,tayschrenn,
90,fiddler,
90,apsalar,
91,vorcan,
91,rallick,
91,tiste-andii,
92,crokus,
92,circle-breaker,
92,apsalar,
92,fiddler,
92,apsalar,
92,kalam,
92,oppon,
