key,description,response,type
Progress,"Survey completion progress as a percent. This does not indicate how many questions were answered (participants were free to skip questions), but how far they got into the survey.",values range is 50 - 100,int
Age,What is your age?,,int
Sex,What is your sex?,"1=male, 2=female, 3=other",int
SexOther,If the response to Sex was 3 (Other) participants could add additional free text here,Free text,string
Children,How many children do you have?,,int
Under12,How many children do you have under the age of 12?,,int
Over12,How many children do you have age 12 and older?,,int
Education,What is the highest level of education that you have completed?,"1=Less than High School, 2=High School, 3=Some College, 4=2-year degree (Associates), 5=4-year degree (BA, BS), 6=Master's Degree, 7=Doctoral Degree, 8=Professional Degree",int
SubjectiveSES,"Below, you will see a ladder. At the top of the ladder are the people who are the best off, have the most money, most education, and best jobs. These people are represented by number 10 marked on the ladder. At the bottom are the people who are the worst off, have the least money, least education, worst jobs, or no job. These people are represented by number 1 at the bottom of the ladder. Please choose the number associated with the rung that best represents where you think you stand on the ladder",,int
Ethnicity,What is your ethnicity?,"1=Asian or Pacific Islander, 2=Hispanic or Latino/a, 3=White or Caucasian, 4=Black or African American, 5=Native American, 6=Other",int
EthnicityOther,If the response to Ethnicity was 6 (Other) participants could add additional free text here,Free text,string
English,Is English your first language?,"1=Yes, 2=No",int
Fluent,Do you consider yourself to be fluent in English?,"1=Yes, 2=No",int
CurrentCountry,What country do you currently live in?,Free text,string
BornCountry,What country were you born in?,Free text,string
LivingSituation,What is your current living situation? ,"1=Living alone, 2=Living with non-family roommates, 3=Living with family roommates, 4=Living with parents, 5=Living with spouse and children, 6=Living with extended family, 7= Living with spouse without children, 8= Living with spouse and flatmates/ roommates, 9= Living with just children",int
Preexisting,Do you have any pre-existing health conditions that require you to take extra precautions to avoid being sick?,"1=Yes, 2=No",int
PreexistWhat,"If you have any pre-existing health conditions, what is the complication?",Free text,string
OccupationPandemic,What best describes your occupational situation during the COVID-19 Pandemic?,"1= Worked in close contact with a large number of people (e.g. healthcare or a supermarket), 2= Continued to work but maintained separation from others at my workplace, 3 = Worked from home, 4= Did not work",int
MateSeeking1,I spend a lot of time thinking about ways to meet possible dating partners,"1=Strongly disagree, 7=Strongly agree",int
MateSeeking2,Starting a new romantic/sexual relationship is not a high priority for me,"1=Strongly disagree, 7=Strongly agree",int
PFIclose1,"When my close friend succeeds, I feel good","1=Do not agree at all, 7=Strongly agree",int
PFIclose2,"When my close friend fails, I feel bad","1=Do not agree at all, 7=Strongly agree",int
PFIclose3,I feel that my close friend's gain is my gain,"1=Do not agree at all, 7=Strongly agree",int
PFIclose4,What is good for my close friend is good for me,"1=Do not agree at all, 7=Strongly agree",int
PFIclose5,"Honestly, I don't care whether my close friend thrives or not","1=Do not agree at all, 7=Strongly agree",int
PFIclose6,My close friend and I rise and fall together,"1=Do not agree at all, 7=Strongly agree",int
CFIclose1,"When something good happens to my close friend, that is","-3=Very bad for me, 3=Very good for me",int
CFIclose2,"When something bad happens to my close friend, that is","-3=Very bad for me, 3=Very good for me",int
CFIclose3,"When my close friend succeeds, I feel","-3=Very bad for me, 3=Very good for me",int
CFIclose4,"When my close friend fails, I feel","-3=Very bad for me, 3=Very good for me",int
CFIclose5,My close friend's gain is,"-3=Very bad for me, 3=Very good for me",int
CFIclose6,My close friend's loss is,"-3=Very bad for me, 3=Very good for me",int
PFIAcq1,"When my acquaintance succeeds, I feel good","1=Do not agree at all, 7=Strongly agree",int
PFIAcq2,"When my acquaintance fails, I feel bad","1=Do not agree at all, 7=Strongly agree",int
PFIAcq3,I feel that my acquaintance's gain is my gain,"1=Do not agree at all, 7=Strongly agree",int
PFIAcq4,What is good for my acquaintance is good for me,"1=Do not agree at all, 7=Strongly agree",int
PFIAcq5,"Honestly, I don't care whether my acquaintance thrives or not","1=Do not agree at all, 7=Strongly agree",int
PFIAcq6,My acquaintance and I rise and fall together,"1=Do not agree at all, 7=Strongly agree",int
CFIAcq1,"When something good happens to my acquaintance, that is","-3=Very bad for me, 3=Very good for me",int
CFIAcq2,"When something bad happens to my acquaintance, that is","-3=Very bad for me, 3=Very good for me",int
CFIAcq3,"When my acquaintance succeeds, I feel","-3=Very bad for me, 3=Very good for me",int
CFIAcq4,"When my acquaintance fails, I feel","-3=Very bad for me, 3=Very good for me",int
CFIAcq5,My acquaintance's gain is,"-3=Very bad for me, 3=Very good for me",int
CFIAcq6,My acquaintance's loss is,"-3=Very bad for me, 3=Very good for me",int
PFINeighEmpathy,"When my neighborhood succeeds, I feel good","1=Do not agree at all, 7=Strongly agree",int
PFINeigh2,"When my neighborhood fails, I feel bad","1=Do not agree at all, 7=Strongly agree",int
PFINeigh3,I feel that my neighborhood's gain is my gain,"1=Do not agree at all, 7=Strongly agree",int
PFINeigh4,What is good for my neighborhood is good for me,"1=Do not agree at all, 7=Strongly agree",int
PFINeigh5,"Honestly, I don't care whether my neighborhood thrives or not","1=Do not agree at all, 7=Strongly agree",int
PFINeighSharedFate,My neighborhood and I rise and fall together,"1=Do not agree at all, 7=Strongly agree",int
CFINeigh1,"When something good happens to my neighborhood, that is","-3=Very bad for me, 3=Very good for me",int
CFINeigh2,"When something bad happens to my neighborhood, that is","-3=Very bad for me, 3=Very good for me",int
CFINeigh3,"When my neighborhood succeeds, I feel","-3=Very bad for me, 3=Very good for me",int
CFINeigh4,"When my neighborhood fails, I feel","-3=Very bad for me, 3=Very good for me",int
CFINeigh5,My neighborhood's gain is,"-3=Very bad for me, 3=Very good for me",int
CFINeigh6,My neighborhood's loss is,"-3=Very bad for me, 3=Very good for me",int
WillingnessNeigh1,"During a winter storm, someone from your neighborhood knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?","1=Not at all willing, 7=Very willing",int
WillingnessNeigh2,Someone from your neighborhood has no water in their house. How willing would you be to fill their jugs with water from your tap?,"1=Not at all willing, 7=Very willing",int
WillingnessNeigh,"Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?","1=Not at all willing, 7=Very willing",int
WillingnessNeigh4,How willing would you be to help someone from your neighborhood move boxes into their new apartment?,"1=Not at all willing, 7=Very willing",int
RepayNeigh1,How much repayment or compensation would you expect for helping someone from your neighborhood?,"1=I would not expect any repayment or compensation, 7=I would expect equal repayment or compensation",int
NBTNeigh,Helping someone from my neighborhood when they are in need is the right thing to do,"1=Strongly disagree, 7= Strongly agree",int
NBTNeigh2,I get a strong urge to help when I see that someone from my neighborhood is upset,"1=Strongly disagree, 7= Strongly agree",int
PFICountry1,"When my country succeeds, I feel good","1=Do not agree at all, 7=Strongly agree",int
PFICountry2,"When my country fails, I feel bad","1=Do not agree at all, 7=Strongly agree",int
PFICountry3,I feel that my country's gain is my gain,"1=Do not agree at all, 7=Strongly agree",int
PFICountry4,What is good for my country is good for me,"1=Do not agree at all, 7=Strongly agree",int
PFICountry5,"Honestly, I don't care whether my country thrives or not","1=Do not agree at all, 7=Strongly agree",int
PFICountry6,My country and I rise and fall together,"1=Do not agree at all, 7=Strongly agree",int
CFICountry1,"When something good happens to my country, that is","-3=Very bad for me, 3=Very good for me",int
CFICountry2,"When something bad happens to my country, that is","-3=Very bad for me, 3=Very good for me",int
CFICountry3,"When my country succeeds, I feel","-3=Very bad for me, 3=Very good for me",int
CFICountry4,"When my country fails, I feel","-3=Very bad for me, 3=Very good for me",int
CFICountry5,My country's gain is,"-3=Very bad for me, 3=Very good for me",int
CFICountry6,My country's loss is,"-3=Very bad for me, 3=Very good for me",int
WillingnessCountry1,"During a winter storm, a displaced person who is a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?","1=Not at all willing, 7=Very willing",int
WillingnessCountry2,A displaced person who is a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap?,"1=Not at all willing, 7=Very willing",int
WillingnessCountry3,"A displaced person who is a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?","1=Not at all willing, 7=Very willing",int
WillingnessCountry4,How willing would you be to help a displaced person who is a citizen of your own country move boxes into their new apartment?,"1=Not at all willing, 7=Very willing",int
RepayCountry1,How much repayment or compensation would you expect for helping someone from a displaced person who is a citizen of your own country? ,"1=I would not expect any repayment or compensation, 7=I would expect equal repayment or compensation",int
NBTCountry,Helping a displaced person who is a citizen of your own country when they are in need is the right thing to do,"1=Strongly disagree, 7= Strongly agree",int
NBTCountry2,I get a strong urge to help when I see that a displaced citizen from my own country is upset,"1=Strongly disagree, 7= Strongly agree",int
PFIHumanityEmpathy,"When all of humanity succeeds, I feel good","1=Do not agree at all, 7=Strongly agree",int
PFIHumanity2,"When all of humanity fails, I feel bad","1=Do not agree at all, 7=Strongly agree",int
PFIHumanity3,I feel that all of humanity's gain is my gain,"1=Do not agree at all, 7=Strongly agree",int
PFIHumanity4,What is good for my all of humanity is good for me,"1=Do not agree at all, 7=Strongly agree",int
PFIHumanity5,"Honestly, I don't care whether all of humanity thrives or not","1=Do not agree at all, 7=Strongly agree",int
PFIHumanitySharedFate,All of humanity and I rise and fall together,"1=Do not agree at all, 7=Strongly agree",int
CFIHumanity1,"When something good happens to all of humanity, that is","-3=Very bad for me, 3=Very good for me",int
CFIHumanity2,"When something bad happens to all of humanity, that is","-3=Very bad for me, 3=Very good for me",int
