Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
Progress,99.62598425,99.88461538,99.94505495,99.94588235,99.7654921,100,99.96761658,99.90039841,99.98896552,99.9972106,99.94722955,99.89367816,100,99.95139912
Age,28.19488189,28.14182692,29.0952381,,,43.82436261,29.32555123,29.2183755,29.5801105,29.68391608,29.43783069,29.78674352,30.03307087,29.88070692
Sex,1.534516765,1.514423077,1.462301587,,,,,,,,,,,
Children,0.420118343,0.408653846,0.373015873,,,,,,,,,,,
Under12,0.228855721,0.248175182,0.200795229,,,,,,,,,,,
Over12,0.154613466,0.165853659,0.168650794,,,,,,,,,,,
Education,4.041420118,4.069711538,4.015873016,,,,,,,,,,,
SubjectiveSES,5.571146245,5.713942308,5.510934394,,,,,,,,,,,
Ethnicity,2.883858268,2.84375,2.908730159,,,,,,,,,,,
English,1.575936884,1.644230769,1.612326044,,,,,,,,,,,
Fluent,1.01183432,1.009615385,1.009920635,,,,,,,,,,,
LivingSituation,3.351084813,3.737980769,3.920634921,,,,,,,,,,,
Preexisting,1.87992126,1.882211538,1.857142857,1.858823529,1.855407047,1.857344633,1.85492228,1.855245684,1.855172414,1.854951185,1.853562005,1.857758621,1.844827586,1.851251841
OccupationPandemic,,,,,,,,,,3.132681564,,,,
MateSeeking1,,2.622596154,2.41978022,2.476415094,,,,,,,,,,
MateSeeking2,,2.942028986,5.146475771,4.864066194,,,,,,,,,,
PFIclose1,5.964566929,5.795673077,,,,,,,,,,,,
PFIclose2,5.179133858,5.185096154,,,,,,,,,,,,
PFIclose3,4.851190476,4.682692308,,,,,,,,,,,,
PFIclose4,4.731755424,4.685990338,,,,,,,,,,,,
PFIclose5,2.06916996,2.189903846,,,,,,,,,,,,
PFIclose6,4.091089109,3.944711538,,,,,,,,,,,,
CFIclose1,1.557086614,,,,,,,,,,,,,
CFIclose2,-1.377952756,,,,,,,,,,,,,
CFIclose3,1.652859961,,,,,,,,,,,,,
CFIclose4,-1.378698225,,,,,,,,,,,,,
CFIclose5,1.271653543,,,,,,,,,,,,,
CFIclose6,-1.317554241,,,,,,,,,,,,,
PFIAcq1,5.019685039,,,,,,,,,,,5.216763006,5.139498433,
PFIAcq2,4.244094488,,,,,,,,,,,4.92795389,4.802507837,
PFIAcq3,3.915187377,,,,,,,,,,,3.657514451,3.910658307,
PFIAcq4,3.871541502,,,,,,,,,,,3.914985591,4.126959248,
PFIAcq5,3.106508876,,,,,,,,,,,2.757575758,2.822884013,
PFIAcq6,3.224409449,,,,,,,,,,,3.48265896,3.613814757,
CFIAcq1,0.921104536,,,,,,,,,,,,,
CFIAcq2,-0.812623274,,,,,,,,,,,,,
CFIAcq3,1.053571429,,,,,,,,,,,,,
CFIAcq4,-0.857425743,,,,,,,,,,,,,
CFIAcq5,0.735700197,,,,,,,,,,,,,
CFIAcq6,-0.698224852,,,,,,,,,,,,,
PFINeighEmpathy,4.392971246,4.346303502,4.741474147,4.765882353,4.692729767,4.650238474,4.656432749,4.710644678,4.443370166,4.651260504,4.593915344,4.635971223,4.515673981,4.662739323
PFINeigh2,3.709265176,3.848249027,,,,,,,,,,,,
PFINeigh3,4.028846154,3.69140625,,,,,,,,,,,,
PFINeigh4,4.080385852,3.893700787,,,,,,,,,,,,
PFINeigh5,3.504792332,3.455252918,,,,,,,,,,,,
PFINeighSharedFate,2.926517572,2.887159533,3.484048405,3.613207547,3.603851444,3.703349282,3.625730994,3.682158921,3.572413793,3.759440559,3.760264901,3.823953824,3.65408805,3.800590842
CFINeigh1,0.952229299,,,,,,,,,,,,,
CFINeigh2,-0.882165605,,,,,,,,,,,,,
CFINeigh3,0.751592357,,,,,,,,,,,,,
CFINeigh4,-0.779552716,,,,,,,,,,,,,
CFINeigh5,0.700636943,,,,,,,,,,,,,
CFINeigh6,-0.707006369,,,,,,,,,,,,,
WillingnessNeigh1,4.227564103,4.426356589,,,,,,,,,,,,
WillingnessNeigh2,6.166134185,6.294573643,,,,,,,,,,,,
WillingnessNeigh,3.096463023,3.170542636,3.338461538,3.364705882,3.197802198,3.236883943,3.108029197,3.20089955,3.066298343,3.125523013,3.054161162,3.08908046,3,2.979320532
WillingnessNeigh4,5.524115756,5.69379845,,,,,,,,,,,,
RepayNeigh1,2.198717949,2.151162791,,,,,,,,,,,,
NBTNeigh,5.621019108,5.755813953,5.38021978,5.314487633,5.182441701,5.111287758,5.110948905,5.096096096,5.068965517,5.065550907,5.033025099,5.033045977,4.940438871,4.994108984
NBTNeigh2,4.404458599,4.480620155,,,,,,,,,,,,
PFICountry1,5.262820513,,,,,,,,,,,,,
PFICountry2,4.105769231,,,,,,,,,,,,,
PFICountry3,4.801916933,,,,,,,,,,,,,
PFICountry4,4.474358974,,,,,,,,,,,,,
PFICountry5,2.769968051,,,,,,,,,,,,,
PFICountry6,3.661341853,,,,,,,,,,,,,
CFICountry1,1.429487179,,,,,,,,,,,,,
CFICountry2,-1.337620579,,,,,,,,,,,,,
CFICountry3,1.323717949,,,,,,,,,,,,,
CFICountry4,-1.180064309,,,,,,,,,,,,,
CFICountry5,1.215434084,,,,,,,,,,,,,
CFICountry6,-1.253205128,,,,,,,,,,,,,
WillingnessCountry1,3.444089457,,,,,,,,,,,,,
WillingnessCountry2,6.060702875,,,,,,,,,,,,,
WillingnessCountry3,2.501597444,,,,,,,,,,,,,
WillingnessCountry4,5.146964856,,,,,,,,,,,,,
RepayCountry1,2.22829582,,,,,,,,,,,,,
NBTCountry,5.440894569,,,,,,,,,,,,,
NBTCountry2,4.169329073,,,,,,,,,,,,,
PFIHumanityEmpathy,5.602564103,5.639534884,5.732967033,5.626619552,5.456790123,5.457142857,5.383941606,5.340840841,5.286896552,5.29567643,5.314814815,5.293948127,5.280564263,5.262536873
PFIHumanity2,4.544871795,4.953488372,,,,,,,,,,,,
