key,description,type
Age,What is your age?,int
Sex,"What is your sex? (1 = male, 2 = female, 3 =other)",int
Children,How many children do you have?,int
ChildrenUnder18,How many children do you have under the age of 18?,int
Education,"What is the highest level of education that you have completed?  (1 = less than high school, 2 = High School/ GED, 3 = Some College, 4 = 2- year degree (Associates), 5 = 4- year degree (BA, BS), 6 = Master's Degree,  7 = doctoral or professional degree)",int
Feet,Please enter your height. Numbers only. (feet),int
Inches,Please enter your height. Numbers only. (inches),int
Weight,Please enter your weight. Numbers only. (pounds),int
FeetToInches,,int
InchesTotal,,int
Height,,int
SSES,"At the top of the ladder are the people who are the best off, have the most money, most education, and best jobs. These people are represented by number 10 marked on the ladder. At the bottom are the people who are the worst off, have the least money, least education, worst jobs, or no job. These people are represented by number 1 at the bottom of the ladder. Please choose the number associated with the rung that best represents where you think you stand on the ladder ",int
Ethnicity,What is your ethnicity?,string
Occupation,What is your occupation?,string
OccupationRisk,"Has your occupation been identified as high-risk for COVID-19 transmission? (1 = no, 2 = not sure, 3 = yes)",int
Zip,What is the zip/ postal code of your current residence?,string
State,What state do you currently live in?,string
CountryBorn,What country were you born in?,string
County,What county do you currently live in?,string
MoveChildhood,How many times before the age of 18 did you move to a totally new neighborhood or town? ,int
Move,How many times since the age of 18 have you moved to a totally new neighborhood or town? ,int
LivingSituation,What is your current living situation?,string
LivingChange,"Are the members of your household different now than they were before as a result of the pandemic? If so, how did the members of your household change? ",string
Preexisting,"Do you have any pre-existing health conditions that require you to take extra precautions to avoid catching a disease/illness? (1 = no, 2 = yes)",int
PreexistingWhat,"If yes (you have a pre-existing health condition), what is the complication?",string
NumberInHouse,How many people currently live in your household?,int
Responsible,"How responsible do you feel for the members of your household/pod? (1= not at all, 7= extremely)",int
CurrentHrlyWrk,"Are you currently an hourly employee? (1= no, 2= yes)",int
HrlyWrkMonthAgo,"Were you working in an hourly job a month ago? (1= no, 2= yes)",int
VaccineWork,"Does your workplace require you to get a COVID-19 vaccine? (1=Yes, 2=No, 3=Unsure)",int
VaccineEncouraged,"My workplace encourages me to get a COVID-19 vaccine (1=strongly disagree, 7=strongly agree)",int
TimeOffForVaccine,"My workplace offers time off to get a COVID-19 vaccine (1=Strongly disagree, 7= Strongly agree)",int
JobRiskCovid,"My job puts me at increased risk of contracting COVID-19 (1=Strongly disagree, 7= Strongly agree)",int
WorkHome,"Are you working from home during the pandemic? (1 = I am not currently employed , 2 = No, I commute to work, 3 = Yes, some days of the week, 4 = Yes, every working day)",int
PerceptionRisk,"If you have never been infected with COVID-19, how likely do you think it is that you will become infected with COVID-19? (1=Not at all, 7=Extremely)",int
