key,description
Age,What is your age?
Sex,"What is your sex? (1 = male, 2 = female, 3 =other)"
Children,How many children do you have?
ChildrenUnder18,How many children do you have under the age of 18?
Education,"What is the highest level of education that you have completed?  (1 = less than high school, 2 = High School/ GED, 3 = Some College, 4 = 2- year degree (Associates), 5 = 4- year degree (BA, BS), 6 = Master's Degree,  7 = doctoral or professional degree)"
Feet,Please enter your height. Numbers only. (feet)
Inches,Please enter your height. Numbers only. (inches)
Weight,Please enter your weight. Numbers only. (pounds)
FeetToInches,
InchesTotal,
Height,
SSES,"At the top of the ladder are the people who are the best off, have the most money, most education, and best jobs. These people are represented by number 10 marked on the ladder. At the bottom are the people who are the worst off, have the least money, least education, worst jobs, or no job. These people are represented by number 1 at the bottom of the ladder. Please choose the number associated with the rung that best represents where you think you stand on the ladder "
Ethnicity,What is your ethnicity?
Occupation,What is your occupation?
OccupationRisk,"Has your occupation been identified as high-risk for COVID-19 transmission? (1 = no, 2 = not sure, 3 = yes)"
Zip,What is the zip/ postal code of your current residence?
State,What state do you currently live in?
CountryBorn,What country were you born in?
County,What county do you currently live in?
MoveChildhood,How many times before the age of 18 did you move to a totally new neighborhood or town? 
Move,How many times since the age of 18 have you moved to a totally new neighborhood or town? 
LivingSituation,What is your current living situation?
LivingChange,"Are the members of your household different now than they were before as a result of the pandemic? If so, how did the members of your household change? "
Preexisting,"Do you have any pre-existing health conditions that require you to take extra precautions to avoid catching a disease/illness? (1 = no, 2 = yes)"
PreexistingWhat,"If yes (you have a pre-existing health condition), what is the complication?"
NumberInHouse,How many people currently live in your household?
Responsible,"How responsible do you feel for the members of your household/pod? (1= not at all, 7= extremely)"
CurrentHrlyWrk,"Are you currently an hourly employee? (1= no, 2= yes)"
HrlyWrkMonthAgo,"Were you working in an hourly job a month ago? (1= no, 2= yes)"
VaccineWork,"Does your workplace require you to get a COVID-19 vaccine? (1=Yes, 2=No, 3=Unsure)"
VaccineEncouraged,"My workplace encourages me to get a COVID-19 vaccine (1=strongly disagree, 7=strongly agree)"
TimeOffForVaccine,"My workplace offers time off to get a COVID-19 vaccine (1=Strongly disagree, 7= Strongly agree)"
JobRiskCovid,"My job puts me at increased risk of contracting COVID-19 (1=Strongly disagree, 7= Strongly agree)"
WorkHome,"Are you working from home during the pandemic? (1 = I am not currently employed , 2 = No, I commute to work, 3 = Yes, some days of the week, 4 = Yes, every working day)"
PerceptionRisk,"If you have never been infected with COVID-19, how likely do you think it is that you will become infected with COVID-19? (1=Not at all, 7=Extremely)"
InfectionSeverity,"If you have never been infected with COVID-19, how severe do expect your symptoms to be if you were to become infected with COVID-19?  (1=Not at all severe, 7=Extremely severe)"
ConcernCovid,"How anxious do you feel about the possibility of becoming sick (or sick again) with COVID-19? (1=Not at all, 7=Extremely)"
Stress,"How stressed do you currently feel dealing with changes caused by COVID-19? (1=Not at all, 7=Extremely)"
Back2Normal,"When do you think life will get back to pre-COVID normal?; (1 = it's alread normal, 2 = two weeks, 3 = one month, 4 = two months, 5 = four months, 6 = six months, 7 = nine months, 8 = one year, 9 = 1.5 years, 10 = two years, 11 = more than two years, 12 = never)"
ConditionsChange,"Considering the current situation and looking to the coming year, how will conditions change?; (1 = will steadily improve, 3 = will stay the same, 5 = will get much worse)"
ElectionBck2Normal,"How much will the outcome of the November election affect how long it takes for life to return to normal? (1=Not at all, 7=Very much)"
VaccineStatus,"Are you fully vaccinated against COVID-19 (i.e., has it been two weeks since receiving your second Pfizer/Moderna shot or the single-dose J&J vaccine)? (1=yes, it has been two weeks since my final shot, 2= I have received my final shot, but it has not yet been two weeks, 3= I have an appointment for my second shot of Pfizer/Moderna, but have only received my first shot, 4= I have received my first shot of Pfizer/Moderna, but do not intend to receive a second shot, 5= I have not yet received any shots, but I intend to soon/when able, 6= I do not intend to get a COVID vaccine anytime soon, if ever)"
ReceiveVaccine,"Have you received a COVID-19 vaccine? (For t5: 1=No, I am not planning on getting a vaccine, 2=No, I am not sure if I will get a vaccine, 3=No, but I am planning on getting one 4=Yes; for t6: 4= Yes, I received the first shot and plan on getting the second one, 5=Yes, I received the first shot, but will not take the second, 6=Yes, I?ve received both shots)"
VaccineHealth,"Regarding your likelihood to get vaccinated or not to get vaccinated, how important was your personal health in making this decision? (1 = Not at all important, 7 = Extremely important) "
VaccineOtherHealth,"Regarding your likelihood to get vaccinated or not to get vaccinated, how important was the health of others around you/your community in making this decision? (1 = Not at all important, 7 = Extremely important) "
Vaccine,"How likely would you be to take a COVID vaccine when it is available to you? (1=Not at all likely, 7=Extremely likely)"
TrustVaccine,"How likely would you be to trust that a COVID vaccine available to you is safe and effective?? (1=Not at all likely, 7=Extremely likely)"
USvaccine,"What proportion of people in the US do you think will take a COVID vaccine when it is made available to them? 1 = 0-10%, 10 = 91-100%"
VaccineUSRightThing,"What proportion of people in the US do you think believe taking the COVID-19 vaccine is the right thing to do? (1 = 0-10%, 10 = 91-100%)"
VaccineLocalArea,What proportion of people in your local area do you think will take a COVID-19 vaccine when it is made available to them?
VaccineLocalRightThing,What proportion of people in your local area do you think believe that taking a COVID-19 vaccine is the right thing to do? 
ThinkVaccinated,"How would people in your community think about a person who got the COVID-19 vaccine? (1 = Very negatively, 7 = very positively)"
TimeToVaccine,"How long do you think it will be until a COVID vaccine is made available to you? (2=It already is, 3=Two weeks, 4=One month, 5=Two months, 6=Four months, 7=Six Months, 8=Nine months, 9=One year, 10=1.5years, 11=Two years, 12=More than two years, 13=Never)"
TimeToVaccineOld,"How long do you think it will be until a COVID vaccine is made available to you? (2 = Less than one month, 3=1-2 months, 4=2-3 months?, 5=3-6 months, 6=6-9 months, 7=9-12 months?, 8=More than one year)"
GottenBooster,"Have you gotten a booster shot of the COVID-19 vaccine? (1=yes, 2=no)"
Booster,"How likely would you be to take a booster shot of the COVID-19 vaccine when it is available to you? (1=Not at all likely, 7=Extremely likely, 8=I've already gotten one)"
TrustBooster,"How likely would you be to trust that a booster shot of the COVID-19 vaccine available to you is safe and effective? (1=Not at all likely, 7=Extremely likely)"
RecommendBooster,"Do you think that the booster shot of the COVID-19 vaccine is recommended for you now? (1=yes, 2=no)"
BoosterLocalArea,"What proportion of people in your local area that the booster shot is recommended for will take a booster shot of the COVID vaccine when it is made available to them? (1=0-10%, 10= 91-100%)"
BoosterUS,What proportion of people in the US that the booster shot is recommended for will take a booster shot of the COVID vaccine when it is made available to them?
VaccineAttitudes1,"I feel the need to hide that I've gotten the COVID-19 vaccine (1 = strongly agree, 7 = strongly disagree)"
VaccineAttitudes2,"I am proud to share that I've gotten the COVID-19 vaccine (1 = strongly agree, 7 = strongly disagree)"
VaccineAttitudes3,"News surrounding COVID-19 vaccinations is making me more hesitant to get vaccinated (1 = strongly agree, 7 = strongly disagree)"
VaccineAttitudes4,"I do not have a preference on which COVID-19 vaccine I receive (i.e. Moderna, Pfizer, Johnson & Johnson) (1 = strongly agree, 7 = strongly disagree)"
VaccineSafety1,"How do you feel about each of these vaccine safety factors regarding the COVID-19 vaccine? Reaction after vaccine (1 = Do not trust at all, 7 = Trust completely) "
VaccineSafety2,"How do you feel about each of these vaccine safety factors regarding the COVID-19 vaccine? Potential long-term side effects (1 = Do not trust at all, 7 = Trust completely) "
VaccineSafety3,"How do you feel about each of these vaccine safety factors regarding the COVID-19 vaccine? Testing timeline before launch (1 = Do not trust at all, 7 = Trust completely) "
