Country,Measure,Category,Subcategory,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
World,PerceptionsRisk,Age,18-21,2.959459459,4.057971014,3.395744681,3.363636364,3,3.285714286,3.571428571,3.714285714,3.7,3.666666667,4,4.555555556,3.246575342,3.36196319
World,PerceptionsRisk,Age,22-25,3.513157895,4.166666667,4.004608295,4.125,3.5,4,3,3.4,3.833333333,3.428571429,3.125,2.571428571,3.875816993,4.146496815
World,PerceptionsRisk,Age,26-35,3.019047619,3.987012987,4.222627737,4.25,4,3.666666667,4,4.333333333,4.333333333,2.5,3,3.666666667,3.776041667,3.800947867
World,PerceptionsRisk,Age,36-50,3.12,4.027777778,4.057971014,4.133333333,4,4.083333333,4.083333333,3.75,3.75,3.636363636,4.153846154,3.545454545,3.714285714,3.761904762
World,PerceptionsRisk,Age,51-80,2.545454545,3.583333333,3.911111111,3.818181818,4,3.333333333,3.545454545,4.222222222,3.777777778,3.833333333,4.636363636,4.454545455,3.780487805,3.857142857
World,PerceptionsRisk,Sex,Male,3.104895105,3.906976744,3.791845494,3.692307692,3.391304348,3.666666667,3.5,3.6,3.454545455,3.619047619,3.818181818,3.55,3.49375,3.632768362
World,PerceptionsRisk,Sex,Female,3.152046784,4.167938931,4.0430839,4.125,4.363636364,4.333333333,3.272727273,2.5,2.5,2.6,3.071428571,3.307692308,3.847619048,3.934782609
World,PerceptionsRisk,Sex,Other,3,,5,5,4,4,4,4,2,4,2,2,5,3
World,PerceptionsRisk,Preexisting,preexisting_yes,3,3.8125,4.069230769,4.142857143,4.428571429,4.571428571,4.6,3.5,4.2,5.8,5.6,5,3.878787879,3.930693069
World,PerceptionsRisk,Preexisting,preexisting_no,3.138297872,4.070175439,3.890885751,3.8,3.8,2,3.75,4.5,3.25,4,3.8,4.2,3.630111524,3.745233969
Poland,PerceptionsRisk,Age,18-21,2.916666667,4,3.035714286,3,5,,5,5,,5,5,5,2.916666667,3.131578947
Poland,PerceptionsRisk,Age,22-25,4,3.181818182,3.6,3.520833333,3.341463415,3.025641026,3.128205128,3.55,3.261904762,3.461538462,3.444444444,3.421052632,3.5,3.826086957
Poland,PerceptionsRisk,Age,26-35,2.2,3.333333333,3.75862069,3.666666667,4.333333333,4,4,5,3.666666667,5.5,5,4.666666667,3.666666667,3.678571429
Poland,PerceptionsRisk,Age,36-50,,4,4.857142857,4.853448276,4.801980198,4.692307692,4.752688172,4.857142857,4.637254902,4.8125,4.839622642,4.638297872,3.5,4.4
