State,Measure,Category,Subcategory,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
All states,PerceptionRisk,Age,18-24,3.901408451,4.024390244,3.757575758,4.088235294,4.296296296,4,3.4,3.136363636,2.529411765,2.4,2.545454545,3.2,3.176470588,3.076923077,3.454545455,3.545454545,4.272727273,3.625
All states,PerceptionRisk,Age,25-34,3.562790698,3.909090909,3.833333333,3.78,3.666666667,3.161764706,3.323076923,3.046875,2.576923077,2.358490566,3.078431373,3.56,3.18,3.754716981,3.52173913,3.333333333,3.714285714,3.428571429
All states,PerceptionRisk,Age,35-44,3.801369863,4.010416667,3.967741935,4.042105263,4.072289157,3.513888889,3.46875,3.217391304,3.156862745,3.196721311,3.609375,3.375,3.216666667,3.836065574,3.847826087,3.787234043,4.053571429,3.791666667
All states,PerceptionRisk,Age,45-54,3.657342657,3.827272727,3.654545455,3.871559633,3.902912621,3.597826087,3.247191011,3.068181818,2.86746988,2.96,3.2625,3.223684211,3.506666667,3.653846154,3.52238806,3.672727273,3.78,4.018518519
All states,PerceptionRisk,Age,55-64,3.475728155,3.757225434,3.437869822,3.619047619,3.752941176,3.4,3.147286822,2.98,2.874074074,2.776119403,3.067669173,3.376923077,3.139705882,3.480620155,3.801652893,3.752475248,3.698113208,3.886792453
All states,PerceptionRisk,Age,65+,3.652892562,3.772277228,3.648148148,3.652631579,3.752688172,3.213483146,2.974025974,2.746987952,2.526315789,2.72,3.108108108,3.28,3.152777778,3.579710145,3.444444444,3.627118644,3.444444444,3.762711864
All states,PerceptionRisk,Sex,Male,3.536866359,3.670068027,3.586440678,3.669014085,3.635658915,3.31512605,3.081730769,2.899543379,2.502538071,2.663265306,2.95212766,3.136125654,3.072164948,3.365591398,3.320512821,3.394366197,3.62,3.602836879
All states,PerceptionRisk,Sex,Female,3.738095238,4.029850746,3.77170418,3.913738019,4.040816327,3.531007752,3.340611354,3.109803922,3.069767442,2.925581395,3.394618834,3.545454545,3.376744186,3.800925926,3.893203883,3.936305732,3.852272727,3.97005988
All states,PerceptionRisk,Sex,Other,3,2,2,3,2,1.5,6,2,2,2,,,,,,,,
All states,PerceptionRisk,Infected,Covid_yes,4.131578947,4.677419355,4.142857143,4.862068966,4.733333333,4.25,4.466666667,3.95,4,3.428571429,4.411764706,4.142857143,3.8,4.8125,4.357142857,4.875,4.428571429,5.25
All states,PerceptionRisk,Infected,Covid_no,3.60619469,3.766423358,3.620560748,3.712380952,3.754166667,3.311363636,3.10178117,2.916666667,2.668508287,2.740437158,3.080110497,3.245762712,3.133522727,3.494285714,3.555205047,3.6133829,3.681978799,3.787545788
All states,PerceptionRisk,Infected,Covid_maybe,3.790322581,4.288461538,4.02173913,3.9375,4.133333333,4.055555556,4,3.459459459,3.454545455,3.058823529,3.6,4.058823529,3.731707317,4.057142857,4.233333333,4.047619048,4.035714286,3.884615385
Pennsylvania,PerceptionRisk,Age,18-24,3.333333333,4.333333333,4.333333333,4,4.5,5,2.5,3.666666667,2.5,4,4,,,,,7,5,3
Pennsylvania,PerceptionRisk,Age,25-34,3.333333333,3.5,4,4,3,2,,,2,2,3,,,1,,,,
Pennsylvania,PerceptionRisk,Age,35-44,4.727272727,4.888888889,4.6,5,3.888888889,3.666666667,4,3.125,3.2,3.4,3.5,3.666666667,3.5,4.6,5,3.5,6,
Pennsylvania,PerceptionRisk,Age,45-54,3.25,4.25,4,3.5,3.5,3.666666667,4.25,3.666666667,3.5,3,3,3,3.333333333,2.666666667,2.666666667,2.666666667,3.666666667,3
Pennsylvania,PerceptionRisk,Age,55-64,2.875,2.875,3,3.6,3.375,3.428571429,2.833333333,2.5,2.714285714,2,3.333333333,3.4,3,3.75,3.8,3.75,3.5,2.666666667
Pennsylvania,PerceptionRisk,Age,65+,3.666666667,3.5,3.5,2,3.666666667,3,5,,,,,,2,3,3,,2,4
