State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
Alabama,NBTcountry,5,5.285714286,4.875,4.875,4.333333333,5.333333333,5.5,5.5,5,,,,,,,6,5,4
All states,NBTcountry,5.562222222,5.481717011,5.396103896,5.268976898,5.373881932,5.340594059,5.294382022,5.405010438,5.340527578,5.250596659,5.178147268,5.25990099,5.289156627,5.102689487,5.105820106,5.15625,5.04494382,5.063768116
Arizona,NBTcountry,5.636363636,6.066666667,5.294117647,5.421052632,5.4375,5.6,5.285714286,5.125,5.428571429,5.142857143,4.777777778,5.666666667,5.076923077,4.666666667,4.857142857,5.333333333,5.071428571,4.25
Arkansas,NBTcountry,5.888888889,5.833333333,5.5,6.2,5.666666667,7,5.75,5.5,5.75,7,4.666666667,6,5.5,5.2,5.75,6,6,7
California,NBTcountry,5.536842105,5.27027027,5.385714286,5.261538462,5.253731343,5.25,5.283018868,5.236363636,5.12244898,4.941176471,5.045454545,5.02173913,5.02,4.604166667,4.717391304,4.966666667,4.707317073,4.857142857
Colorado,NBTcountry,6.076923077,6.2,6,5.555555556,5.6,5.7,5.75,5.857142857,5.75,5.875,5.6,6.111111111,6.125,5.222222222,5.5,6,6,5.888888889
Connecticut,NBTcountry,5.6,6,5.666666667,5,6,5.666666667,2,6,6,5.5,6,6,6,6,6,6,5,5
Delaware,NBTcountry,5.666666667,5,4,7,5,4,5.5,5.5,4,4.5,6,5,6.5,5.5,5,5,4,4
District of Columbia,NBTcountry,5.5,7,6,4.5,6,7,5,7,6,,6,6,7,4.5,4.5,7,,5.5
Florida,NBTcountry,5.352112676,5.288461538,5.351851852,5.125,5.224489796,5.023255814,5.075,5.275,5.236842105,5.078947368,5.025,5.257142857,5.307692308,4.944444444,5,5.192307692,4.884615385,5.064516129
Georgia,NBTcountry,5.512820513,5.625,5.75,5.578947368,5.8,5.722222222,5.666666667,5.705882353,5.5,5.352941176,5.111111111,5.333333333,5.684210526,5.055555556,5.294117647,5.615384615,5.733333333,5.692307692
Hawaii,NBTcountry,4.8,5.5,6,4.5,5,5.6,4.5,4.6,4.5,4.333333333,4.666666667,4.5,5.25,4.666666667,4.666666667,4,5,5.5
Idaho,NBTcountry,6,6.333333333,6.5,6,5.666666667,5,5.666666667,5.333333333,5.666666667,4.666666667,5.333333333,6,5,6,6,,7,6
Illinois,NBTcountry,5.137931034,5.086956522,5.272727273,4.954545455,4.857142857,5.238095238,4.769230769,5.235294118,5.571428571,5.0625,5.142857143,5.357142857,5.357142857,5.071428571,5.133333333,5.166666667,5.25,5.214285714
Indiana,NBTcountry,5.611111111,5.307692308,5.642857143,4.928571429,5.6,5.3,5.2,5.7,5.222222222,5.285714286,5.222222222,5.375,5.75,5.272727273,5.6,5.142857143,5.1,4.7
Iowa,NBTcountry,5.428571429,5.2,4.75,5,4.75,4.333333333,3,4.5,4.333333333,5.5,3.5,4,4.333333333,4,4.5,4,4,3
Kansas,NBTcountry,6,4.8,6,5.75,5,5,5.333333333,5,7,6,,,,,,,,
Kentucky,NBTcountry,6.428571429,5.916666667,5.692307692,5.636363636,6.090909091,5.363636364,5.875,6,5.285714286,6.111111111,5.625,5.888888889,5.666666667,6.111111111,6,5.714285714,6.142857143,5.857142857
Louisiana,NBTcountry,6,5.375,5.857142857,4.857142857,5.25,5.333333333,5.5,5.428571429,5.666666667,4.8,5.166666667,4.5,5,4.75,5,5,5.166666667,4.666666667
Maine,NBTcountry,5,,,,,,,,,4,,,,,,,,
Maryland,NBTcountry,5.4375,5.3,5.272727273,5.333333333,5.2,5.7,5.222222222,5.4,5.9,5.111111111,5.125,5,5.5,5.5,5.428571429,5,5.75,5.833333333
Massachusetts,NBTcountry,5.185185185,5.470588235,5.25,5.235294118,5.375,4.8,4.727272727,4.9375,5,4.916666667,4.8125,5.083333333,5.214285714,5.181818182,4.888888889,4.222222222,5,5.125
Michigan,NBTcountry,5.62962963,5.695652174,5.5,5.125,5.55,5.526315789,5.380952381,5.5,5.555555556,5.333333333,5.5,5.571428571,5.4375,5.666666667,5.529411765,5.461538462,5.916666667,5.266666667
Minnesota,NBTcountry,5.285714286,5.714285714,5.5,6.2,5,5,5,6,5,,5,6,3.5,4.5,6,,5,5
Mississippi,NBTcountry,5,4.666666667,5,5.5,4.25,3.333333333,5.5,4.25,4.666666667,4.666666667,5,5,4,4.5,5,4,5,4
Missouri,NBTcountry,5.083333333,5.272727273,5.555555556,4.8,5.857142857,5.666666667,5.5,5.166666667,5.5,5.333333333,5.285714286,5.4,5.5,5.285714286,5.8,5.25,5.142857143,5
Montana,NBTcountry,6,6,6,6,6,6,,6,6,6,6,,6,,,,,
Nebraska,NBTcountry,6.4,5.5,6.2,5.6,5.75,6,6.333333333,6.25,6,6,5.666666667,5.333333333,5.5,4,4,5,4,3.5
Nevada,NBTcountry,6.142857143,5.2,4.6,5,4.6,5,5.2,5,5.4,5.4,4.6,3.6,4.75,4.5,3.75,3.333333333,3.4,3.6
