Country,Cases_2020,Cases_2021,Cases_2022,Cases_total,Deaths_2020,Deaths_2021,Deaths_2022,Deaths_total,Vaccinations,Excess_Deaths_2020,Excess_Deaths_2021,Excess_Deaths_2022,Excess_Deaths_total
Afghanistan,52330,105754,49475,207559,2189,5167,493,7849,27.86,,,,
Albania,58316,151908,123582,333806,1181,2036,378,3595,47.22,5649,8624,944,15217
Algeria,99610,118822,52796,271228,2756,3520,605,6881,17.46,56338,,,56338
Andorra,8049,15691,24011,47751,84,56,25,165,72.52,109,76,,185
Angola,17553,64040,23502,105095,405,1365,160,1930,42.12,,,,
Antigua and Barbuda,159,4124,4823,9106,5,114,27,146,68.56,3,78,,81
Argentina,1625514,4028894,4236731,9891139,43245,73924,12955,130124,91,36205,95409,,131614
Armenia,159409,185521,101046,445976,2823,5149,744,8716,40.63,8324,7591,-355,15560
Aruba,5489,14972,23291,43752,49,132,99,280,84.67,33,254,,287
Australia,28425,374524,10728758,11131707,909,1339,14804,17052,84.94,1452,7711,26688,35851
Austria,360815,917804,4426474,5705093,6222,7511,7710,21443,77.16,8632,6974,10555,26161
Azerbaijan,218700,398247,209454,826401,2641,5717,1650,10008,51.88,19216,20447,4379,44042
Bahamas,7871,16605,13015,37491,170,547,116,833,42.48,581,1214,,1795
Bahrain,92675,189387,416675,698737,352,1042,145,1539,84.31,,,,
Bangladesh,513510,1072029,451586,2037125,7559,20513,1368,29440,87.12,,,,
Barbados,383,28182,76950,105515,7,253,308,568,58.17,70,252,711,1033
Belarus,194284,504826,294927,994037,1424,4154,1540,7118,68.36,24605,,,24605
Belgium,646496,1458847,2562905,4668248,19528,8803,4897,33228,79.49,17134,659,5053,22846
Belize,10776,22064,37106,69946,248,354,86,688,62.13,262,593,,855
Benin,3251,21684,3047,27982,44,117,2,163,27.69,,,,
Bhutan,670,1990,59864,62524,0,3,18,21,89.35,-111,-28,,-139
Bolivia,160124,439629,561265,1161018,9165,10515,2619,22299,60.22,24250,33688,,57938
Bosnia and Herzegovina,110985,180328,109679,400992,4050,9392,2785,16227,29.18,5905,11605,2767,20277
Botswana,14805,204704,108351,327860,42,2402,350,2794,64.14,,,,
Brazil,7681032,14610807,14039442,36331281,195072,424262,74519,693853,87.57,246198,544996,258991,1050185
Brunei,157,15313,251349,266819,3,95,127,225,100.31,103,216,,319
Bulgaria,202266,544842,544996,1292104,7576,23379,7153,38108,31.03,15297,38032,7626,60955
Burkina Faso,6707,10925,4374,22006,85,233,77,395,19.26,,,,
Burundi,818,26548,24356,51722,2,36,0,38,0.22,,,,
Cambodia,378,120115,18091,138584,0,3012,44,3056,90.86,,,,
Cameroon,26277,83090,14626,123993,448,1403,114,1965,11.58,,,,
Canada,587429,1612615,2305098,4505142,15762,14615,18861,49238,89.99,37822,36322,,74144
Cape Verde,11840,29892,21468,63200,113,239,60,412,60.14,268,,,268
Central African Republic,4963,7200,3188,15351,63,38,12,113,35.58,,,,
Chad,2113,3590,1947,7650,104,77,13,194,21.16,,,,
Chile,608973,1197521,3231033,5037527,16608,22507,24057,63172,92.24,41840,52042,51413,145295
China,87071,15243,1853757,1956071,4634,2,614,5250,91.68,,,,
Colombia,1642775,3514665,1179220,6336660,43213,86729,11939,141881,82.72,74043,129203,52826,256072
Comoros,823,5692,2467,8982,10,147,4,161,52.44,,,,
Congo (Brazzaville),7107,12982,5286,25375,108,259,19,386,11.65,,,,
Cook Islands,0,2,6387,6389,0,0,1,1,88.56,,,,
Costa Rica,169321,401235,591131,1161687,2185,5168,1719,9072,88.54,3221,8093,,11314
Cote d'Ivoire,22490,48514,16937,87941,137,577,117,831,46.69,,,,
Croatia,210837,504408,548656,1263901,3920,8618,5058,17596,57.58,4337,9038,3337,16712
Cuba,11863,954141,145989,1111993,146,8176,208,8530,95.6,8186,63382,,71568
Curacao,4260,17065,24661,45986,14,175,110,299,56.81,,,,
Cyprus,22346,144481,464284,631111,120,518,620,1258,74.88,667,1236,1366,3269
Czechia,718661,1757068,2104146,4579875,11580,24549,6002,42131,66.46,18557,26214,6944,51715
Congo (Kinshasa),17658,57135,20380,95173,591,614,257,1462,9.24,,,,
Denmark,163479,638918,2583439,3385836,1298,1969,4491,7758,81.19,1089,2650,4882,8621
Djibouti,5831,7825,2034,15690,61,128,0,189,28.32,,,,
Dominica,88,6726,8946,15760,0,47,27,74,45.35,,,,
Dominican Republic,170785,247993,236762,655540,2414,1833,137,4384,65.01,3306,6704,,10010
Ecuador,212512,336906,491045,1040463,14034,19647,2259,35940,85.08,46415,33914,18773,99102
Egypt,138062,247513,130070,515645,7631,14121,3049,24801,48.41,104685,173399,43985,322069
El Salvador,46242,75703,79840,201785,1327,2497,406,4230,73.43,,,,
