Country,Time,Time_unit,Deaths_old,Deaths_2020,Deaths_2021,Deaths_2022
Albania,1,month,2447.8,2187,3002,3294
Albania,2,month,1975.2,2018,3773,2752
Albania,3,month,1980.8,1993,3447,1892
Albania,4,month,1747.6,1804,2419,1707
Albania,5,month,1698.6,1803,1874,1675
Albania,6,month,1627.6,1779,1822,1534
Albania,7,month,1764.8,2166,1820,1988
Albania,8,month,1708.2,2476,2080,1876
Albania,9,month,1531.8,1982,2506,1266
Albania,10,month,1664.6,2403,2559,1668
Albania,11,month,1764.2,3854,2506,1672
Albania,12,month,2044.6,3140,2772,1576
Algeria,1,month,17096.35,17195,,
Algeria,2,month,15369.9,15810,,
Algeria,3,month,15297,15882,,
Algeria,4,month,14323.35,15020,,
Algeria,5,month,14312,14833,,
Algeria,6,month,13949.1,18100,,
Algeria,7,month,14729,32170,,
Algeria,8,month,14723.6,23413,,
Algeria,9,month,13766.05,17043,,
Algeria,10,month,14758.45,18665,,
Algeria,11,month,14975.6,26100,,
Algeria,12,month,15989.25,21397,,
Andorra,1,month,33,34,52,
Andorra,2,month,26.4,37,36,
Andorra,3,month,30.8,40,26,
Andorra,4,month,22.8,60,43,
Andorra,5,month,20,36,32,
Andorra,6,month,24.2,26,19,
Andorra,7,month,25.8,29,29,
Andorra,8,month,23.6,19,28,
Andorra,9,month,23.6,27,26,
Andorra,10,month,25.8,51,27,
Andorra,11,month,24.6,19,26,
Andorra,12,month,29.6,41,42,
Antigua and Barbuda,1,month,41.8,50,56,
Antigua and Barbuda,2,month,50.4,47,68,
Antigua and Barbuda,3,month,54.8,60,55,
Antigua and Barbuda,4,month,44.2,49,50,
Antigua and Barbuda,5,month,46,52,46,
Antigua and Barbuda,6,month,46,42,39,
Antigua and Barbuda,7,month,42,46,55,
Antigua and Barbuda,8,month,54,44,47,
Antigua and Barbuda,9,month,47.4,45,104,
Antigua and Barbuda,10,month,51.4,50,26,
Antigua and Barbuda,11,month,47.6,49,64,
Antigua and Barbuda,12,month,45,40,39,
Argentina,1,month,26538.4,25870,34698,
Argentina,2,month,23869.8,24405,29482,
Argentina,3,month,26036,26072,32055,
Argentina,4,month,25988.4,24941,40056,
Argentina,5,month,29418.4,26927,51612,
Argentina,6,month,33223.8,28365,51214,
Argentina,7,month,34500,35340,44006,
Argentina,8,month,31917.4,37222,37125,
Argentina,9,month,29307.4,40543,29428,
Argentina,10,month,28188,40941,28978,
Argentina,11,month,25602.8,34895,27041,
Argentina,12,month,26798.2,32073,31103,
Armenia,1,month,2727.6,2567,3013,2676
Armenia,2,month,2380.2,2434,2418,3239
Armenia,3,month,2449.6,2288,2836,2679
Armenia,4,month,2220.4,2156,3361,1993
Armenia,5,month,2254.4,2103,2633,2100
Armenia,6,month,2078.2,2869,2290,1879
Armenia,7,month,2151.6,2719,2247,1869
Armenia,8,month,2083.2,2106,2241,2006
Armenia,9,month,1811.6,2042,2559,2045
Armenia,10,month,2115.2,3632,3462,1982
Armenia,11,month,2316.8,6060,4577,2055
Armenia,12,month,2458.6,4395,3001,2169
Aruba,1,month,60,69,68,
Aruba,2,month,59.8,56,87,
Aruba,3,month,60.2,74,80,
Aruba,4,month,61.6,60,95,
Aruba,5,month,64.4,47,69,
Aruba,6,month,54.2,60,45,
Aruba,7,month,56.8,47,70,
Aruba,8,month,57.6,63,120,
Aruba,9,month,53.6,82,92,
Aruba,10,month,57.6,71,93,
Aruba,11,month,61,57,78,
Aruba,12,month,63,57,67,
Australia,1,week,2878.6,2926,3029,3331
Australia,2,week,2872.8,2902,2950,3739
Australia,3,week,2841,2914,3148,3891
Australia,4,week,2832.4,3007,2944,3786
Australia,5,week,2803.2,2910,3068,3743
Australia,6,week,2840,2917,2962,3566
Australia,7,week,2823,3030,2934,3413
Australia,8,week,2880.4,3059,3048,3409
Australia,9,week,2858,3090,3069,3381
Australia,10,week,2897.6,2996,3117,3213
Australia,11,week,2833.4,2976,3084,3349
Australia,12,week,2865.4,3095,3037,3345
Australia,13,week,2884.8,3143,3094,3417
Australia,14,week,2902.6,3217,2954,3449
Australia,15,week,2948,3140,3251,3378
Australia,16,week,2951.2,3084,3242,3483
Australia,17,week,2943,3044,3272,3491
Australia,18,week,2976.2,3031,3362,3677
Australia,19,week,3098.4,3161,3362,3797
Australia,20,week,3097.4,3150,3358,3655
Australia,21,week,3172,3214,3507,3773
Australia,22,week,3188.8,3178,3371,3915
Australia,23,week,3259.2,3113,3556,4033
Australia,24,week,3207.6,3128,3487,4133
Australia,25,week,3236.4,3064,3451,4002
Australia,26,week,3289.8,3058,3463,3911
Australia,27,week,3366.6,3218,3539,4107
Australia,28,week,3348.4,3197,3585,4120
