country_host,country_origin,1990,1995,2000,2005,2010,2015,2017
United States of America,Mexico,4298014,6827945,9410529,10611064,12168662,12275876,12683066
United Arab Emirates,India,458294,667853,915848,1286993,2913802,3184017,3310419
Ukraine,Russian Federation,5018098,4355392,3745842,3422713,3265811,3276758,3309525
Russian Federation,Ukraine,3301922,3485074,3541839,3293929,2978217,3269992,3272304
Turkey,Syrian Arab Republic,5247,5106,4995,5158,5311,2768494,3271533
India,Bangladesh,4375155,4127135,3879114,3584076,3289037,3171022,3139311
Russian Federation,Kazakhstan,2349697,2506132,2571681,2568446,2512343,2560269,2562079
United States of America,China,773939,1058487,1348465,1607654,1922950,2345208,2422998
Kazakhstan,Russian Federation,2474111,2253497,2032883,2122379,2211875,2352598,2411227
"China, Hong Kong SAR",China,1659157,1772597,1886037,2070537,2260045,2307783,2343868
Iran (Islamic Republic of),Afghanistan,3123968,2029435,2087864,2171005,2372090,2348369,2324884
United States of America,India,450406,746337,1048517,1390605,1784284,2233814,2307909
Saudi Arabia,India,906468,929709,978992,1216549,1579235,2003256,2266216
United States of America,Philippines,912674,1156143,1403834,1596459,1843117,2009595,2076253
Jordan,State of Palestine,851880,1140038,1428251,1611803,1760396,1969731,2046650
Germany,Poland,248610,459633,670656,1157821,1561565,1627067,1936653
United States of America,Puerto Rico,1180383,1384103,1576432,1618157,1710665,1842611,1903730
Pakistan,India,2916548,2445179,2161329,2068147,2023077,2000908,1873650
Thailand,Myanmar,229504,436777,734129,1150168,1648602,1782773,1835106
Germany,Turkey,1586121,1617880,1649639,1483727,1339773,1395973,1661588
Saudi Arabia,Indonesia,635007,650793,668666,825998,1070951,1368407,1548032
Pakistan,Afghanistan,3276673,1212572,2009687,1093477,1908909,1618687,1515738
France,Algeria,788914,814417,839920,1337210,1322603,1455276,1452409
United States of America,Viet Nam,543262,775967,1013266,1106433,1236000,1363825,1409063
United States of America,El Salvador,465433,649970,838090,997858,1192423,1347952,1392663
Australia,United Kingdom,1111203,1100221,1130210,1118810,1187150,1289396,1351846
Saudi Arabia,Pakistan,556715,570555,586225,724160,938913,1187817,1343737
Cote d'Ivoire,Burkina Faso,927756,1114233,1117062,1162273,1246597,1294323,1307265
United States of America,Cuba,736971,815617,894876,959480,1055229,1210873,1251037
Lebanon,Syrian Arab Republic,23553,24856,26159,23419,20679,1230484,1209286
Oman,India,152554,282987,333881,373411,473206,1052013,1201995
United States of America,Republic of Korea,568397,725849,886067,990111,1127266,1139277,1177066
Singapore,Malaysia,195072,431854,710434,818337,971827,1123654,1158890
Kuwait,India,375183,332377,418664,485847,674184,1061758,1157072
Saudi Arabia,Bangladesh,479380,491297,504790,623564,808485,1022812,1157072
Russian Federation,Uzbekistan,890893,918869,913322,1030041,1125335,1146803,1147613
India,Pakistan,1921278,1637255,1353231,1250307,1147382,1106212,1095149
Malaysia,Indonesia,252710,421423,634380,775648,1024344,1070433,1091841
Germany,Russian Federation,77318,490548,903777,889324,874174,910843,1084151
United States of America,Dominican Republic,347858,524698,705139,761989,843720,1034940,1069268
United Arab Emirates,Bangladesh,154869,219911,297610,408976,919365,1004623,1044505
Italy,Romania,40066,79401,118736,570087,1021438,1021613,1039584
Germany,Kazakhstan,10199,248645,487090,671031,822671,857180,1020277
Venezuela (Bolivarian Republic of),Colombia,555578,588323,617182,666380,918949,973315,988483
United States of America,Guatemala,225739,357929,492870,643349,817495,944186,975504
United Arab Emirates,Pakistan,158710,225750,305782,383811,836310,913866,950145
France,Morocco,713987,737068,760148,832641,856493,942409,940552
Thailand,Lao People's Democratic Republic,165019,205957,289386,539966,829240,896727,923050
Uganda,South Sudan,,,,,,639007,903199
Mexico,United States of America,198230,272472,358399,520053,741918,876528,899311
United States of America,Canada,744830,793278,841612,842344,868967,864806,893491
United Kingdom,Poland,71908,64757,58696,328865,625807,831703,874291
Saudi Arabia,Egypt,357540,366429,376493,465079,603000,770483,871621
Uzbekistan,Russian Federation,1267201,1161963,1085999,1010087,913652,877690,868913
United Arab Emirates,Egypt,165980,207924,261834,341770,755158,825188,857947
United Kingdom,India,399526,422284,452144,549350,691279,795776,836524
United States of America,Jamaica,334140,449926,567890,611604,675237,748381,773204
Russian Federation,Azerbaijan,936852,905728,841759,805658,752975,767339,767881
Russian Federation,Belarus,809353,886234,930977,849214,749972,764279,764819
United States of America,Colombia,286124,403325,522819,580965,658465,729645,753847
United States of America,United Kingdom,640145,667769,694961,696965,720428,724185,748206
Saudi Arabia,Syrian Arab Republic,305838,313441,322050,397826,515803,659067,745580
Japan,China,150383,226056,335600,648120,687156,712522,741022
France,Portugal,781382,806641,831900,586242,659295,725430,724000
Canada,China,168079,286712,412162,508994,611990,684401,711555
Spain,Morocco,133341,165214,266706,521940,763734,699880,706520
Argentina,Paraguay,257243,286164,315086,451769,588452,679044,704503
Saudi Arabia,Yemen,286032,293143,301194,372063,482400,616386,697296
Thailand,Cambodia,73756,102948,153382,369213,611508,661275,680686
Belarus,Russian Federation,791522,749767,708011,698192,688372,682362,679682
Australia,New Zealand,298309,310921,365060,423580,517810,642271,673378
United States of America,Haiti,225393,326669,429964,491772,570290,649941,671499
Jordan,Syrian Arab Republic,51557,54585,57624,104791,149685,643705,668842
Qatar,India,2738,2975,2769,193404,540914,645577,658488
Spain,Romania,2145,4375,8489,292379,727521,646181,652312
South Africa,Zimbabwe,61875,82744,127073,220867,470423,604248,649385
United States of America,Germany,711929,718811,724649,682498,660214,624597,645314
