country,transport_airplanes,transport_road,transport_ships,transport_trains,transport_total,residential_appliances,residential_lighting,residential_cooling,residential_heating,residential_total,services_lighting,services_cooling,services_heating,services_total,industry_agriculture,industry_metals,industry_chemicals,industry_construction,industry_manufacturing,industry_mining,industry_minerals,industry_paper,industry_total,other
Albania,,33.27,1.56,0.09,34.92,2.56,,1.61,6.84,20.92,,,,9.53,4.94,1.44,0.58,0.48,14.14,3,7.68,0.41,18.53,
Argentina,26.03,680.29,12.98,1.9,721.2,,,,,571.09,,,,183.87,147.22,110.95,62.83,,577.27,186.57,63.59,20.63,591.79,
Armenia,,33.37,,0.25,33.62,,,,,,,,,,3.81,1.84,0.15,0.33,9.17,3.52,3.39,0.24,13.28,
Australia,127.4,1150.9,27.87,59.32,1417.449736,101.28,20.72,20.93,160.25,443.18,,,,340.65,98.24,423.98,172.77,22.9,898.1,466.08,86.35,52.59,1322.91,318.7984139
Austria,1.3,271.37,1.07,8.7,376.9671712,32.79,4.6,0.39,192.77,273.8,,,62.88,104.1,22.09,119.99,46.36,12.59,360.9,15.67,36.37,76.97,330.04,107.1569634
Azerbaijan,12.98,101.8,1.31,1.52,117.61,,,,,145.72,,,,,21.32,5.61,21.6,8.53,54.43,20.18,11.33,0.35,88.92,
Belarus,0.65,143.42,0.04,10.18,154.29,20.58,,,133.04,206.48,,,,85.09,47.06,13.97,41.04,5.52,172.06,4.98,44.4,8.79,165.76,
Belgium,0.1,330.7,6.42,6.74,370.1415233,42.33,,0.22,238.74,327.15,,,,190.14,37.5,125.93,167.11,8.72,492.24,2.23,55.43,27.17,449.8449775,342.6858244
Bosnia and Herzegovina,,54.89,,0.21,55.1,8.55,,0.44,51.08,70.61,,,,17.04,1.63,36.76,0.77,0.97,49.23,3.23,3.21,1.07,47.64,
Brazil,140.17,3305.31,67.67,53.87,3609.752829,262.35,60.68,73.31,,1115.89,,,,550.39,531.41,916.06,279.47,,3263.67,315.42,330.77,535.3,3097.864072,1143.882938
Bulgaria,0.48,138.42,,1.55,140.45,18.74,,0.43,47.1,90.43,,,,48.67,7.88,13.73,33,3.15,104.33,7.36,23.47,8.74,97.33,
Canada,325.21,2097.69,78.55,93.37,2846.869499,151.91,53.8,25,919.92,1452.28,177.86,54.1,600.53,1140.42,316.15,488.05,248.06,107.47,1925.76,1390.37,98.48,470.65,3119.23,1114.874962
Chile,26.55,358.82,14.13,3.61,403.11,,,,,193.75,,,,78.96,11.06,17.59,6.06,10.01,268.31,200.84,11.78,101.27,442.4871287,67.00900131
Colombia,,,,,470.9835236,,,,,252.3049039,,,,78.23313385,,,,,,,,,327.5169685,165.8769171
Croatia,0.45,89.17,2.1,1.47,93.19,12.72,,1.86,62.25,93.1,,,,34.98,10.24,1.6,6.32,4.56,44.3,4.44,15.17,3.01,45.34,
Cyprus,0.09,28.79,0.04,,28.92,3.12,,1.59,5.2,14.71,,,,10.19,1.9,0.04,0.32,0.47,8.71,0.4,6.16,0.1,9.39,
Czech Republic,1.98,266.7,0.21,9.47,281.4316132,18.31,1.27,0.25,200.87,291,,,,133.95,26.67,84.61,43.09,7.36,328.26,10.87,48.96,30.17,276.2106862,151.5488878
Denmark,1.29,163.87,5.09,4.51,179.1493704,28.32,,,139.22,172.13,,,40.33,80.04,29.05,3.69,11.26,6.9,83.05,22.99,21.03,2.36,97.28,37.61455033
Estonia,0.05,34.1,0.23,0.51,34.98763897,4.67,,,28.44,39.82,,,,19.56,4.78,0.07,1.45,2.08,17.02,2.22,4.21,2.6,19.42545409,10.31034669
Finland,2.8,162.12,6.06,3.74,174.7671892,29.6,5.61,0.37,129.15,199.76,,,57.5,124.19,29.95,67.55,41.02,16.67,458.09,6.98,12.41,273.97,460.8017494,98.12543289
France,36.23,1594.56,18.67,35.75,1892.764663,270.51,22.67,4.92,985.4,1564.59,,86.59,365.4,902.96,182.95,291.37,273.09,64.04,1248.72,18.09,161.68,96.94,1151.233632,772.0902331
Georgia,0.03,51.27,0.02,1.83,53.15,6.56,,0.19,30.47,54.46,,,,,1.12,11.47,1.33,4.53,24.09,1.53,7.87,0.17,28.02,
Germany,61.04,2230.1,11.26,51.32,2378.444587,230.15,36.28,4.5,1569.91,2379.81,168.5,12.4,586.8,1242.4,149.52,678.98,586.27,104.88,2544.72,24.4,280.53,221.02,2332.864198,1069.339451
Greece,9.41,214.88,26.81,1.11,253.1341206,32.92,,8.48,93.55,168.39,,,,78.04,12.22,32.44,3.72,5.65,98.94,6.45,26.87,3.21,108.3427782,60.30277348
Hungary,0.09,203.21,0.21,5.76,211.2420004,26.03,,0.57,167.63,237.29,,,,86.09,28.29,34.14,47.82,12.17,193.39,5.19,25.14,10.23,187.3901693,121.2194198
Iceland,,,,,14.96279003,,,,,19.0086749,,,,22.18653146,,,,,,,,,55.06461775,17.01150012
India,,,,,4397.201542,,,,,6702.186144,,,,943.0184449,,,,,,,,,10156.39983,4170.072323
Indonesia,,,,,2274.028713,,,,,1331.291379,,,,257.0293351,,,,,,,,,2447.648636,411.3761567
Ireland,0.25,134.04,3.74,1.85,169.7938444,20.97,,,74.22,120.83,,,,73.02,10.29,20.05,10.83,4.36,89.65,2.06,17.35,0.69,95.79543263,20.49950227
Israel,,,,,253.8790444,,,,,94.22252724,,,,71.12160703,,,,,,,,,122.5123413,120.7955732
Italy,37.96,1387.02,25.23,21.81,1501.436814,147.45,18.34,11.04,864.21,1302.08,48.41,53.98,280.86,666.78,122.62,230.08,146.37,16.32,1072.89,18.82,177.39,86.15,1047.804574,418.5919977
Japan,146.01,2483.23,133.72,70.02,2902.555283,661.58,,52.44,472.61,1851.8,,240.28,202.24,1750.59,157.6,1880.37,784.33,83.64,4227.87,15.98,344.5,360.37,3626.79,1565.937591
Kazakhstan,5.6,228.61,,12.77,246.98,,,,,,,,,,36.5,332.81,43.6,36.4,477.4,263.23,48.43,1.88,762.85,
Korea,9.72,1364.13,28.77,14.28,1534.644992,203.14,,18.24,439.63,854.13,116.22,215.13,265.58,875.17,114.3,1117.99,366.52,30.79,2567.93,13.71,214.36,89.12,1975.7286,2369.262487
Kosovo,,17.86,,0.05,17.91,2.5,,0.93,17.2,24.6,,,,6.86,1.52,3.61,0.05,0.01,12.37,0.18,4.76,0,10.13,
