weight,id,name,category,alias,aliasflag
183,apsalar,Apsalar,4,,0
47,apt,Apt,4,,0
4,aralt,Aralt Arpat,6,Aralt Arpat or Aralt,1
5,baran,Baran,5,,0
18,baria,Baria Setral,2,Baria Setral or Baria,1
252,baudin,Baudin,1,,0
121,beneth,Beneth,1,,0
5,bent,Bent,2,,0
5,bidithal,Bidithal,3,,0
9,blind,Blind,5,,0
27,blistig,Blistig,6,,0
17,bula,Bula,1,,0
136,bult,Bult,2,,0
18,chenned,Chenned,2,,0
388,coltaine,Coltaine,2,,0
77,cotillion,Cotillion,7,Cotillion or Rope or Dancer,1
216,crokus,Crokus,4,,0
3,cuttle,Cuttle,2,,0
855,duiker,Duiker,2,,0
2,febryl,Febryl,3,,0
421,felisin,Felisin,1,,0
506,fiddler,Fiddler,4,,0
7,gear,Gear,5,,0
137,gesler,Gesler,1,,0
21,gryllen,Gryllen,5,Gryllen or Nawahl Ebur or Nawahl,1
452,heboric,Heboric,1,,0
13,hentos,Hentos Ilm,7,,0
325,icarium,Icarium,5,,0
9,irp,Irp,7,,0
182,iskaral,Iskaral Pust,5,Iskaral Pust or Iskaral or Pust,1
600,kalam,Kalam,4,,0
63,kamist,Kamist Reloe,3,Kamist Reloe or Kamist or Reloe,1
16,karpolan,Karpolan Demesand,7,Karpolan Demesand or Karpolan,1
48,keneb,Keneb,6,,0
7,kesen,Kesen,6,,0
15,kimloc,Kimloc,7,,0
99,korbolo,Korbolo Dom,3,Korbolo Dom or Korbolo or Dom,1
347,kulp,Kulp,1,,0
9,legana,Legana Breed,7,,0
21,lenestro,Lenestro,2,,0
110,leoman,Leoman,3,,0
150,list,List,2,,0
7,loric,L'oric,3,,0
39,lostara,Lostara Yil,6,Lostara Yil or Lostara,1
148,lull,Lull,2,,0
152,mallick,Mallick Rel,3,Mallick Rel or Mallick or Rel,1
404,mappo,Mappo,5,,0
37,mebra,Mebra,3,,0
14,mesker,Mesker Setral,2,Mesker Setral or Mesker,1
9,messremb,Messremb,5,,0
82,minala,Minala,4,,0
10,mincer,Mincer,2,,0
33,moby,Moby,4,,0
7,mogora,Mogora,5,,0
79,nether,Nether,2,,0
41,nethpara,Nethpara,2,,0
74,nil,Nil,2,,0
10,panek,Panek,4,,0
126,pearl,Pearl,6,Pearl or Salk Elan or Elan,1
23,pella,Pella,6,,0
66,pormqual,Pormqual,6,,0
16,pullyk,Pullyk Alar,2,Pullyk Alar or Pullyk or Alar,1
59,rellock,Rellock,5,Rellock or Servant,1
8,rood,Rood,5,,0
8,rudd,Rudd,7,,0
7,ryllandaras,Ryllandaras,5,,0
34,sawark,Sawark,6,,0
20,selv,Selv,6,,0
161,shaik,Sha'ik,3,,0
65,shadowthrone,Shadowthrone,7,Shadowthrone or Kellanved,1
11,shan,Shan,7,,0
108,sormo,Sormo E'nath,2,Sormo E'nath or Sormo,1
14,squint,Squint,6,,0
100,stormy,Stormy,1,,0
40,sulmar,Sulmar,2,,0
4,temul,Temul,2,,0
18,tene,Tene Baralta,6,Tene Baralta or Tene or Baralta,1
63,toblakai,Toblakai,3,,0
9,topper,Topper,6,,0
52,truth,Truth,1,,0
12,tumlit,Tumlit,2,,0
6,vaneb,Vaneb,6,,0
