Id,Percent,Context
1,1,"Heboric was a thief who became a priest of Fener and then a historian. He is covered in the boar's tattoos and has stumps for hands. He wrote a revised history of the Malazan Empire arguing that the Empress was a murderer, and a failed one at that. He was trialled, with Duiker coming to his defence, but was nonetheless convicted and ended up in chains along with Felisin and Baudin in Unta."
2,1,"A priest of Hood in a mass of flies approaches the chained Heboric to share a secret and swiftly dissipates, flies flying, revealing no one underneath."
3,2,"Heboric develops a theory that otataral was created, rather than naturally occurring. Limestone is sometimes believed to be like the bones of a living thing, and what is crushing, in this case, otataral, something that was once alive. He is reluctant to share the theory as it is apparent that whatever formed it probably entailed a major sorcerous meltdown, and to repeat it shouldn't be encouraged."
4,2,"Felisin is the younger sister of Ganoes Paran, presumed lost in Genabackis, and Tavore Paran, the new Adjunct. She gets imprissoned and ready to be sold as slave following the noble's cull orchestrated by her own sister."
5,2,"Due to a nobility cull in Unta, nobles were dragged from their homes at night, trialed in a mock of justice and chained in the morning to be taken as slaves. Mobs in the city joined in to punish the survivors. The Empress, with a single blow, made dissidents disappear, apeased the mobs, and made a case for more recruits / military presence in the capital (due to the mobs), paying them by ceising assets from the nobility. Tavore Paran, the new Adjunct, was the orchestrator of the move, and also overviews the process with T'amber always on her side, and a group of Red Blades nearby. All this was seen through the point of view of Heboric. Presumably, the cull is meant to set an example for the rest of the Empire, and further violence from the mob while prisoners are moved to the slave ships is to be expected, and even encouraged. The ensuing violence avoided Heboric due to his obvious alignment to Fener (tattoos), and Baudin due to his brutality, climaxing to his killing of a nearby noble (by sawing off her head) as payment for passege in the gathering mob. Felisin survived the passage simply by being chained between Heboric and Baudin."
6,3,"Mappo and Icarium happen to travel near the Path of Hands, and Icarium hopes that through this convergence and the possible opening of a gate, he will get some answers in search of his past. The duo come upon Rhyllandaras (a D'ivers) in the form of 6 dessert wolves who, however, avoids them after recognising them."
7,4,"Duiker is the imperial historian who happens to be in Hissar for his own research when Coltaine arrives to take command as the new Fist of the 7th army, to help control the expected rebelious insurrection. Coltaine was the leader of the Wickan clans against the Emperor, and following his defeat was somehow turned around and vowed allegiance to the old Emperor. Duiker judges him to be one of the few remaining able commanders in the empire after Dujek got outlawed and Lorn killed. Nevertheless he questions his ability to stay in command having stayed away from the Empire's politics for so long. Furthermore, the 7th army is filled with veterans who fought against the Wickans back in the day, and the very arrival of the Wickans results in an uproar in both sides, one however, that gets swiftly settled by Coltaine himself and his absolute control of his warriors. Duiker is looking forward to meeting him."
8,5,"Kalam, Fiddler, Crokus and Apsalar are traveling incognito, arriving in Seven Cities. They are supposed to be returning Apsalar back home with Crokus tagging in for the ride. Crokus questions why they needed to pass through this continent instead of heading straight to Quon Tali, Apsalar's home. Kalam announces he is going to try to assassinate Empress Lassen, with Quick Ben being his shaved knuckle in the hole, and to do that they need to pass through Seven Cities which also happens to be in the verge of rebellion."
9,4,"We learn that Kalam used to be a Falah'dan assassin, who upon switching sides was given a hand of Claws to command. A master assassin according to Apsalar. We also learn that he took the role of a local guide to lead Whiskeyjack's troop in pursuit of Quick Ben while secretly plotting with the wizard, but Whiskeyjack somehow knew. Apsalar seems to have retained some knowledge or memories from the god that possessed her."
10,4,"Fiddler, Kalam, Crokus and Apsalar cross paths with a soletaken dhenrabi who wanted them dead for witnessing his passage. Fiddler throws him a munition securing their safe passage."
