Context,node1,node2,node3,node4,node5,node6,node7,node8,node9
1,paran,whiskeyjack,,,,,,,
2,shadowthrone,sorry,hounds,,,,,,
4,paran,lorn,,,,,,,
5,tattersail,hairlock,bridgeburners,,,,,,
5,bridgeburners,whiskeyjack,kalam,quick,fiddler,mallet,hedge,trotts,sorry
6,tattersail,tayschrenn,sorry,,,,,,
7,caladan,crimson-guard,tiste-andii,,,,,,
7,crimson-guard,tiste-andii,,,,,,,
8,anomander,tayschrenn,nightchill,bellurdan,tattersail,hairlock,akaronys,calot,
8,tayschrenn,nightchill,bellurdan,tattersail,hairlock,akaronys,calot,,
9,quick,kalam,whiskeyjack,hairlock,tayschrenn,tattersail,sorry,,
9,kalam,whiskeyjack,tattersail,tayschrenn,sorry,,,,
9,whiskeyjack,tattersail,tayschrenn,sorry,,,,,
9,hairlock,sorry,,,,,,,
9,tayschrenn,tattersail,hairlock,nightchill,akaronys,calot,bridgeburners,,
10,paran,lorn,sorry,bridgeburners,,,,,
10,lorn,sorry,bridgeburners,,,,,,
11,tattersail,bellurdan,nightchill,,,,,,
11,bellurdan,nightchill,,,,,,,
12,tattersail,anomander,shadowthrone,oppon,,,,,
12,tayschrenn,tattersail,,,,,,,
12,oppon,sorry,anomander,,,,,,
13,paran,toc,,,,,,,
13,tayschrenn,dujek,laseen,,,,,,
14,tattersail,tayschrenn,quick,kalam,whiskeyjack,sorry,hairlock,,
14,tayschrenn,akaronys,calot,nightchill,hairlock,bridgeburners,,,
14,hairlock,sorry,tayschrenn,quick,,,,,
14,quick,kalam,whiskeyjack,sorry,,,,,
14,kalam,whiskeyjack,sorry,,,,,,
14,whiskeyjack,sorry,,,,,,,
15,shadowthrone,oppon,sorry,,,,,,
16,paran,sorry,tattersail,shadowthrone,oppon,bridgeburners,,,
16,tattersail,bridgeburners,,,,,,,
17,dujek,whiskeyjack,bridgeburners,,,,,,
18,paran,hairlock,tattersail,hounds,,,,,
18,hairlock,tattersail,hounds,sorry,,,,,
18,tattersail,hounds,,,,,,,
19,kruppe,oppon,,,,,,,
20,crokus,oppon,,,,,,,
21,baruk,circle-breaker,eel,,,,,,
21,circle-breaker,eel,,,,,,,
22,baruk,crone,anomander,turban-orr,,,,,
22,crone,anomander,,,,,,,
23,rallick,simtal,oppon,,,,,,
24,rallick,ocelot,,,,,,,
25,baruk,anomander,,,,,,,
26,kruppe,krul,,,,,,,
27,kruppe,crokus,rallick,murillio,coll,,,,
27,crokus,rallick,murillio,coll,,,,,
27,rallick,murillio,coll,,,,,,
27,murillio,coll,,,,,,,
28,turban-orr,simtal,,,,,,,
29,rallick,murillio,,,,,,,
30,kruppe,oppon,crokus,,,,,,
31,baruk,kruppe,crokus,oppon,,,,,
32,quick,hairlock,,,,,,,
33,lorn,toc,tool,,,,,,
34,tattersail,paran,hairlock,oppon,,,,,
34,paran,hairlock,oppon,,,,,,
35,lorn,tayschrenn,dujek,,,,,,
35,tayschrenn,dujek,,,,,,,
36,lorn,tattersail,dujek,,,,,,
37,tattersail,lorn,dujek,tayschrenn,toc,oppon,shadowthrone,,
38,tattersail,paran,lorn,hairlock,bridgeburners,,,,
38,paran,lorn,hairlock,sorry,,,,,
38,lorn,hairlock,,,,,,,
39,paran,toc,lorn,tattersail,bridgeburners,,,,
39,toc,lorn,tattersail,bridgeburners,,,,,
40,lorn,bellurdan,raest,tool,,,,,
40,tattersail,bellurdan,tool,tayschrenn,nightchill,,,,
40,tool,lorn,,,,,,,
41,caladan,crone,anomander,oppon,crimson-guard,,,,
41,crone,anomander,oppon,,,,,,
41,anomander,oppon,,,,,,,
42,paran,toc,tattersail,bellurdan,tayschrenn,lorn,,,
42,toc,tattersail,bellurdan,,,,,,
42,tattersail,bellurdan,,,,,,,
43,kruppe,tattersail,krul,nightchill,pran-chole,,,,
43,krul,tattersail,nightchill,pran-chole,,,,,
43,tattersail,nightchill,,,,,,,
44,crokus,mammot,,,,,,,
45,bridgeburners,whiskeyjack,quick,kalam,sorry,fiddler,mallet,trotts,hedge
45,quick,kalam,,,,,,,
45,sorry,fiddler,mallet,trotts,hedge,whiskeyjack,,,
45,fiddler,mallet,trotts,hedge,whiskeyjack,,,,
45,mallet,trotts,hedge,whiskeyjack,,,,,
45,trotts,hedge,whiskeyjack,,,,,,
45,hedge,whiskeyjack,,,,,,,
46,sorry,kruppe,crokus,irilta-meese,,,,,
47,quick,shadowthrone,hairlock,,,,,,
47,shadowthrone,hairlock,,,,,,,
48,baruk,crone,kruppe,murillio,coll,crokus,,,
48,kruppe,murillio,coll,crokus,,,,,
48,murillio,coll,crokus,,,,,,
48,coll,crokus,,,,,,,
49,crokus,sorry,,,,,,,
50,rallick,quick,kalam,anomander,tiste-andii,,,,
50,quick,kalam,anomander,tiste-andii,,,,,
50,kalam,anomander,tiste-andii,,,,,,
50,anomander,tiste-andii,,,,,,,
51,rallick,murillio,coll,simtal,,,,,
51,murillio,coll,simtal,,,,,,
51,coll,simtal,,,,,,,
52,anomander,baruk,vorcan,,,,,,
52,baruk,vorcan,,,,,,,
53,lorn,tool,raest,anomander,,,,,
53,tool,raest,anomander,,,,,,
53,raest,anomander,,,,,,,
54,raest,anomander,,,,,,,
55,lorn,raest,kruppe,crokus,coll,murillio,,,
56,paran,anomander,toc,hairlock,shadowthrone,oppon,hounds,,
56,anomander,shadowthrone,sorry,hounds,oppon,,,,
56,hairlock,shadowthrone,toc,hounds,,,,,
56,shadowthrone,sorry,hounds,,,,,,
57,paran,hounds,oppon,anomander,,,,,
58,tool,lorn,raest,,,,,,
59,crokus,sorry,apsalar,coll,mammot,,,,
59,coll,apsalar,mammot,,,,,,
60,kruppe,murillio,crokus,coll,,,,,
60,murillio,crokus,coll,,,,,,
61,paran,tattersail,oppon,,,,,,
62,anomander,baruk,raest,lorn,tool,,,,
63,anomander,tiste-andii,,,,,,,
64,baruk,mammot,raest,,,,,,
64,mammot,raest,,,,,,,
65,crokus,apsalar,irilta-meese,mammot,,,,,
65,apsalar,irilta-meese,,,,,,,
66,rallick,ocelot,circle-breaker,simtal,turban-orr,,,,
66,circle-breaker,simtal,turban-orr,ocelot,,,,,
66,simtal,turban-orr,,,,,,,
66,turban-orr,ocelot,,,,,,,
67,paran,coll,mallet,,,,,,
67,coll,mallet,,,,,,,
68,paran,bridgeburners,,,,,,,
68,bridgeburners,lorn,tattersail,hairlock,,,,,
69,whiskeyjack,dujek,paran,,,,,,
69,dujek,paran,,,,,,,
70,anomander,icarium-mappo,,,,,,,
71,lorn,circle-breaker,,,,,,,
72,lorn,whiskeyjack,fiddler,bridgeburners,,,,,
73,tiste-andii,crimson-guard,crokus,crokus,,,,,
73,crimson-guard,caladan,crokus,,,,,,
73,caladan,crokus,,,,,,,
74,lorn,tool,raest,,,,,,
74,tool,raest,,,,,,,
75,kruppe,eel,baruk,murillio,anomander,,,,
75,eel,murillio,baruk,,,,,,
76,kruppe,circle-breaker,,,,,,,
77,anomander,bridgeburners,,,,,,,
78,turban-orr,rallick,circle-breaker,,,,,,
79,murillio,rallick,simtal,coll,,,,,
79,rallick,simtal,coll,,,,,,
80,raest,kruppe,krul,tool,tiste-andii,,,,
80,kruppe,krul,tool,pran-chole,,,,,
80,krul,pran-chole,,,,,,,
80,tool,pran-chole,,,,,,,
81,crokus,apsalar,,,,,,,
81,apsalar,paran,mallet,bridgeburners,,,,,
82,crokus,vorcan,rallick,paran,kalam,baruk,mammot,,
82,rallick,vorcan,kalam,baruk,mammot,,,,
82,vorcan,paran,kalam,,,,,,
82,paran,kalam,,,,,,,
83,paran,tool,raest,hounds,,,,,
83,tool,raest,,,,,,,
84,raest,mammot,whiskeyjack,quick,bridgeburners,hedge,,,
84,derudan,quick,bridgeburners,,,,,,
85,paran,sorry,hounds,oppon,,,,,
85,sorry,hounds,oppon,,,,,,
86,kalam,fiddler,hedge,,,,,,
86,fiddler,hedge,,,,,,,
87,lorn,crokus,whiskeyjack,anomander,crimson-guard,irilta-meese,paran,,
88,anomander,baruk,crokus,,,,,,
88,baruk,crokus,,,,,,,
89,baruk,vorcan,tiste-andii,crokus,oppon,derudan,,,
89,vorcan,crokus,tiste-andii,oppon,,,,,
89,crokus,oppon,mammot,,,,,,
90,dujek,whiskeyjack,caladan,paran,bridgeburners,laseen,tayschrenn,,
90,paran,bridgeburners,,,,,,,
90,kalam,fiddler,apsalar,,,,,,
90,fiddler,apsalar,,,,,,,
91,vorcan,rallick,tiste-andii,,,,,,
92,crokus,apsalar,fiddler,kalam,oppon,,,,
92,circle-breaker,crokus,apsalar,fiddler,kalam,,,,
92,apsalar,fiddler,kalam,,,,,,
92,fiddler,kalam,,,,,,,
