Id,Percent,Context
1,3,"In the prologue, Ganoes Paran, as a kid, meets a weathered soldier (Whiskeyjack) and admits wanting to become a soldier to escape the boring life of nobles. Whiskeyjack tries to dissuade him."
2,4,"Cotillion and Ammanas (Shadowthrone) are looking for vengeance against Empress Laseen to the point that Cotillion possesses a fisher girl (Sorry) to infiltrate the Malazan army ranks. They also killed everyone who happened to be around which was around 400 people including a whole cavalry regiment (175 soldiers) by unleashing the Hounds of Shadow. An old seer gives the fisher girl a prophecy right before the incident, part of which is a promise that the seer will preserve the girl in what is to come. "
3,6,Now possessed Sorry signs up for the Malazan army and specifically requests to serve under Dujek.
4,6,"Adjunct to the Empress, Lorn, visits the site of the massacre in Itko Kan. There she meets a young noble-born lieutenant named Ganoes Paran and takes him under her direct command. Lorn believes the massacre is a diversion and intends to find out what happened. Ganoes is happy to join due to the career advancement opportunities and in the hopes of uncovering the reason for the massacre and getting some revenge. "
5,9,"Outside Pale, right after the battle that concluded a 3-year-old siege, we meet sorceress Tattersail, half-dead mage Hairlock, and the ninth squad of the bridgeburners consisting of Whiskeyjack (sergeant), Kalam (lieutenant), Quick Ben, Fiddler, Hedge, Mallet, Trotts, and Sorry. "
6,10,"Sorry explains to Tattersail that the majority of the bridgeburners were deployed in tunnels under Pale which collapsed wiping out the majority of the bridgeburners. According to Sorry, Tayschrenn refused to help in the rescue efforts. "
7,10,"North of Pale, the 5th Malazan army is locked in battle against an alliance of Tiste Andii (coming from Moon's Spawn) and Crimson Guard mercenaries, led by a warlord named Caladan Brood "
8,12,"The main thing that keeps the Malazans off Pale is Moon's Spawn, a flying mountain, home to the Tiste Andii, currently solely occupied by the Moon's Spawn's lord, a suspected ancient master mage. A standoff is decided between the Malazans and Moon's Spawn, where the Malazans will throw 4 archmages (Tayschrenn plus 3 high mages he invited for the task: Nightchill, A'Karonys, Bellurdan) and a cadre of mages (Tattersail, Hairlock, Calot) against the lord of Moon's Spawn. Pale's battle concludes with Nightchill, A'Karonys, Calot dead, and Hairlock half dead. A large portion of the 2nd and 5th armies were also gone. Anomander eventually retreats with Moon's Spawn. "
9,13,"The bridgeburners believe that someone is trying to exterminate them (and Tayschrenn is part of the execution force). They also believe, along with Hairlock, that the mages were not killed by Anomander but by fellow Malazans, probably, again, Tayschrenn. Quick Ben transfers Hairlock's soul to a puppet and sets him on the trail of whoever is messing with the bridgeburners, but also attempting to uncover Sorry's true identity (who they suspect to be more than a simple recruit). There seems to be a deal that Hairlock and Quick Ben made when the former visited the latter in the mines under Pale. This way Hairlock stays with the living and can also plan his revenge against Tayschrenn. Quick Ben hands over the puppet to Tattersail with whom the bridgeburners forge an alliance. "
10,15,"A few years after last seeing him, we meet a changed Ganoes Paran. He claims his old bold honest self is almost obliterated by the layers of deception he has been practicing since meeting Lorn. He despises being a tool shaped in someone else's hands. He is afraid he is too far in to care anymore. He is on his way to join the bridgeburners as their new captain in Pale. Lorn has identified Sorry as the person of interest for their mission, and Paran is on his way to meet her. "
11,16,"Tattersail meets Bellurdan who is carrying around the decaying remains of his lover, Nightchill, in a sack. Tattersail places a spell on the remains to seal them. "
12,17,"In her first reading of the deck of dragons, Tattersail recognises the Knight of Dark (Anomander) and Oppon as the main players in the game and starts hearing a spinning coin linked to Oppon. Later, Tayschrenn confirms he knows of the spinning coin as well, and asks Tattersail to make a reading for him. An ascendant floods Tattersail's consciousness for the reading. She opens the orb, the virgin of death (who she recognises as Sorry), the Rope, Oppon (recognising they disfavour Tayschrenn) and the crown (recognised as Darujhistan). "
13,18,"Paran, being under Lorn, meets with two claws before reaching Pale, Topper (master of the claw) and later Toc the younger (part of the second army serving under Dujek). From those two he gets a bit of background about the situation in the army he is about to visit. Dujek is the commander of the army, but high mage Tayschrenn mostly runs things due to his close and often communications with the Empress. This creates tensions, and since it is clear that the soldiers are loyal to Dujek, such tensions might drive the army away from the Empire. Additionally, Whiskeyjack is a bit of a legend in the army, known to be an old commander under the Emperor, and both himself and the bridgeburners, in general, are highly regarded. Messing with them alone could cause a mutiny. All in all, a storm is ready to break. We also learn that Toc is the only claw left in all three armies (2nd, 5th, 6th) in this continent. "
14,20,"Tattersail is convinced that Tayschrenn is responsible for the death of the mages and that he could probably help avoid the tunnel collapse that killed most bridgeburners but didn't. Kalam and Quick Ben, explain they need to find out why, the details, and whether all this is driven by the Empress herself. Additionally, they share their suspicions of Sorry, her not being who she claims to be, her connection with Shadow, and even the massacre in Itko Kan. Whiskeyjack is not as confident of all the suspicions. Hairlock's purpose is to follow leads on both fronts. Tattersail agrees to help them. "
15,22,"On her third reading of the deck, Tattersail recognises that high house shadow is in the game challenging Oppon's dominance. Knight of Dark stands between them, and a clear clash between Dark and Shadow is imminent. Mason of death also has a prominent place, promising death which Tattersail worries might even be linked to herself. She has an instinct to run away but refuses to do so again. "
16,22,"Sorry attempts to assassinate Paran when he arrives in Pale, recognising him as an agent of Lorn, in an attempt to force Lorn into the fray. But due to Oppon's and Shadowthrone's interventions, Paran is spared. Oppon, the twin gods of luck, want to fester doubt in the other gods' plans (not even death is final). Shadowthrone is persuaded because he recognises Paran is used by an unknown power (Oppon), and that power tries to stay in the game keeping Paran alive. Paran argues that someone else would take his place if he dies, and Shadowthrone prefers to know who the tool of his opponent is so keeps Paran alive (but someone close to him has to die instead). Paran's now alive body gets picked up by the bridgeburners and given to Tattersail for caretaking and safekeeping. It is clear from the wounds he should be dead but isn't. "
17,23,"The ninth squad (bridgeburners) are sent to Darujhistan and Whiskeyjack sees it as a suicide mission. Dujek admits he has been pressured to disband the Bridgeburners, and offers for the ninth to simply walk away if they survive Darujhistan. Whiskeyjack turns the offer down. He seems to think there is a good chance Dujek and his army will go rogue, and he wants to be by Dujek's side when that happens. Fiddler has a feeling something terrible is about to happen, but the squad leaves Pale before anything happens. "
18,25,"Hairlock confirms Shadow had something to do with Paran's temporary death, but the Hound Gear sniffs him out and follows him to Pale where he confronts him and Tattersail. Paran wakes up and wounds him with his sword, now blessed by Oppon. Hairlock attempts to kill the hound but Tattersail kicks him out of the way allowing the hound to escape, earning the eerie of Hairlock. Tattersail falls unconscious after the confrontation and is taken care of by Paran. "
19,26,Kruppe has a dream about the spinning coin and someone finding it. He will defend Darujhistan. 26% 
20,28,"Crokus, returning from a burglary, is caught up in a war between assassins. He is almost killed by one but is saved by a spinning coin, which he picked up. They chase him but he survives. The hunters clearly state that a god intervened to prevent his killing. "
21,29,"A city watch soldier, nicknamed the Circle Breaker works for someone called the Eel. His aim is to prevent tyranny in Darujhistan. He observes councillors' night meetings and reports them to Baruk. "
22,30,"A large crow named Crone visits Baruk to extend Anomander's invitation to meet. She goes past the alchemist's barriers undisturbed. While Crone is there, a prominent member of the city council, Turban Orr, also visits Baruk offering an alliance to ensure Darujhistan's neutrality against the Malazans. Baruk declines. Both meetings signify that Baruk is a person of major importance in Darujhistan, although he holds no official title. "
23,30,"Rallick Nom, an assassin, was ready to kill Lady Simtal, but at the last minute, again with seemingly some interference from Oppon, kills a councillor instead who is accompanying the lady as part of a longer-term vengeance plan against Lady Simtal. "
24,30,"Ocelot, Rallick Nom's superior in the assassin's guild, informs Rallick of an assassin war that has started. Someone from outside the city is attacking Darujhistan's assassin's guild. They suspect it's claws from the empire. Rallick is asked to make obvious he is an assassin, to attract the hunters, whoever they are, into a trap being prepared by the assassins guild "
25,31,"Anomander offered Baruk an alliance with Moon Spawn against the Malazans. Baruk admits he is part of an influential cabal of mages. Anomander also requests from Baruk the heads of the betraying mages of Pale - stating he was betrayed by the mages, before leaving Pale and not the other way around. He was left alone in the confrontation against the Malazans and only retreated, after almost wiping out an army, to save his home, Moon's Spawn. "
26,32,"Kruppe meets in his dream K'rul, an elder god, who gifts him a fire. "
27,32,"Kruppe, Crokus, Rallick Nom, Murillio and Coll, a group of best friends who often hang out at the Phoenix Inn. Crokus notices Rallick and Murillio planning something and excluding everyone else. "
28,33,"Turban Orr is a noble, and prominent council member. He argues for neutrality against the Malazan, hoping to pave their way in and himself becoming a Fist (high Malazan military rank) or something similar. The majority for his proposition broke with Councillor Lim's assassination at Lady Simtal's balcony. All is revealed through a discussion with Simtal, with whom he has an erotic relationship. "
29,34,"Murillio secures invitations to Lady Simtal's fete after flirting with Turban Orr's wife, with the intention to go there with Rallick. "
30,35,"Crokus seems to have fallen for the D'Arle young daughter he briefly met during his last job. He informs Kruppe he changed his mind and doesn't want the loot sold, instead, he wants it back. Kruppe takes note of the peculiar coin that Crokus found on the same night with the job. "
31,36,Kruppe informs Baruk about the spinning coin and the assassin war. Baruk orders the protection of the coin bearer 
32,38,"Quick Ben travels through chaos to meet Hairlock. Is disturbed by how far Hairlock has gone, but claims he has been there before and gives a warning to the inhabitants. Hairlock has been using chaos more and more, partly to stay undetected. That and the fact that he is now a puppet add to his madness. Quick Ben gets convinced Hairlock is mad and must soon be put down before he is out of control. Leaving, he gives Hairlock a reminder he is still in charge. "
33,40,"On her way to Pale, Lorn gets ambushed in the Rhivi plain by travelling barghast. She only survives at the last minute by the intervention of Toc - who had traced her there - and of Onos T'oolan (Tool), a T'lan Imass undead warrior who was charged to meet her. Toc then brings her to Pale.  "
34,41,Tattersail awakens. Her fever was caused by Hairlock's magic (chaos). She confirms the coin has stopped spinning and has fallen. Also confirms Paran's sword is a tool of Oppon. She warns Paran against Hairlock and asks him to stay close for protection against the puppet. 
35,42,"Lorn confirms the army is close to revolting and Dujek is being pushed by Tayschrenn. She offers to support Dujek. She also verifies to Tayschrenn that they should work to eliminate all of the old guard that might still be loyal to the emperor. Then confronts him that Dujek is not one of them and they should do everything to keep him, so Tayschrenn should stay out of his way. If Dujek is forced to mutiny, it is the empire's failing, not Dujek's.  "
36,44,"Lorn confronts Tattersail, due to her childhood scars (Tattersail was part of an operation in Malaz isle to root out 'illegal' mages, the operation spiralled out of control, and many innocents died including Lorn's parents. Lorn was recruited by the claw straight after. This incident is actually what was going on during the prologue where Whiskeyjack met the younger Paran). Tattersail is ready to face the consequences. Lorn wants blood but is shut down by Dujek who reminds her she is an instrument of the empire, the adjunct. The previous Lorn does not exist. "
37,45,"In a dinner with Dujek, Tayschrenn, Lorn and Toc, Tattersail explains the hound was accidentally summoned following a reading of the deck of dragons she made, and she only survived the attack due to the interference of Oppon. She informs the others that both Shadow and Oppon have entered the fray and are interested in the Empire's plans for Darujhistan. Toc, as a claw, is asked to evaluate the truthfulness of her story, and even though he senses dishonesty, he backs Tattersail. He does so due to his commitment to the 2nd army. "
38,46,"Hairlock warns Paran and Tattersail that Lorn has a T'lan Imass companion. Paran admits that he has been working with Lorn and their mission is to take Sorry out. Tattersail suspects Lorn has additional items on her agenda, otherwise, she wouldn't need a T'lan Imass. She fears Lorn wants to exterminate the whole ninth squad and decides to travel to Darujhistan to warn them. Tattersail is worried that Paran could draw Lorn's attention, so she insists he stays behind. Paran and Tattersail become lovers.  "
39,47,"Paran meets Toc and, argues Lorn wouldn't take the bridgeburners out but Toc convinces him she probably wants to. Paran also realises that Tattersail mentioned his link with Lorn was severed when he died so there isn't a risk for Lorn tracking him down. The plan is for the two of them to catch up with Tattersail and go to Darujhistan together. "
40,48,"Tool creates an area around him that deadens magic which makes Tattersail unable to travel via warren too far. Bellurdan, still carrying the remains of Nightchill, meets her as she exits her warren with orders to return her to Pale. We learn that Bellurdan found records of a Jagut tyrant being buried/imprisoned near Darujhistan. Tattersail believes Lorn is on her way to free the tyrant which is why she is traveling with an otataral sword and a Tlan Imass. Bellurdan, on Tayschrenn's orders, refuses to let her continue, so she engulfs both of them in fire after recognising the preservation spell she had put on Nightchill's remains. Tool from further away notices the conflagration of magic and notes that something new has been born out of it which flees. "
41,49,"Crone flies to Caladan Brood to give news that Oppon are in the game and the spinning coin has been found by someone. Explains that Anomander would want to take Oppon out of the game, but Caladan Brood wants the coin-bearer protected, and hints he might use the crimson guard to do so.  "
