Id,Context
1," In the twentieth century, there were vast differences in societies around the world. Most were literate industrial populations but there were also many farmer-based societies, and even some hunter-gatherers with stone tools. The societal differences were so vast that a handful of societies managed to overpower and exert their will in many others via expansionism, colonialism and so on. Why were they able to do so? Why and how did these differences emerge? This is what this book tries to answer. Why did societal and technological development proceed at such different rates in different parts of the world?"
2,"Explanations for the different developmental rates across the world generally fall into two categories: because of the people, or because of their environment. Not only do older attempts to explain developmental differences according to differences in populations' intelligence (the non-white Europeans being less intelligent) have no merit as no convincing proof was ever presented, but Diamond believes Westerners might actually be at a disadvantage after spending a lot of time with New Guinean aboriginals who to him seem more intelligent. He believes they might be more intelligent because 1) intelligence probably plays much more of a role in survival there compared to the Western world where people survive more indiscriminately, and 2) because kids grow up with no TV, spending their whole time talking, playing, and engaging with others, so with a lot of stimuli believed to be vital by Western scientists. So, the question becomes, why did the Europeans develop more quickly even though they might be less intelligent?"
3,"One explanation given in the past to explain developmental differences in societies is that of weather. The argument is that a varying climate pushed people to be more inventive, develop warmer clothes and homes and so on. Weather on its own is inadequate to explain these developmental differences. It's inadequate because Northern Europeans largely benefited from inventions developed elsewhere like the wheel, metallurgy, print etc, and in America, all significant inventions happened around the equator which is where the largest civilisations also grew."
4,"Another explanation sometimes used to explain these developmental differences between societies is about low land river valleys in dry climates. In such areas, farming requires irrigation control which is hard to implement so such efforts might have given rise to central government. Again, this explanation is adequate due to the various exceptions where societal developments did not follow irrigation developments, or where such river valleys never developed irrigation at all. "
5,"Guns, germs, and steel are much better at explaining the developmental differences between societies, as at least they talk about the actual means by which the Europeans dominated the rest. But we should look at how and why those things developed, and why Africa with a head start on civilisation and plenty of deadly viruses was surpassed. A good starting point to understand the impact of guns, germs and steel is to look at the spectacular story of Pizarro."
6,"The Spaniard Pizarro, along with his 168 men, received the Incas emperor Atahualpa along with his 80.000 soldiers and managed to take him prisoner, killing several thousand of his servants and soldiers in the process, without losing a single Spaniard. They kept the emperor prisoner for 8 months, extracted a ridiculous amount of gold as ransom and then proceeded to kill him instead of releasing him, further crippling the Incas empire. Sure, the Spaniards would eventually prevail due to their superior technology, guns etc, but this incident greatly sped up the process. How did they manage this? The shock factor of first seeing guns and horses probably played a role initially in their success, but according to Diamond what allowed a handful of Spaniards to repeatedly massacre thousands of Indians was the ridiculous advantage provided by their superior equipment, steel armour and weapons, guns, and horses. Their armour was impenetrable by the Incas' weapons, while their steel weapons cut easily through the Inca's defences. Even a small cavalry of a couple dozen Spaniards was virtually invincible on open ground. "
7,"Something else that helped Pizarro was that the Incas were at the time divided - Atahualpa and his army were in Cajamarca because they just won a civil war. The former emperor and his heir were both killed by a smallpox epidemic and as a result, Atahualpa and his brother fought for becoming the next emperor. The spread of disease was not only important in dividing the empire before the Spaniards arrived, germs would ultimately be responsible for wiping out around 95% of the estimated original Native American population."
8,"Europeans had a clear advantage in their Maritime ships and technologies, that allowed them to arrive in the Americas while the opposite wasn’t possible. These maritime advancements and the undertaking of these expeditions required a certain central government organization back in Spain that was very different from the ones in the Americas. A central government was also in place in the Americas but it actually played against them as the capture and extermination of the emperor effectively crippled the empire."
9,"The last inequality, that allowed Pizarro to set the trap and Atahualpa to walk into it, was one of information. Pizarro was aware of a long European history full of conflict, of other cultures, and of the most recent conquering of the Aztecs by Cortes. Atahualpa was completely unaware of the Spaniards and their prowess or of any similar historical incidents. He hadn't even heard of the fall of the neighbouring Aztecs a couple of decades earlier. This inequality ultimately comes down to writing that allows precise, fast and lasting transmission of information, even to people like Pizarro who was himself illiterate. Writing also helped the Spaniards to share information and stories effectively bringing more Spaniards to the cause. "
10,"The development of technologies such as guns, steel, and even writing, as well as the emergence of killer germs capable of epidemics are all dependent on one common factor: the population size of the societies producing them. To better understand this, we can separate all societies into 4 main categories, based on their population size, and examine their relative characteristics. These four kinds of societies are bands, tribes, chiefdoms, and states."
