Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
Age,27.96993988,27.93658537,29.05588822,,,66.98424069,29.15505913,29.12247645,29.52094972,29.64416315,29.40479361,29.76878613,30.30537975,29.87091988
Sex,1.526104418,1.509756098,1.463073852,,,,,,,,,,,
Children,0.378,0.395121951,0.363273453,,,,,,,,,,,
Under12,0.226570546,0.24691358,0.194,,,,,,,,,,,
Over12,0.15376677,0.153465347,0.165668663,,,,,,,,,,,
Education,4.02997003,4.068292683,4.015968064,,,,,,,,,,,
SubjectiveSES,5.54,5.717073171,5.514,,,,,,,,,,,
Ethnicity,2.894211577,2.841463415,2.908183633,,,,,,,,,,,
English,1.586345382,1.651219512,1.614,,,,,,,,,,,
Fluent,1.012048193,1.009756098,1.00998004,,,,,,,,,,,
LivingSituation,3.355421687,3.748780488,3.922155689,,,,,,,,,,,
Preexisting,1.881763527,1.865853659,1.842315369,,,,,,,,,,,
MateSeeking1,,2.62195122,2.423503326,2.480952381,,,,,,,,,,
MateSeeking2,,2.931372549,5.151111111,4.868735084,,,,,,,,,,
PFIclose1,5.967935872,5.785365854,,,,,,,,,,,,
PFIclose2,5.176352705,5.163414634,,,,,,,,,,,,
PFIclose3,4.864646465,4.67804878,,,,,,,,,,,,
PFIclose4,4.732931727,4.681372549,,,,,,,,,,,,
PFIclose5,5.967806841,5.829268293,,,,,,,,,,,,
PFIclose6,4.088709677,3.941463415,,,,,,,,,,,,
CFIclose1,1.559118236,,,,,,,,,,,,,
CFIclose2,-1.396793587,,,,,,,,,,,,,
CFIclose3,1.662650602,,,,,,,,,,,,,
CFIclose4,-1.399598394,,,,,,,,,,,,,
CFIclose5,1.280561122,,,,,,,,,,,,,
CFIclose6,-1.333333333,,,,,,,,,,,,,
PFIAcq1,5.02004008,,,,,,,,,,,5.214182344,5.14511041,
PFIAcq2,4.250501002,,,,,,,,,,,4.926406926,4.804416404,
PFIAcq3,3.925702811,,,,,,,,,,,3.661360347,3.91955836,
PFIAcq4,3.875251509,,,,,,,,,,,3.922077922,4.134069401,
PFIAcq5,4.897590361,,,,,,,,,,,5.247109827,5.190851735,
PFIAcq6,3.234468938,,,,,,,,,,,3.481910275,3.616113744,
CFIAcq1,0.925702811,,,,,,,,,,,,,
CFIAcq2,-0.821285141,,,,,,,,,,,,,
CFIAcq3,1.056565657,,,,,,,,,,,,,
CFIAcq4,-0.863179074,,,,,,,,,,,,,
CFIAcq5,0.738955823,,,,,,,,,,,,,
CFIAcq6,-0.706827309,,,,,,,,,,,,,
PSS1,2.993987976,3.053658537,,,,,,,,,,,,
PSS2,3.170340681,3.161764706,,,,,,,,,,,,
PSS3,3.685370741,3.486552567,,,,,,,,,,,,
PSS4,1.693386774,1.594132029,,,,,,,,,,,,
PSS5,1.513026052,1.431372549,,,,,,,,,,,,
PSS6,3.022132797,2.933823529,,,,,,,,,,,,
PSS7,1.491967871,1.535452323,,,,,,,,,,,,
PSS8,1.53507014,1.600490196,,,,,,,,,,,,
PSS9,3.024048096,3.04400978,,,,,,,,,,,,
PSS10,2.913827655,2.8,,,,,,,,,,,,
Stress,,,4.527777778,4.5921522,4.374651811,4.25483871,3.980854197,3.876506024,3.791899441,3.754929577,3.835325365,3.917867435,3.940063091,3.940652819
Anxiety,,,4.988913525,4.918951132,,,,,,,,,,
Anxiety1,2.370741483,2.371638142,,,,,,,,,,,,
Anxiety2,2.174348697,2.196078431,,,,,,,,,,,,
Anxiety3,2.451807229,2.404938272,,,,,,,,,,,,
Anxiety4,2.244444444,2.242647059,,,,,,,,,,,,
Anxiety5,1.875502008,1.806845966,,,,,,,,,,,,
Anxiety6,2.261044177,2.202933985,,,,,,,,,,,,
Anxiety7,1.97995992,2.149509804,,,,,,,,,,,,
PerceptionsRisk,3.130990415,4.046875,3.914539401,4,3.763888889,3.678456592,3.553254438,3.471212121,3.370990237,3.478873239,3.638666667,3.654178674,3.666666667,3.767062315
PerceptionsRisk2,4.798722045,5.70703125,,,,,,,,,,,,
PerceptionsRisk3,3.690095847,5.27734375,,,,,,,,,,,,
Riskmanagementtransfer,3.275641026,4.093385214,3.941176471,4.022592152,4.072222222,4.131832797,3.963017751,3.909228442,3.419804742,3.524613221,3.526595745,,3.52764613,3.474777448
