Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
Age,46.19146608,49.10094637,50.09886548,49.65131579,50.96071429,51.51676529,51.45617978,51.62993763,52.56324582,52.23205742,52.43333333,52.76600985,52.70673077,52.63746959,53.90501319,54.45962733,53.2605042,53.85302594
Sex,1.520787746,1.531545741,1.515397083,1.526315789,1.535714286,1.524654832,1.525842697,1.542619543,1.525059666,1.525059666,,,,,,,,
Children,1.221006565,1.249211356,1.183144246,1.205592105,1.269642857,1.244575937,1.280898876,1.266112266,1.312649165,1.284009547,,,,,,,,
ChildrenUnder18,0.466083151,0.417981073,0.392220421,0.384868421,0.391071429,0.370808679,0.431460674,0.386694387,0.377088305,0.374701671,,,,,,,,
Education,4.5,4.451104101,4.439222042,4.432565789,4.485714286,4.469428008,4.411235955,4.403326403,4.381861575,4.365155131,,,,,,,,
SSES,5.297802198,,,,,5.205940594,,,,,,5.141791045,,,5.114973262,,,5.06122449
OccupationRisk,0.774617068,0.720820189,0.670988655,0.664473684,0.623214286,0.585798817,0.602247191,0.661122661,0.658711217,0.639618138,0.639618138,0.774617068,0.720820189,0.670988655,0.664473684,0.623214286,0.585798817,0.602247191
MoveChildhood,2.530681818,,,,,,,,,,,,,,,,,
Move,4.565995526,,,,,,,,,,,,,,,,,
NumberInHouse,2.725082147,,,,,,,,,,,,,,,,,
Preexisting,1.297149123,,,,,,,,,,,,,,,,,
Citizen,1.972677596,1.979462875,1.988636364,1.98677686,1.983928571,1.98816568,1.995525727,1.995841996,1.997607656,1.992822967,1.995249406,1.997530864,1.983173077,2,1.99204244,1.993710692,1.991573034,1.997093023
Responsible,,6.052050473,,,,,,,,,,,,,,,,
PFINeigh1,5.222100656,5.223974763,5.108589951,5.141447368,5.251798561,5.225296443,5.195067265,5.179166667,5.23923445,5.138755981,5.228028504,5.273399015,5.207729469,5.284671533,5.174603175,5.246105919,5.191011236,5.248554913
