Name,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
Age,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sex,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Children,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ChildrenUnder18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Feet,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Inches,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Weight,0,0,0,0,0,0,1,1,0,0,0,1,0,0
FeetToInches,0,0,0,0,0,0,1,1,0,0,0,0,0,0
InchesTotal,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Height,0,0,0,0,0,0,1,1,0,0,0,1,0,0
SSES,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Ethnicity,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Occupation,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OccupationRisk,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zip,1,0,0,0,0,0,0,0,0,0,0,0,0,0
State,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CountryBorn,1,0,0,0,0,0,0,0,0,0,0,0,0,0
County,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MoveChildhood,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Move,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LivingSituation,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LivingChange,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Preexisting,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PreexistingWhat,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberInHouse,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Responsible,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CurrentHrlyWrk,0,0,0,0,0,0,0,0,0,1,0,1,0,0
HrlyWrkMonthAgo,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VaccineWork,0,0,0,0,0,0,0,0,1,0,0,1,0,0
VaccineEncouraged,0,0,0,0,0,0,0,0,1,0,0,1,0,0
TimeOffForVaccine,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JobRiskCovid,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WorkHome,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PerceptionRisk,1,1,1,1,1,1,1,1,1,1,1,1,1,1
InfectionSeverity,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ConcernCovid,1,1,1,1,1,1,1,1,1,1,1,1,1,1
