index,Country,Measure,Category,Subcategory,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
0,World,PerceptionsRisk,Age,18-21,2.959459459,4.057971014,3.393162393,3.561320755,3.445714286,3.305732484,3.082802548,2.974358974,2.930232558,3.052023121,3.227027027,3.215568862,3.246575342,3.351851852
1,World,PerceptionsRisk,Age,22-25,3.513157895,4.169230769,4,4.057692308,3.766467066,3.794701987,3.664739884,3.601226994,3.443786982,3.698224852,3.906077348,3.923529412,3.875816993,4.146496815
2,World,PerceptionsRisk,Age,26-35,3.019047619,3.987012987,4.21978022,4.222222222,3.99103139,3.941176471,3.693069307,3.613861386,3.515837104,3.54245283,3.666666667,3.731343284,3.773684211,3.79047619
3,World,PerceptionsRisk,Age,36-50,3.170212766,4.029411765,4.051851852,4.147286822,3.85,3.631578947,3.756756757,3.607476636,3.535087719,3.625,3.74789916,3.666666667,3.708737864,3.757281553
4,World,PerceptionsRisk,Age,51-80,2.545454545,3.727272727,3.928571429,4.15,3.676470588,3.5625,3.666666667,3.935483871,3.682926829,3.595238095,3.85,3.825,3.780487805,3.857142857
5,World,PerceptionsRisk,Sex,Male,3.090277778,3.90625,3.793926247,3.885780886,3.62,3.514018692,3.412979351,3.256965944,3.243767313,3.313019391,3.423280423,3.44198895,3.501567398,3.632768362
6,World,PerceptionsRisk,Sex,Female,3.166666667,4.181102362,4.041284404,4.122850123,3.903846154,3.859060403,3.707831325,3.698795181,3.514204545,3.658892128,3.869209809,3.889230769,3.841935484,3.921135647
7,World,PerceptionsRisk,Sex,Other,3,,5,4.5,5.5,7,2,2,1,2,3,3,5,3
8,World,PerceptionsRisk,preexisting,preexisting_yes,3.060606061,3.870967742,4.078125,4.102564103,3.897196262,3.733333333,3.838383838,3.817204301,3.59223301,3.752475248,3.752293578,3.773195876,3.896907216,3.909090909
9,World,PerceptionsRisk,preexisting,preexisting_no,3.139285714,4.066964286,3.888311688,3.986130374,3.747126437,3.677358491,3.507853403,3.422735346,3.337152209,3.433774834,3.623233909,3.632825719,3.630393996,3.743455497
10,Portugal,PerceptionsRisk,Age,18-21,2.375,3.5,3.12,3.395833333,3.093023256,3.102564103,3.083333333,3.055555556,2.756097561,3.282051282,3.288888889,3.368421053,3.297297297,3.342857143
11,Portugal,PerceptionsRisk,Age,22-25,3.65,4.285714286,3.960784314,3.854166667,3.658536585,3.722222222,3.720930233,3.942857143,3.613636364,3.926829268,4.204545455,4.078947368,4.025641026,4.222222222
12,Portugal,PerceptionsRisk,Age,26-35,3.8,5,4.130434783,4.238095238,3.913043478,4,4.533333333,4.352941176,4.166666667,4,4,4,4.357142857,4.117647059
13,Portugal,PerceptionsRisk,Age,36-50,2.833333333,3.75,3.857142857,3.857142857,3.916666667,4.2,4.3,3.888888889,4.461538462,4.214285714,4,3.928571429,3.769230769,3.769230769
14,Portugal,PerceptionsRisk,Age,51-80,,,4,4,4,3,2,5,4,3,3,4,3,4
15,Portugal,PerceptionsRisk,Sex,Male,3.083333333,3.884615385,3.623376623,3.671232877,3.587301587,3.509433962,3.796296296,3.470588235,3.629032258,3.721311475,3.876923077,3.786885246,3.736842105,3.933333333
16,Portugal,PerceptionsRisk,Sex,Female,3.173913043,4.142857143,3.725806452,3.793103448,3.410714286,3.571428571,3.509803922,3.97826087,3.388888889,3.8,3.727272727,3.818181818,3.782608696,3.731707317
17,Portugal,PerceptionsRisk,Sex,Other,,,5,7,7,7,,2,1,2,3,3,5,3
