Context,Node
1,societal-advantage
2,societal-advantage
2,people
2,environment
3,climate
3,societal-advantage
4,societal-advantage
4,irrigation
5,societal-advantage
5,pizarro
5,technology
5,germs
6,societal-advantage
6,americas
6,technology
6,war
6,animals
6,europe
6,pizarro
6,incas
7,incas
7,germs
7,pizarro
7,americas
7,europe
7,societal-advantage
8,societal-advantage
8,technology
8,europe
8,americas
8,central-government
9,writing
9,pizarro
9,societal-advantage
9,incas
10,population
10,germs
10,technology
10,societies
10,bands
10,tribes
10,chiefdoms
10,states
11,societies
11,bands
11,new-guinea
11,americas
11,hunter-gatherers
12,tribes
12,food-production
12,societies
13,chiefdoms
13,societies
13,religion
13,central-government
13,technology
14,states
14,societies
14,war
14,religion
14,technology
15,writing
15,states
15,incas
16,population
16,central-government
16,societies
17,societies
17,bands
17,tribes
17,states
17,chiefdoms
17,food-production
17,hunter-gatherers
17,war
18,population
18,food-production
18,animals
18,war
18,central-government
18,religion
18,technology
18,writing
19,animals
19,war
19,food-production
19,transportation
19,clothes
20,founder-package
20,fertile-crescent
20,china
20,mesoamerica
20,south-american-andes
20,eastern-us
20,sahel-zone
20,west-africa
20,ethiopia
20,new-guinea
21,founder-package
21,nutrition
21,clothes
22,plant-domestication
23,plant-domestication
23,fertile-crescent
24,oceania
24,asia
24,food-production-inequalities
24,animal-domestication
24,europe
24,animals
24,humans
24,americas
24,africa
24,food-production
25,animal-domestication
26,food-production-inequalities
26,people
26,environment
26,fertile-crescent
26,mesoamerica
26,eastern-us
26,south-west-us
27,fertile-crescent
27,plant-domestication
27,food-production-inequalities
27,size
27,animal-domestication
27,clothes
27,transportation
27,south-africa
27,chile
27,south-west-us
27,australia
27,environment
28,food-production-inequalities
28,environment
28,eastern-us
28,plants
28,animals
28,plant-domestication
28,animal-domestication
28,mesoamerica
29,food-production-inequalities
29,people
29,new-guinea
29,food-production
30,environment
30,people
30,food-production-inequalities
30,plant-domestication
30,animal-domestication
31,germs
31,war
31,americas
31,polynesia
31,africa
32,germs
32,animals
32,food-production
32,population
33,germs
33,americas
33,europe
33,asia
33,africa
33,societal-advantage
34,writing
35,writing
35,central-government
36,writing
36,isolation
36,americas
36,africa
36,polynesia
36,hawaii
37,technology
38,technology-adoption
39,technology-adoption
40,technology
40,cultural-diffusion
40,mesoamerica
40,south-american-andes
41,cultural-diffusion
41,language
41,genetics
41,population-displacement
41,societal-advantage
41,food-production
41,isolation
42,technology
42,cultural-diffusion
42,europe
42,asia
42,societal-advantage
42,writing
43,food-production
43,cultural-diffusion
43,population-displacement
43,egypt
43,europe
43,south-africa
43,americas
43,americas
43,australia
43,hunter-gatherers
44,food-production
44,isolation
44,climate
44,hunter-gatherers
44,americas
44,south-africa
44,australia
45,africa
45,founder-package
45,sahel-zone
45,ethiopia
45,west-africa
45,fertile-crescent
45,china
45,animals
46,polynesia
46,food-production
46,animals
46,population
46,climate
46,societies
46,technology
46,germs
46,writing
47,food-production
47,geography
47,europe
47,africa
47,americas
47,oceania
47,climate
47,asia
47,germs
47,plants
47,animals
48,isolation
48,population
48,technology
48,societal-advantage
48,oceania
48,australia
48,new-guinea
49,australia
49,societal-advantage
49,environment
49,climate
49,isolation
49,indonesia
49,technology
49,animals
49,food-production
49,new-guinea
50,new-guinea
50,food-production
50,climate
50,population
50,hunter-gatherers
50,technology
50,animals
50,plants
50,indonesia
50,isolation
50,societies
50,bands
50,tribes
51,new-zealand
51,societal-advantage
51,climate
51,food-production
51,war
51,isolation
51,size
51,population
51,technology
51,hunter-gatherers
52,china
52,language
52,population-displacement
52,east-asians
52,indonesia
52,austronesean-expansion
52,writing
53,china
53,cultural-diffusion
53,writing
53,language
53,geography
53,population-displacement
53,early-food-production
53,societal-advantage
53,east-asians
53,asia
53,hunter-gatherers
53,genetics
54,austronesean-expansion
54,new-guinea
54,polynesia
54,hawaii
54,madagascar
54,population-displacement
54,cultural-diffusion
54,new-zealand
54,animals
54,technology
54,language
54,genetics
54,australia
54,china
54,oceania
54,east-asians
54,indonesia
54,australia
54,societal-advantage
54,food-production
54,climate
55,africa
55,bantu
55,khoisan
55,pygmies
55,madagascar
55,hunter-gatherers
55,population-displacement
55,europe
55,south-africa
56,language
56,pygmies
56,khoisan
56,population-displacement
56,bantu
57,bantu
57,west-africa
57,pygmies
57,sahel-zone
57,technology
57,khoisan
57,ethiopia
57,population-displacement
57,food-production
57,climate
58,europe
58,polynesia
58,new-zealand
58,hawaii
58,climate
58,population-displacement
59,new-guinea
59,germs
59,europe
59,isolation
59,cultural-diffusion
59,australia
59,population-displacement
59,war
59,founder-package
59,societal-advantage
59,geography
60,societal-advantage
60,europe
60,americas
60,early-food-production
60,environment
60,isolation
60,geography
60,technology
60,writing
60,germs
61,societal-advantage
61,europe
61,americas
61,climate
61,central-government
61,food-production
62,societal-advantage
62,europe
62,africa
62,early-food-production
62,geography
62,size
63,societal-advantage
63,environment
63,geography
63,isolation
63,population
63,size
64,societal-advantage
64,fertile-crescent
64,europe
65,societal-advantage
65,europe
65,china
65,central-government
65,food-production
65,writing
65,technology
65,germs
65,early-food-production
66,societal-advantage
66,people
