Context,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12
1,Heboric,Duiker,Felisin,Baudin,,,,,,,,
1,Felisin,Baudin,,,,,,,,,,
2,Heboric,,,,,,,,,,,
3,Heboric,Worldbuilding,,,,,,,,,,
4,Felisin,Tavore,,,,,,,,,,
5,Laseen,Tavore,Heboric,,,,,,,,,
5,Heboric,Baudin,Felisin,,,,,,,,,
5,Baudin,Felisin,,,,,,,,,,
6,Mappo,Icarium,Rhyllandaras,,,,,,,,,
6,Icarium,Rhyllandaras,,,,,,,,,,
7,Duiker,Coltaine,Dujek,,,,,,,,,
7,Coltaine,Dujek,,,,,,,,,,
8,Kalam,Fiddler,Crokus,Apsalar,Laseen,Quick,,,,,,
8,Fiddler,Crokus,Apsalar,,,,,,,,,
8,Crokus,Apsalar,,,,,,,,,,
9,Kalam,Quick,Apsalar,,,,,,,,,
9,Quick,Apsalar,,,,,,,,,,
10,Fiddler,Kalam,Crokus,Apsalar,,,,,,,,
10,Kalam,Crokus,Apsalar,,,,,,,,,
10,Crokus,Apsalar,,,,,,,,,,
11,Duiker,Sormo,Dryjhna,,,,,,,,,
11,Sormo,Dryjhna,,,,,,,,,,
12,Duiker,Coltaine,Bult,Mallick,Kulp,Sormo,Pormqual,Dujek,,,,
12,Coltaine,Bult,Mallick,Kulp,Sormo,Pormqual,Dujek,,,,,
12,Bult,Mallick,Kulp,Sormo,Pormqual,Dujek,,,,,,
12,Mallick,Kulp,Sormo,Pormqual,,,,,,,,
12,Kulp,Sormo,,,,,,,,,,
13,Bult,Sormo,Kulp,,,,,,,,,
13,Sormo,Kulp,,,,,,,,,,
14,Bult,Laseen,Worldbuilding,Duiker,Cartheron,,,,,,,
14,Laseen,Worldbuilding,Duiker,Cartheron,,,,,,,,
14,Worldbuilding,Cartheron,,,,,,,,,,
15,Fiddler,Kimloc,,,,,,,,,,
16,Worldbuilding,Icarium,Mappo,Sormo,Kimloc,,,,,,,
17,Duiker,Kalam,Fiddler,,,,,,,,,
17,Kalam,Fiddler,,,,,,,,,,
