label,weight
old man,88
shook her head,12
shook his head,82
High Priest,96
Hood's breath,80
could see,69
a moment later,68
High Fist,97
Seven Cities,60
said nothing,49
T'lan Imass,50
either side,45
to one side,34
one hand,40
red blades,37
two men,36
don't know,36
a long moment,36
cleared his throat,35
eyes narrowed,33
hundred paces,30
made way,30
main deck,30
half a dozen,29
oh yes,29
paces away,27
stepped forward,27
Malaz City,25
Hood's name,25
Foolish Dog,25
Malazan Empire,24
closed his eyes,20
long ago,24
something like,23
Soletaken and D'ivers,23
a dozen paces,21
Weasel Clan,23
turned away,22
eyes widened,22
Hood knows,22
Hood take,21
one last,21
Holy Desert,20
might well,18
fell silent,20
stepped back,20
well enough,20
red blade,20
never mind,19
one thing,19
first time,19
glanced back,19
face to face,18
one day,19
Tiste Andii,19
D'ivers and Soletaken,18
ten paces,18
would know,17
said slowly,17
Crow Clan,17
short sword,17
don't think,17
men women,17
Chain of Dogs,17
thousand paces,16
said quietly,16
cocked his head,13
never seen,13
looked around,16
a long time,16
let us,16
last night,16
right hand,16
paces ahead,15
dark eyes,15
High Mage,15
thirty paces,15
laid hand,15
young man,15
heavy infantry,15
ten thousand,14
would make,14
eyes fixed,14
would never,14
Path of Hands,14
face twisted,14
every one,14
Quon Tali,14
leaned back,14
trader track,14
crouched beside,14
fell away,14
a moment longer,14
last time,14
wrapped around,14
years ago,13
old woman,13
young woman,13
bared his teeth,9
slowly turned,13
dust cloud,13
over one shoulder,13
new Fist,13
three men,13
would come,13
raised his head,10
looked away,13
yes sir,13
cliff face,13
Priest of Shadow,13
turned to see,13
Nameless Ones,13
fifty paces,13
first mate,13
eyes narrowing,12
black hair,12
slowly nodded,12
thus far,12
minutes later,12
sat back,12
look upon,12
far end,12
barked a laugh,12
clouds of dust,12
no-one else,12
anything like,12
High Priest of Shadow,13
drew deep a breath,10
Holy Desert Raraku,9
Foolish Dog Clan,8
one last time,8
a dozen paces away,7
half a dozen paces,7
five hundred paces,7
hundred paces ahead,6
shaved knuckle in the hole,6
could see nothing,6
a life given for a life taken,8
