Id,Context
1,"New 'talents' that can aid us navigate a rapidly changing world: 'the capacity to let go of comfort and become accustomed to ambiguity and contradiction, to raise above convention, to reframe questions, to abandon assumptions, open to new paradigms, more imagination and less reasoning to integrate ideas, experiment and tolerate failure. Due to new findings all these seem to form a coherent cognitive style. We'll call all this elastic thinking. Bottom up, non linear processing, less directed and more informed by emotional centres' "
2,Scripted behaviours in primal life are extended with rational thinking and elastic thinking 
3,"Four basic traits of human temperament: reward dependence, harm avoidance, persistence, and neophilia (attraction to novelty and change) "
4,"Humans particularly interested in the new, in exploration, compared to other species. Still, tedious tasks were the norm until very recently, and the word boring didn't even enter the vocabulary until the late 18th century and the industrial revolution. Our appetite for stimuli and change has grown dramatically ever since. "
5,Epigenetics: cells modifying bits of DNA and related proteins to turn on/off genes in response to environmental changes little understood but can be driven by habits and behaviours and even be hereditary
6,135k years ago humanity was reduced to about 600 individuals after a major catastrophe. It is theorised that the survivors had a greater edge for exploration which resulted in unpreceded explorations / colonializations from their descendants in the next few millennia. There has even been a gene found connected to explorations (dopamine driven) that seems stronger on populations further removed from their origins 
7,Scripted behaviours fairly usual in humans even if often we are not aware of them. In that sense responses are mindless as they are simple scripted responses to given triggers. And mindful are responses following some thinking which can be either rational or elastic. 
8,Research suggests that mindful practice 3-6 times a week will observably increase your ability to reduce scripted responses and raise other executive functions such as focus 
9,Use the difference between making a computer that can play chess and one that can compose music as the difference between analytical and elastic thinking 
10,"Without the reward system we are unable to take pleasure on reaching goals and therefore we are unable to reach decisions on open ended questions like where to eat, as illustrated by patient with impaired reward system. Analytical thinking alone is similarly inadequate. Elastic thinking is essential whenever you need to formulate and invent criteria for choice "
11,"Satisfiers vs maximisers. Satisfiers take the first good enough choice, while maximisers are looking for optimal choices. The maximising strategy usually leaves people depleted and less satisfied therefore only worth doing for important stuff like doctors, life partners and so on"
12,"Ants and other social insects, by following scripts are able, in large numbers, to show signs of intelligence in organising and adapting to the environment. However, this is not directed, it is an emerging quality. Hence, it is tempting to see the colony (vs the individual) as the intelligent organism. Used here as a metaphor for bottom up, unorchestrated elastic thinking"
13,"Being open to personal paradigm shifts for ideas, concepts and approaches a very useful ability in order to adapt to change. So especially important in our rapidly changing world. Try this mental flexibility exercise: write down well held beliefs in pieces of paper and throw them in a hat, pick one up and try to argue the opposite. "
14,"Dog and bone problem: throw bone over the fence, dog runs straight for it and gets stuck behind the fence. The problematic logic here, is the attempting to minimise physical distance - the closer to the bone, the better. Instead the solution lies in going away from the bone and around the fence. This is minimising distance in problem space - the path needed to solve the problem. "
15,"Default mode of though: thinking without consciously focusing, a key element for elastic thinking. "
16,"In the brain there is an association cortex for each sense and motor region. They help confer higher level meaning. In humans, 3/4 of all brain cells are in those cortices, which is the highest percentage in animals by far. All components of default mode reside in these cortices. Association cortices are always 'on', but are most free to roam when not consciously focusing, so for instance when working, driving, showering, and so on. "
17,"Losing the ability to make associations produces the true empty mind. As displayed by patient J who was only able to respond, losing all ability to maintain a dialogue, or understand jokes. "
18,"Rest time harder to get in modern society but essential for associations to be forged so that things can fit together and make sense. Make time for it. To this effect, even procrastination has been linked to creativity."
19,"Corpus callosum: structure that connects the two hemispheres. When severed, the hemispheres act independently. One can learn things while the other remains oblivious to them. "
20,"When trying to understand a sentence we need to understand the meaning of words in context. Like a puzzle. Left brain usually processes the more straightforward meanings and the right brain the more unusual ones. Hence, the right brain is better at comprehending the unexpected like metaphors, jokes, sarcasm and so on. A parallel can be made between moments of insight and understanding language. Insight feels spontaneous but is the product of a long (silent) process that produces and assesses unlikely solutions. "
21,"For unlikely interpretations to surface, a part of the brain, ACC, shuts down (or turns down) left brain to let ideas from right brain to surface. You can help this process by avoiding to tackle a problem directly, focused, or logically. Basically, the production of unusual ideas requires the toning down of the usual. "
22,"If insight and creativity are driven by unusual ideas, there is a good reason to strengthen our ability to produce such ideas. And to do so, we should challenge the various ways that our thinking can be rooted in the usual, becoming rigid and inflexible. "
23,"Functional fixedness: get stuck at using an ability / tool in a certain way. Unable to see other uses, or apply a skill on different contexts. For instance, as a writer to only write certain kind of books. Part of a more general problem of momentum of thought, which is the problem of changing course after accumulation of momentum, in this case due to habit, repetition and so on."
24,From Keynes: book contains simple idea easy to understand. The difficulty lies in getting away from older ideas. 
25,Frozen thinking (aka dogmatic cognition): ideas so old/imbedded in self that are never questioned. The process of questioning them is critical thinking. This is especially important in moral grounds (see nazi). Experts especially prone to frozen thinking due to experience and less open to new ideas. 
26,"Diametrically opposite to frozen thinking, is the beginner's mind, which is the ability to discard preconceptions (not experience per se) and be able to appreciate things as if you are encountering them for the first time."
27,"Experiment with chess: one board with a hard winning solution, and one board with one easy and one hard solutions. Given time subjects were always able to find the solution on the first board. But had difficulty on finding the hard solution on the second board even though they knew it existed. They got stuck by seeing the easy solution. "
28,"Dogmatic cognition vs beginners mind. One of the problems is that experts are socially expected to be dogmatic. Ideally, we should be looking for breadth of knowledge/experience, combined with a beginner's mind. "
