weight,id,name,category,alias,aliasflag,,,
57,cotillion,Cotillion,ascendants,Cotillion or the Rope,1,,,
61,kellanved,Kellanved,ascendants,Kellanved or Emperor,1,,,
66,shadowthrone,Shadowthrone,ascendants,Shadowthrone or Ammanas,1,,,
7,burn,Burn,ascendants,,0,,,
77,hood,Hood,ascendants,,0,,,
34,k'rul,K'rul,ascendants,,0,,,
113,oponn,Oponn,ascendants,,0,,,
4,baran,Baran,ascendants,,0,,,
32,gear,Gear,ascendants,,0,,,
10,rood,Rood,ascendants,,0,,,
7,shan,Shan,ascendants,,0,,,
11,blind,Blind,ascendants,,0,,,
4,doan,Doan,ascendants,,0,,,
1,ganrod,Ganrod,ascendants,,0,,,
646,paran,Paran,bridgeburners,Paran or Ganoes,1,,,
296,quick ben,Quick Ben,bridgeburners,Quick Ben or Quick or Ben,1,,,
184,sorry,Sorry,bridgeburners,Sorry or Apsalar,1,,,
101,fiddler,Fiddler,bridgeburners,,0,,,
61,hedge,Hedge,bridgeburners,,0,,,
272,kalam,Kalam,bridgeburners,,0,,,
96,mallet,Mallet,bridgeburners,,0,,,
14,picker,Picker,bridgeburners,,0,,,
11,antsy,Antsy,bridgeburners,,0,,,
32,trotts,Trotts,bridgeburners,,0,,,
324,whiskeyjack,Whiskeyjack,bridgeburners,,0,,,
317,rallick,Rallick Nom,darujhistan,Rallick Nom orRalick or Nom,1,,,
346,baruk,Baruk,darujhistan,,0,,,
34,circlebreaker,Circle breaker,darujhistan,,0,,,
150,coll,Coll,darujhistan,,0,,,
398,crokus,Crokus,darujhistan,,0,,,
51,eel,The Eel,darujhistan,,0,,,
22,irilta,Irilta,darujhistan,,0,,,
580,kruppe,Kruppe,darujhistan,,0,,,
113,mammot,Mammot,darujhistan,,0,,,
63,meese,Meese,darujhistan,,0,,,
208,murillio,Murillio,darujhistan,,0,,,
29,roald,Roald,darujhistan,,0,,,
120,orr,Turban Orr,darujhistan_others,Turban Orr or Turban or Orr,1,,,
26,challice,Challice D'Arle,darujhistan_others,,0,,,
16,lim,Lim,darujhistan_others,,0,,,
58,ocelot,Ocelot,darujhistan_others,,0,,,
53,vorcan,Vorcan,darujhistan_others,,0,,,
8,Estraysian,Estraysian D'Arle,darujhistan_others,,0,,,
18,scurve,Scurve,darujhistan_others,,0,,,
83,simtal,Simtal,darujhistan_others,,0,,,
4,stillis,Stillis,darujhistan_others,,0,,,
17,sulty,Sulty,darujhistan_others,,0,,,
13,talo,Talo Krafar,darujhistan_others,,0,,,
170,laseen,Laseen,malazans,Laseen or Empress or Surly,1,,,
612,lorn,Lorn,malazans,Lorn or Adjunct,1,,,
6,akaronys,A'Karonys,malazans,,0,,,
34,bellurdan,Bellurdan,malazans,,0,,,
51,calot,Calot,malazans,,0,,,
5,Dancer,dancer,malazans,,0,,,
8,dassem,Dassem Ultor,malazans,,0,,,
182,dujek,Dujek Onearm,malazans,,0,,,
5,felisin,Felisin,malazans,,0,,,
195,hairlock,Hairlock,malazans,,0,,,
14,nightchill,Nightchill,malazans,,0,,,
365,tattersail,Tattersail,malazans,,0,,,
3,tavore,Tavore,malazans,,0,,,
184,tayschrenn,Tayschrenn,malazans,,0,,,
148,toc,Toc the Younger,malazans,,0,,,
1,tocelder,Toc the Elder,malazans,,0,,,
34,topper,Topper,malazans,,0,,,
87,tool,Tool,others,Tool or Onos T'oolan,1,,,
5,icarium,Icarium,others,,0,,,
7,logros,Logros,others,,0,,,
1,mappo,Mappo,others,,0,,,
23,pranchole,Pran Chole,others,,0,,,
52,raest,Raest,others,,0,,,
5,pannion,The Pannion Seer,others,,0,,,
233,rake,Anomander Rake,tiste,Anomander Rake or or Anomander or Rake,1,,,
76,brood,Caladan Brood,tiste,,0,,,
1,blues,Blues,tiste,,0,,,
1,Cowl,cowl,tiste,,0,,,
108,crone,Crone,tiste,,0,,,
9,kallor,Kallor,tiste,,0,,,
6,korlat,Korlat,tiste,,0,,,
2,orfantal,Orfantal,tiste,,0,,,
8,kazz,K'azz D'Avore,tiste,,0,,,
25,serrat,Serrat,tiste,,0,,,
20,silanah,Silanah,tiste,,0,,,
6,fingers,Fingers,tiste,,0,,,
2,horult,Horult,tiste,,0,,,
8,chert,Chert,darujhistan_others,,0,,,
27,derudan,Derudan,darujhistan,,0,,,
5,garnet,Garnet,malazans,,0,,,
6,jorrick,Jorrick Sharplance,tiste,,0,,,
3,kig,Kig Aven,others,,0,,,
7,krute,Krute of Talient,darujhistan_others,,0,,,
1,travale,Travale,darujhistan,,0,,,
