Context,Node
1,stress
1,internal-external-scale
2,stress
2,immune-system
2,alertness
3,stress-response
3,distress
3,emotional-regulation
4,stressors
4,stress-response
4,cold-exposure
5,stress
5,stress-response
5,acetylcholine
5,sympathetic-system
5,epinephrine
5,movement
5,focus
6,stress-response
6,movement
7,sympathetic-system
7,parasympathetic-system
7,distress
7,stress-response
7,mouth
7,vision
7,reproduction
8,breathwork
8,heart-rate
8,lungs
9,stress-response
9,lungs
10,stress
10,short-stress
10,medium-stress
10,long-stress
11,stress-response
11,stressors
11,immune-system
11,infection
11,cognition
11,movement
12,stress-response
12,immune-system
12,epinephrine
13,breathwork
13,stress-response
13,short-stress
13,emotional-regulation
13,immune-system
13,alertness
14,stress-response
14,cognition
14,sleep
15,short-stress
15,distress
15,medium-stress
15,long-stress
16,distress
16,emotional-regulation
16,breathwork
16,meditation
17,distress
17,physiological-sigh
17,emotional-regulation
17,heart-rate
17,lungs
17,mouth
17,parasympathetic-system
18,brain
18,body
18,breathwork
19,vasovagal-response
19,heart-rate
19,distress
19,physiological-sigh
20,medium-stress
20,stress-threshold
20,stressors
20,mental-calmness
20,emotional-regulation
20,vision
20,breathwork
20,cold-exposure
20,exercise
21,heart-rate
21,hrv
21,long-stress
22,long-stress
22,emotional-regulation
22,distress
22,emotional-regulation
22,sleep
22,exercise
22,social-connections
22,serotonin
22,tachykinin
22,social-isolation
23,serotonin
23,social-connections
23,emotional-regulation
24,oxytocin
24,social-connections
24,sex
24,emotional-regulation
25,tachykinin
25,social-isolation
25,long-stress
25,immune-system
25,emotional-regulation
26,melatonin
26,emotional-regulation
26,sleep
26,distress
26,epinephrine
26,cortisol
27,l-theanine
27,distress
27,sleep
27,emotional-regulation
28,ashwagandha
28,emotional-regulation
28,distress
28,cortisol
29,emotions
30,emotions
30,food
30,brain
30,body
30,emotional-regulation
31,emotions
31,brain
31,body
32,vagus-nerve
32,brain
32,body
33,vagus-nerve
34,gut
34,brain
34,cravings
34,sugar
34,fat
34,vagus-nerve
34,dopamine
34,obesity
34,blood-sugar
35,brain
35,noradrenaline
35,food
36,satiated
36,amino-acid
37,dopamine
37,expectations
38,dopamine
38,reward
38,mood
38,depression
39,l-tyrosine
39,dopamine
39,food
39,cravings
39,motivation
39,brain-fog
39,emotional-regulation
40,dopamine
40,l-dopa
40,parkinsons
41,dopamine
41,cocaine
41,methamphetamine
42,dopamine
42,motivation
43,serotonin
43,content
43,dopamine
44,serotonin
44,food
44,rest-digest
45,tryptophan
45,food
45,serotonin
45,amino-acid
45,emotional-regulation
45,dopamine
46,serotonin
46,5htp
47,serotonin
47,satiated
48,mucuna-pruriens
48,serotonin
48,l-dopa
48,prolactin
48,testosterone
48,emotional-regulation
49,emotional-regulation
49,dopamine
49,serotonin
49,stress
49,motivation
50,omega3
50,omega6
50,mood
50,depression
50,hrv
50,emotional-regulation
51,omega3
52,l-carnitine
52,meat
52,blood-brain-barrier
52,depression
52,autism
52,alcohol
52,pain
52,reproduction
52,emotional-regulation
53,blood-brain-barrier
53,blood-gonad-barrier
54,microbiota
54,gut
54,brain
55,microbiota
55,mood
55,digestion
55,immune-system
55,mental-health
55,brain-fog
55,fermented-foods
55,emotional-regulation
56,microbiota
56,saccharin
57,microbiota
57,food
58,processed-foods
58,food
59,microbiota
59,fasting
60,body
60,emotions
60,subjective-effect
61,emotions
61,motivation
61,reward
62,acetylcholine
62,dopamine
62,focus
62,movement
62,motivation
63,dopamine
63,prefrontal-cortex
63,epinephrine
63,brain
63,prefrontal-cortex
63,impulsivity
64,dopamine
64,motivation
64,movement
65,dopamine
65,food
65,sex
65,nicotine
65,cocaine
65,amphetamine
65,video-games
65,social-media
65,emotional-regulation
66,addiction
67,cravings
67,addiction
67,dopamine
68,serotonin
68,dopamine
68,content
68,internal-external-scale
69,serotonin
69,blood-sugar
69,dopamine
69,cannabis
70,meditation
70,serotonin
70,dopamine
70,emotional-regulation
71,dopamine
71,serotonin
72,dopamine
72,motivation
72,pleasure
73,procrastination
73,stress
73,coffee
73,breathwork
73,l-tyrosine
73,dopamine
73,mucuna-pruriens
74,dopamine
74,prolactin
74,refractory-period
74,sex
74,lethargy
74,vitamin-b6
74,zinc
75,dopamine
75,schizophrenia
75,movement
76,dopamine
76,expectations
77,light
77,dopamine
78,dopamine
78,motivation
78,pleasure
79,pea
79,serotonin
79,dopamine
79,emotional-regulation
80,adhd
80,prefrontal-cortex
80,amphetamine
80,dopamine
80,impulsivity
80,emotional-regulation
81,obesity
81,impulsivity
82,body
82,subjective-effect
83,dopamine
83,coffee
83,mdma
83,methamphetamine
83,nicotine
84,dopamine
84,emotional-regulation
84,reward
84,witholding-celebration
85,emotions
86,emotions
86,arousal-scale
86,valence-scale
86,internal-external-scale
86,alertness
87,mood-meter
87,emotions
88,emotions
88,brain
88,emotional-development
89,emotions
89,brain
89,limbic-system
89,arousal-scale
89,valence-scale
89,internal-external-scale
90,emotions
90,emotional-development
90,internal-external-scale
90,babies
91,emotions
91,emotional-development
91,expectations
92,emotional-development
92,babies
92,social-connections
92,emotions
93,social-connections
93,language
94,emotional-regulation
94,internal-external-scale
94,social-media
95,internal-external-scale
96,internal-external-scale
97,internal-external-scale
97,focus
98,internal-external-scale
98,emotions
99,leptin
99,hormones
100,puberty
100,leptin
100,hormones
100,brain
101,hormones
101,pheromones
102,pheromones
102,puberty
103,kisspeptin
103,puberty
103,hormones
104,puberty
104,brain
104,emotions
105,puberty
105,emotional-development
105,social-connections
106,puberty
107,puberty
107,brain
107,emotional-development
108,puberty
108,emotional-development
109,emotional-development
109,dopamine
109,serotonin
110,brain
110,language
111,oxytocin
111,sex
111,empathy
112,brain
112,empathy
113,oxytocin
113,empathy
113,social-connections
114,oxytocin
114,emotional-regulation
114,vitamin-d
114,melatonin
115,vasopressin
115,emotional-regulation
115,cognition
115,alcohol
116,vagus-nerve
116,alertness
116,emotional-regulation
116,dopamine
116,arousal-scale
