Id,Context,Video,Time
1,What we commonly call stress is at the heart of whether our internal experience matches our external experience.,podcast_10,00.05.25
2,"Stress can both inhibit and support our immune system. Similarly, being alert or relaxed can be helpful or unhelpful in different contexts.",podcast_10,00.06.00
3,"Stress is a generic system, it was not designed for one thing in particular (like predators chasing us), so it remains current, however much our environment might have changed. The tools to destress are also generic and are not dependent on the source of stress. If you are alive, there are tools you can use to distress, and they work.",podcast_10,00.10.33
4,"Stressors are the things that stress us out, whereas stress is our response to stressors. Stressors can be physiological (like cold) and emotional (like having an exam).",podcast_10,00.15.00
5,"The stress response starts with the sympathetic chain ganglia (a chain of neurons at the centre of our body) which release acetylcholine on activation. Acetylcholine is typically used to move muscles in the body or for focus on the brain. Then, post-ganglionic neurons react to acetylcholine and release epinephrine (which is equivalent to adrenaline). So whenever we are getting stressed, epinephrine is released in certain areas of the body, and this is a very fast process. Epinephrine activates certain receptors to prepare the body in case of need, like getting extra blood to large muscles like the legs and the heart, while also activating other receptors leading to the contraction of blood vessels in other less needed systems like digestion and reproduction. So the stress response has two faces, supporting certain systems and suppressing others. For instance, the salivary glands are one of the systems that get suppressed which is why we often have a dry throat when stressed.",podcast_10,00.16.00
6,"Overall, stress makes you want to move. It creates a bias for action, whether that is physical action, or saying something. Suppressing this urge by trying to stay still can often lead to tremors which are normal.",podcast_10,00.20.20
7,"While the sympathetic system is driving our stress response, the parasympathetic system drives our calming response, so the best ways to calm ourselves down involve tapping into the parasympathetic system. The parasympathetic nervous system sits at the neck and lower brain, and at the genitalia areas. The best way to access it is via the mouth, throat and eyes, as we have easy and fast access to them.",podcast_10,00.21.47
8,"Breathing can be used to change your heart rate. When you inhale, the lungs get dilated opening up some space for the heart. The heart having a bit more space moves blood a bit slower (the same amount of blood moving through a larger area). The sinoatrial node in the heart registers how much blood moves in the heart, informs the brain that blood moves slower and the brain tells the heart to speed up as a result. What all this means in practical terms is, that you can make your heart go faster by inhaling longer and harder compared to the exhale. The opposite is also true (longer exhales for lowering heart rate).",podcast_10,00.26.20
9,"As part of our stress response, the millions of little sacks in our lungs get compressed, leading to a build-up of carbon dioxide in our body, which contributes to our agitation while stressed.",podcast_10,00.32.00
10,"There are three kinds of stress: short-term stress lasting up to a few days, medium-term stress lasting up to several weeks and long-term stress.",podcast_10,00.40.31
