Name,,09/26/2020,10/27/2020,11/28/2020,12/28/2020,01/27/2021,02/26/2021,03/28/2021,04/27/2021,05/27/2021,06/26/2021,07/26/2021
Age,,1,1,1,1,1,1,1,1,1,1,1
Sex,,1,1,1,1,1,1,1,1,1,1,
Children,,1,1,1,1,1,1,1,1,1,1,
ChildrenUnder18,,1,1,1,1,1,1,1,1,1,1,
Education,,1,1,1,1,1,1,1,1,1,1,
SSES,,1,,,,,1,,,,,
OccupationRisk,,1,1,1,1,1,1,1,1,1,1,
MoveChildhood,,1,,,,,,,,,,
Move,,1,,,,,,,,,,
NumberInHouse,,1,,,,,,,,,,
Preexisting,,1,,,,,,,,,,
Citizen,,1,1,1,1,1,1,1,1,1,1,1
Responsible,,,1,,,,,,,,,
PFINeigh1,,1,1,1,1,1,1,1,1,1,1,1
PFINeigh2,,1,1,1,1,1,1,1,1,1,1,1
PFINeigh3,,1,1,1,1,1,1,1,1,1,1,1
PFINeigh4,,1,1,1,1,1,1,1,1,1,1,1
PFINeigh5,,1,1,1,1,1,1,1,1,1,1,1
PFINeigh6,,1,1,1,1,1,1,1,1,1,1,1
WillingnessNeigh,,1,1,1,1,1,1,1,1,1,1,1
NBTneigh,,1,1,1,1,1,1,1,1,1,1,1
PFIcountry1,,1,1,1,1,1,1,1,1,1,1,1
PFIcountry2,,1,1,1,1,1,1,1,1,1,1,1
PFIcountry3,,1,1,1,1,1,1,1,1,1,1,1
PFIcountry4,,1,1,1,1,1,1,1,1,1,1,1
PFIcountry5,,1,1,1,1,1,1,1,1,1,1,1
PFIcountry6,,1,1,1,1,1,1,1,1,1,1,1
WillingnessCountry,,1,1,1,1,1,1,1,1,1,1,1
NBTcountry,,1,1,1,1,1,1,1,1,1,1,1
InfectedCovid,,1,1,1,1,1,1,1,1,1,1,1
TestedCovid,,1,1,1,1,1,1,1,1,1,1,1
WeekSinceCovid,,1,1,1,1,1,1,1,1,1,1,1
Symptoms1,,1,1,1,1,1,1,1,1,1,1,1
Symptoms2,,1,1,1,1,1,1,1,1,1,1,1
Symptoms3,,1,1,1,1,1,1,1,1,1,1,1
Symptoms4,,1,1,1,1,1,1,1,1,1,1,1
Symptoms5,,1,1,1,1,1,1,1,1,1,1,1
Symptoms6,,1,1,1,1,1,1,1,1,1,1,1
Symptoms7,,1,1,1,1,1,1,1,1,1,1,1
Symptoms8,,1,1,1,1,1,1,1,1,1,1,1
Symptoms9,,1,1,1,1,1,1,1,1,1,1,1
Symptoms10,,1,1,1,1,1,1,1,1,1,1,1
Symptoms11,,1,1,1,1,1,1,1,1,1,1,1
Symptoms12,,,1,1,1,1,1,1,1,1,1,1
Symptoms13,,,1,1,1,1,1,1,1,1,1,1
ContactsInfected,,1,1,1,1,1,1,1,1,1,1,1
Contacts24hrs,,1,1,1,1,1,1,1,1,1,1,1
Contacts7days,,,1,1,1,1,1,1,1,1,1,1
ContactsMask,,1,1,1,1,1,1,1,1,1,1,1
HouseMask,,1,1,1,1,1,1,1,1,1,1,1
Stress,,1,1,1,1,1,1,1,1,1,1,1
PerceptionRisk,,1,1,1,1,1,1,1,1,1,1,1
InfectionSeverity,,1,1,1,1,1,1,1,1,1,1,1
ConcernCovid,,1,1,1,1,1,1,1,1,1,1,1
EconomyVSshutdown,,1,1,,,,,,,,,
HelpGiven1,,1,1,1,1,1,1,1,1,1,1,1
HelpGiven2,,1,1,1,1,1,1,1,1,1,1,1
HelpGiven3,,1,1,1,1,1,1,1,1,1,1,1
HelpGiven4,,1,1,1,1,1,1,1,1,1,1,1
HelpGiven5,,1,1,1,1,1,1,1,1,1,1,1
HelpGiven6,,1,1,1,1,1,1,1,1,1,1,1
ReasonHelp,,,,1,1,1,1,1,1,1,1,1
PersonHelped,,,,1,1,1,1,1,1,1,1,1
EmpathyState1,,1,1,1,1,1,1,1,1,1,1,1
EmpathyState2,,1,1,1,1,1,1,1,1,1,1,1
EmpathyState3,,1,1,1,1,1,1,1,1,1,1,1
EmpathyState4,,1,1,1,1,1,1,1,1,1,1,1
TimeSinceHelp,,1,1,1,1,1,1,1,1,1,1,1
HelpReceived1,,1,1,1,1,1,1,1,1,1,1,1
HelpReceived2,,1,1,1,1,1,1,1,1,1,1,1
HelpReceived3,,1,1,1,1,1,1,1,1,1,1,1
HelpReceived4,,1,1,1,1,1,1,1,1,1,1,1
HelpReceived5,,1,1,1,1,1,1,1,1,1,1,1
HelpReceived6,,1,1,1,1,1,1,1,1,1,1,1
Predictability1,,1,,,,,,,,,,
Predictability2,,1,,,,,,,,,,
Predictability3,,1,,,,,,,,,,
Predictability4,,1,,,,,,,,,,
Predictability5,,1,,,,,,,,,,
Predictability6,,1,,,,,,,,,,
Predictability7,,1,,,,,,,,,,
Expectation1,,1,,,,,,,,,,
Expectation2,,1,,,,,,,,,,
Expectation3,,1,,,,,,,,,,
Expectation4,,1,,,,,,,,,,
Expectation5,,1,,,,,,,,,,
Expectation6,,1,,,,,,,,,,
Expectation7,,1,,,,,,,,,,
Challenges1,,1,,,,,,,,,,
Challenges2,,1,,,,,,,,,,
Challenges3,,1,,,,,,,,,,
Challenges4,,1,,,,,,,,,,
Challenges5,,1,,,,,,,,,,
Challenges6,,1,,,,,,,,,,
IRIconcern1,,1,,,,,,,,,,
IRIconcern2,,1,,,,,,,,,,
IRIconcern3,,1,,,,,,,,,,
IRIconcern4,,1,,,,,,,,,,
IRIconcern5,,1,,,,,,,,,,
IRIconcern6,,1,,,,,,,,,,
IRIdistress1,,1,,,,,,,,,,
IRIdistress2,,1,,,,,,,,,,
IRIdistress3,,1,,,,,,,,,,
IRIdistress4,,1,,,,,,,,,,
IRIdistress5,,1,,,,,,,,,,
IRIdistress6,,1,,,,,,,,,,
IRIdistress7,,1,,,,,,,,,,
CovidVolunteer,,1,,,,,,,,,,
TimeSpentOthers,,1,1,1,1,1,1,1,1,1,1,1
MoneyDonated,,1,1,1,1,1,1,1,1,1,1,1
PresentVfuture1,,,,1,,,1,,1,,,
PresentVfuture2,,,,1,,,1,,1,,,
PresentVfuture3,,,,1,,,,,,,,
PresentVfuture4,,,,1,,,1,,1,,,
FutureImportant,,,,1,,,1,,1,,,
PresentImportant,,,,1,,,,,,,,
Back2Normal,,1,1,1,1,1,1,1,1,1,1,1
ElectionBck2Normal,,1,1,,,,,,,,,
ConditionsChange,,1,1,1,1,1,1,1,1,1,1,1
Vaccine,,1,1,1,1,1,1,1,1,1,1,1
TrustVaccine,,1,1,1,1,1,1,1,1,1,1,1
OthersVaccine,,,,1,1,1,1,1,1,1,1,1
ReceiveVaccine,,,,,,1,1,,,,,
VaccineHealth,,,,,,1,,,,,,
VaccineOtherHealth,,,,,,1,,,,,,
VaccineSafety1,,,,,,1,1,,,,,
VaccineSafety2,,,,,,1,1,,,,,
VaccineSafety3,,,,,,1,1,,,,,
VaccineTV,,,,,,1,,,,,,
VaccinePeers,,,,,,1,,,,,,
AfterVaccineNormal,,,,,,1,,,,,,
VaccineRisk1,,,,,,1,,,,,,
VaccineRisk2,,,,,,1,,,,,,
VaccineRightThing,,,,,,,1,,1,1,1,1
TimeToVaccine,,,,1,1,1,1,1,1,1,1,1
FinancialHardship,,1,1,1,,1,,1,,1,,1
CFCset1.1,,1,,1,,1,,1,,1,,
CFCset1.2,,1,,1,,1,,1,,1,,
CFCset1.3,,1,,1,,1,,1,,1,,
CFCset1.4,,1,,1,,1,,1,,1,,
CFCset1.5,,1,,1,,1,,1,,1,,
CFCset1.6,,1,,1,,1,,1,,1,,
CFCset1.7,,1,,1,,1,,1,,1,,
CFCset2.1,,1,,1,,1,,1,,1,,
CFCset2.2,,1,,1,,1,,1,,1,,
CFCset2.3,,1,,1,,1,,1,,1,,
CFCset2.4,,1,,1,,1,,1,,1,,
CFCset2.5,,1,,1,,1,,1,,1,,
CFCset2.6,,1,,1,,1,,1,,1,,
CFCset2.7,,1,,1,,1,,1,,1,,
Discounting1,,1,,1,,1,,,,,,
Discounting2,,1,,1,,1,,,,,,
Discounting3,,1,,1,,1,,,,,,
Discounting4,,1,,1,,1,,,,,,
Discounting5,,1,,1,,1,,,,,,
Discounting6,,1,,1,,1,,,,,,
Discounting7,,1,,1,,1,,,,,,
Discounting8,,1,,1,,1,,,,,,
Discounting9,,1,,1,,1,,,,,,
Discounting10,,1,,1,,1,,,,,,
Discounting11,,1,,1,,1,,,,,,
Discounting12,,1,,1,,1,,,,,,
Discounting13,,1,,1,,1,,,,,,
Discounting14,,1,,1,,1,,,,,,
Discounting15,,1,,1,,1,,,,,,
Discounting16,,1,,1,,1,,,,,,
Discounting17,,1,,1,,1,,,,,,
Discounting18,,1,,1,,1,,,,,,
Discounting19,,1,,1,,1,,,,,,
