index,Country,Week,Deaths_old,Deaths_2020,Deaths_2021,Deaths_2022
0,Austria,1,1809.0,1607.0,1953.0,1756.0
1,Austria,2,1857.0,1691.0,1954.0,1679.0
2,Austria,3,1786.4,1791.0,2003.0,1816.0
3,Austria,4,1747.0,1773.0,1940.0,1766.0
4,Austria,5,1818.6,1941.0,1860.0,1792.0
5,Austria,6,1836.8,1675.0,1743.0,1857.0
6,Austria,7,1812.8,1714.0,1715.0,1916.0
7,Austria,8,1822.0,1718.0,1661.0,1847.0
8,Austria,9,1815.6,1761.0,1579.0,1957.0
9,Austria,10,1753.6,1734.0,1747.0,1848.0
10,Austria,11,1711.4,1714.0,1691.0,1918.0
11,Austria,12,1598.0,1828.0,1649.0,2000.0
12,Austria,13,1645.8,1756.0,1769.0,1953.0
13,Austria,14,1585.4,1821.0,1662.0,1964.0
14,Austria,15,1546.2,1794.0,1694.0,1813.0
15,Austria,16,1523.4,1691.0,1689.0,1655.0
16,Austria,17,1470.2,1580.0,1691.0,1687.0
17,Austria,18,1464.6,1472.0,1657.0,1650.0
18,Austria,19,1439.4,1516.0,1601.0,1574.0
19,Austria,20,1463.0,1480.0,1520.0,1600.0
20,Austria,21,1421.6,1477.0,1486.0,1531.0
21,Austria,22,1414.4,1410.0,1602.0,1578.0
22,Austria,23,1412.4,1483.0,1557.0,1588.0
23,Austria,24,1443.4,1457.0,1598.0,1627.0
24,Austria,25,1407.6,1406.0,1652.0,1652.0
25,Austria,26,1399.8,1433.0,1504.0,1655.0
26,Austria,27,1435.2,1554.0,1469.0,1596.0
27,Austria,28,1377.4,1378.0,1454.0,1560.0
28,Austria,29,1469.8,1439.0,1574.0,1847.0
29,Austria,30,1488.8,1445.0,1530.0,1728.0
30,Austria,31,1504.8,1522.0,1455.0,1661.0
31,Austria,32,1426.2,1427.0,1621.0,1556.0
32,Austria,33,1460.6,1603.0,1621.0,1677.0
33,Austria,34,1433.8,1467.0,1567.0,1543.0
34,Austria,35,1426.8,1488.0,1542.0,1438.0
35,Austria,36,1377.2,1518.0,1627.0,1541.0
36,Austria,37,1424.8,1562.0,1580.0,1575.0
37,Austria,38,1423.0,1560.0,1577.0,1639.0
38,Austria,39,1471.6,1531.0,1675.0,1700.0
39,Austria,40,1510.4,1573.0,1600.0,0.0
40,Austria,41,1519.0,1620.0,1632.0,0.0
41,Austria,42,1505.2,1612.0,1721.0,0.0
42,Austria,43,1509.0,1772.0,1887.0,0.0
43,Austria,44,1513.0,1886.0,1943.0,0.0
44,Austria,45,1509.4,2004.0,2052.0,0.0
45,Austria,46,1552.4,2283.0,2111.0,0.0
46,Austria,47,1538.0,2401.0,2152.0,0.0
47,Austria,48,1546.2,2428.0,2201.0,0.0
48,Austria,49,1603.0,2544.0,2120.0,0.0
49,Austria,50,1606.8,2478.0,1930.0,0.0
50,Austria,51,1653.6,2255.0,1856.0,0.0
51,Austria,52,1735.2,2123.0,1864.0,0.0
52,Austria,53,1537.0,2000.0,0.0,0.0
53,Iceland,1,45.8,57.0,45.0,51.0
54,Iceland,2,47.8,55.0,57.0,54.0
55,Iceland,3,44.4,52.0,48.0,64.0
56,Iceland,4,44.6,55.0,42.0,42.0
57,Iceland,5,45.6,39.0,42.0,49.0
58,Iceland,6,47.8,47.0,46.0,49.0
59,Iceland,7,47.2,49.0,55.0,55.0
60,Iceland,8,46.2,48.0,46.0,70.0
61,Iceland,9,43.6,43.0,46.0,78.0
62,Iceland,10,44.4,50.0,40.0,71.0
63,Iceland,11,45.2,42.0,42.0,67.0
64,Iceland,12,41.6,39.0,37.0,58.0
65,Iceland,13,47.2,43.0,52.0,67.0
66,Iceland,14,43.4,50.0,40.0,56.0
67,Iceland,15,44.4,50.0,54.0,49.0
68,Iceland,16,48.6,60.0,45.0,46.0
69,Iceland,17,44.4,35.0,47.0,49.0
70,Iceland,18,40.2,44.0,53.0,51.0
71,Iceland,19,41.6,37.0,41.0,46.0
72,Iceland,20,42.2,42.0,41.0,46.0
73,Iceland,21,43.6,50.0,35.0,46.0
74,Iceland,22,42.6,50.0,38.0,42.0
75,Iceland,23,45.0,34.0,45.0,44.0
76,Iceland,24,39.6,40.0,52.0,57.0
77,Iceland,25,37.4,31.0,44.0,47.0
78,Iceland,26,47.0,35.0,45.0,50.0
79,Iceland,27,43.0,35.0,43.0,64.0
80,Iceland,28,38.2,46.0,47.0,55.0
81,Iceland,29,39.2,42.0,38.0,51.0
82,Iceland,30,45.0,35.0,56.0,53.0
83,Iceland,31,36.0,36.0,46.0,0.0
84,Iceland,32,38.8,37.0,47.0,0.0
85,Iceland,33,39.0,43.0,44.0,0.0
86,Iceland,34,43.6,34.0,45.0,0.0
87,Iceland,35,35.8,28.0,36.0,0.0
88,Iceland,36,39.2,55.0,43.0,0.0
89,Iceland,37,42.4,40.0,43.0,0.0
90,Iceland,38,41.6,45.0,32.0,0.0
91,Iceland,39,50.0,37.0,35.0,0.0
92,Iceland,40,42.4,38.0,42.0,0.0
93,Iceland,41,42.4,53.0,43.0,0.0
94,Iceland,42,42.2,47.0,31.0,0.0
95,Iceland,43,46.0,50.0,39.0,0.0
96,Iceland,44,41.4,56.0,50.0,0.0
97,Iceland,45,38.4,50.0,58.0,0.0
98,Iceland,46,47.0,53.0,41.0,0.0
99,Iceland,47,44.2,45.0,43.0,0.0
100,Iceland,48,44.0,35.0,43.0,0.0
101,Iceland,49,41.8,39.0,46.0,0.0
102,Iceland,50,42.2,46.0,61.0,0.0
103,Iceland,51,43.8,43.0,48.0,0.0
104,Iceland,52,42.0,53.0,55.0,0.0
105,Iceland,53,50.0,46.0,0.0,0.0
106,Luxembourg,1,86.8,62.0,102.0,98.0
107,Luxembourg,2,94.6,85.0,94.0,89.0
108,Luxembourg,3,87.4,92.0,89.0,84.0
109,Luxembourg,4,89.2,86.0,109.0,94.0
110,Luxembourg,5,97.2,89.0,93.0,96.0
111,Luxembourg,6,97.0,90.0,89.0,96.0
112,Luxembourg,7,97.2,70.0,92.0,97.0
113,Luxembourg,8,90.4,85.0,87.0,109.0
114,Luxembourg,9,87.6,74.0,86.0,92.0
115,Luxembourg,10,102.0,92.0,114.0,90.0
116,Luxembourg,11,81.6,87.0,116.0,84.0
117,Luxembourg,12,86.0,87.0,78.0,83.0
118,Luxembourg,13,86.2,113.0,77.0,89.0
