Country,Code,Note
Afghanistan,1,Lockdown implemeted in certain areas like Kabul and Herat.
Albania,3,"Usual lockdown rules: Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, a nation wide curfew has been in place, and pensioners were not allowed out of their homes for some time)"
Algeria,1,"Lockdown implemented for Wilayat, Blida, and partially for Algiers."
Andorra,0,Many businesses closed but no restriction in movement.
Angola,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Anguilla,0,
Antigua and Barbuda,0,
Argentina,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Armenia,0,
Aruba,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Australia,1,"Different policies for each territory, with most of them being under lockdown."
Austria,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Azerbaijan,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Permission to go out is granted via sms."
Bahamas,0,
Bahrain,0,"No movement restrictions enforced, but social distancing rules in place and many businesses closed."
Bangladesh,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Barbados,3,24-hour curfew. Citizens can only go out 2 times per week (based on their surnames) for very basic needs.
Belarus,0,
Belgium,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Belize,0,
Benin,0,
Bermuda,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Bhutan,0,
Bolivia,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, people can only leave home in particular days according to rota, people under 18 and over 65 cannot leave at all."
"Bonaire, Sint Eustatius and Saba",0,
Bosnia and Herzegovina,2,General curfew 20:00 - 05:00. Under 18's and over 65 not allowed out at all.
Bosnia and Herzegovina,1,Under 18's and over 65 only allowed out in certain days and times.
Botswana,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Brazil,1,Restrictions on travelling between cities.
British Virgin Islands,0,
Brunei,0,"No movement restrictions enforced, but social distancing rules in place."
Bulgaria,1,Restricted travel in parts of the country and certain areas in Lockdown. 
Burkina Faso,2,General curfew 19:00 - 05:00 (later changed to 21:00 - 04:00).
Burma,1,"Travel restricted from and to certain areas, and curfew imposed in Sagaing region."
Burundi,0,
Cabo Verde,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Cambodia,0,
Cameroon,0,
Canada,1,"Different policies for each territory, with most of them being under lockdown."
Cayman Islands,0,
Central African Republic,0,
Chad,1,"19:00 - 06:00 curfew to the cities of Mandella, Logone-Gana and N'Djamena-Farah."
Channel Islands,0,
Chile,2,General curfew 22:00 - 05:00. Additionally lockdown in certain areas.
China,1,Wuhan in lockdown.
Colombia,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Comoros,0,
Congo (Brazzaville),0,
Congo (Kinshasa),1,"Lockdowns in Goma, Butembo and Ben."
Costa Rica,2,General curfew 22:00 - 05:00.
Cote d'Ivoire,0,
Croatia,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Cuba,1,"Travel between regions banned, and some parts of Havana in lockdown."
Curacao,0,
Cyprus,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Only allowed outside once per day."
Czechia,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Denmark,0,"Many businesses closed and most people required to work from home, but no movement restrictions imposed."
Djibouti,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Dominica,2,General curfew 18:00 - 06:00 on weekdays and 24-hour on weekends.
Dominican Republic,2,General curfew 20: - 06:00 (later changed to 17:00 - 06:00).
Ecuador,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Also, a general curfew in place 14:00 - 05:00."
Egypt,2,General curfew 19:00 - 06:00.
El Salvador,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Equatorial Guinea,0,
Eritrea,0,
Estonia,1,Certain areas in lockdown.
