Country,variable,02/02/2020,09/02/2020,16/02/2020,23/02/2020,01/03/2020,08/03/2020,15/03/2020,22/03/2020,29/03/2020,05/04/2020,12/04/2020,19/04/2020,26/04/2020,03/05/2020,10/05/2020,17/05/2020,24/05/2020,31/05/2020,07/06/2020,14/06/2020,21/06/2020,28/06/2020,05/07/2020,12/07/2020,19/07/2020,26/07/2020,02/08/2020,09/08/2020,16/08/2020,23/08/2020,30/08/2020,06/09/2020,13/09/2020,20/09/2020,27/09/2020,04/10/2020,11/10/2020,18/10/2020,25/10/2020,01/11/2020,08/11/2020,15/11/2020,22/11/2020,29/11/2020,06/12/2020,13/12/2020,20/12/2020,27/12/2020,03/01/2021,10/01/2021,17/01/2021,24/01/2021,31/01/2021,07/02/2021,14/02/2021,21/02/2021,28/02/2021,07/03/2021,14/03/2021,21/03/2021,28/03/2021,04/04/2021,11/04/2021,18/04/2021,25/04/2021,02/05/2021,09/05/2021,16/05/2021,23/05/2021,30/05/2021,06/06/2021,13/06/2021,20/06/2021,27/06/2021,04/07/2021,11/07/2021,18/07/2021,25/07/2021,01/08/2021,08/08/2021,15/08/2021,22/08/2021,29/08/2021,05/09/2021,12/09/2021,19/09/2021,26/09/2021,03/10/2021,10/10/2021,17/10/2021,24/10/2021,31/10/2021,07/11/2021,14/11/2021,21/11/2021,28/11/2021,05/12/2021,12/12/2021,19/12/2021,26/12/2021,02/01/2022,09/01/2022,16/01/2022,23/01/2022,30/01/2022,06/02/2022,13/02/2022,20/02/2022,27/02/2022,06/03/2022,13/03/2022,20/03/2022,27/03/2022,03/04/2022,10/04/2022,17/04/2022,24/04/2022,01/05/2022,08/05/2022,15/05/2022,22/05/2022,29/05/2022,05/06/2022,12/06/2022,19/06/2022,26/06/2022,03/07/2022,10/07/2022,17/07/2022,24/07/2022,31/07/2022,07/08/2022,14/08/2022,21/08/2022,28/08/2022,04/09/2022,11/09/2022,18/09/2022,25/09/2022,02/10/2022,09/10/2022,16/10/2022,23/10/2022,30/10/2022,06/11/2022,13/11/2022,20/11/2022,27/11/2022,04/12/2022,11/12/2022,18/12/2022,25/12/2022
Afghanistan,cases,0,0,0,0,5,3,12,14,80,185,256,378,530,1006,1933,2233,4033,4512,5248,4424,4067,2134,1984,1500,1024,682,553,344,542,357,190,255,318,328,183,114,458,401,482,657,608,1002,1468,1463,1675,1311,1584,1312,861,780,495,611,428,312,157,112,110,133,138,118,191,382,484,633,1050,1279,1720,1642,2244,5033,8463,10637,12045,12314,10528,8830,7024,3269,3630,2957,1575,478,522,390,567,497,473,231,317,256,180,306,147,155,344,322,236,179,154,164,238,192,336,932,2462,4080,4413,1601,1190,1187,1619,892,427,307,147,444,271,210,82,286,449,458,441,249,802,483,575,541,307,1015,1162,1693,1603,1598,1820,1700,1762,1315,1176,970,986,840,896,858,715,829,636,466,594,397,434,362
Albania,cases,0,0,0,0,0,0,42,47,123,149,85,116,164,69,73,78,52,139,109,275,441,440,491,561,636,673,756,892,969,1047,953,875,1098,1032,874,1007,1133,1656,2102,2045,3004,3624,4931,4864,5363,5542,4473,3251,3184,4157,4095,4584,5853,7209,7739,7171,6921,5730,4577,3726,2934,2397,1862,1201,943,701,485,292,194,100,70,80,31,22,23,57,94,189,246,791,2035,3377,5523,6150,6029,5927,4940,3901,3174,3003,3725,3604,3825,3950,2913,3567,2175,2057,1990,1932,3176,8809,12943,15433,7671,8883,3384,2156,1363,683,453,425,344,438,349,285,324,339,199,249,249,237,300,330,678,1668,3613,5294,8321,8585,7207,5417,4290,4273,2438,1678,843,547,393,309,209,144,134,194,89,101,100,74,78,125,117,99
Algeria,cases,0,0,0,0,1,18,29,153,310,809,594,715,753,1092,1249,1296,1287,1088,760,765,852,1502,2668,3254,3889,4273,4108,3695,3423,2877,2686,2218,1890,1572,1241,1069,936,1330,1741,2129,3779,5628,7183,7359,6031,3850,3101,3046,2159,1736,1689,1763,1743,1749,1623,1206,1175,1142,1031,892,679,786,894,1126,1280,1600,1582,1207,1549,1865,2233,2430,2433,2644,3006,4593,7245,8846,10409,8812,5882,4325,3579,2842,2064,1532,1122,1067,808,689,536,630,704,814,982,1200,1317,1379,1744,2045,2522,2998,3900,10613,14104,7202,3776,2302,801,410,167,118,79,62,33,15,28,15,16,20,36,19,24,30,48,63,90,129,188,394,615,800,887,664,389,249,96,70,32,38,28,33,43,53,37,66,84,38,46,39,28,24
Andorra,cases,0,0,0,0,0,1,0,112,221,167,137,75,25,10,7,6,1,2,88,1,2,0,0,0,25,17,28,30,34,56,79,91,129,220,272,274,586,681,661,787,558,489,384,456,338,288,239,244,371,394,497,466,388,314,252,196,167,176,224,251,333,381,314,260,255,222,141,87,59,124,65,55,29,40,36,157,198,225,180,158,88,64,37,30,28,41,43,55,69,47,66,112,102,201,267,626,1298,1430,1109,1181,2010,2668,3480,3137,2531,1043,541,449,410,435,360,440,479,311,304,381,304,336,368,439,416,322,173,157,225,325,403,494,0,655,182,285,106,76,52,0,86,34,0,80,48,91,83,86,53,76,160,0,395,227,160,80
Angola,cases,0,0,0,0,0,0,0,2,5,7,5,5,2,9,10,3,21,17,5,49,43,84,79,160,199,227,267,473,234,265,453,341,423,603,727,684,964,1256,1759,1654,1398,1018,1042,610,488,597,456,596,402,551,682,524,397,290,280,153,288,279,294,353,330,568,826,932,1220,1384,1747,1897,1804,1925,1406,933,973,878,674,728,847,975,1035,847,955,1328,1223,1488,1790,1861,2814,3822,2435,1464,1019,572,241,239,111,120,115,145,534,5814,11168,6798,3976,2888,1494,288,150,124,63,105,121,76,112,79,0,0,93,0,0,0,0,240,234,0,0,0,1559,0,581,400,0,335,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,1360,185,132,138,27
Antigua and Barbuda,cases,0,0,0,0,0,0,1,0,6,8,6,2,1,1,0,0,0,1,0,0,0,43,-1,6,2,6,9,1,1,1,0,1,0,1,5,6,4,8,5,4,3,3,5,2,3,4,5,2,5,16,13,9,36,65,128,171,132,118,115,70,95,42,28,18,11,5,-1,10,16,2,4,0,0,0,1,2,2,12,23,35,59,93,161,219,296,437,320,580,247,138,131,39,33,27,17,6,6,15,36,38,47,775,263,610,627,295,478,77,29,18,11,7,12,8,18,28,32,55,37,58,221,177,259,114,89,44,40,21,26,24,37,14,33,75,54,25,0,34,0,90,0,8,0,0,0,0,0,0,0,0,0,0
Argentina,cases,0,0,0,0,0,12,33,221,479,706,691,697,1053,891,1251,2034,4008,4775,5943,8783,11208,17148,17882,22351,26589,35771,39393,44580,48070,47585,66272,70366,76745,75828,79960,87161,95720,95474,100909,82944,68649,68309,59875,48441,44303,35050,43125,42012,57421,81499,77026,67980,60016,53108,45451,38536,43031,42271,46086,50049,62826,84895,139070,161452,166870,144375,142481,159545,232199,214125,201830,168751,144599,136458,130226,112475,108430,90237,89232,83048,65740,49196,39700,30271,20732,14698,11170,9336,6121,6692,7807,8449,7974,8961,9606,11100,14228,17779,31252,70335,234888,615914,784021,767671,472648,254695,144672,92953,69674,39424,34830,36321,18322,15049,11412,8387,0,22750,17646,33989,43487,51778,46045,0,64874,25680,27154,31845,39656,41735,52745,42227,31198,24659,19834,11636,7902,6175,4482,2935,2239,1870,2082,1329,1357,1486,2206,3323,12609,27119,0,62261
Armenia,cases,0,0,0,0,1,0,25,168,230,398,191,278,455,640,927,1159,2189,2621,3848,3537,3601,4377,3961,3363,2908,2440,1733,1360,1253,1129,958,1033,1079,1569,1969,3096,3955,8243,13143,14417,14170,10913,8887,8544,7169,6388,5500,4009,2193,2104,2455,1450,990,1062,1079,1235,1656,2621,3706,5328,6604,6317,6183,5703,4768,3575,2407,1590,1088,688,544,502,545,570,756,835,1042,1368,1541,1818,2401,3076,3702,3689,3825,4750,4945,6145,7666,9635,13377,12958,12107,8530,5112,3856,2792,1815,1098,845,526,848,1762,4094,14722,23524,16422,9085,4229,1648,663,303,151,116,103,85,63,46,6,23,17,22,24,43,38,60,139,174,354,629,965,1434,1849,1713,1913,2124,2329,2575,2142,1431,910,697,387,231,142,155,116,118,106,91,53,0
Australia,cases,8,3,0,0,12,49,221,1252,2435,1703,628,295,104,108,126,106,60,88,63,70,139,290,819,1397,2089,2866,3383,3079,2161,1357,831,575,371,220,132,104,137,114,126,76,64,84,85,68,70,65,161,139,167,110,107,56,41,39,43,30,48,68,84,76,70,81,62,114,147,158,93,47,41,86,86,71,93,173,276,417,795,1066,1530,2018,2985,5305,7691,10544,12168,11805,11903,14380,16156,15696,14967,11800,9548,9025,9046,9490,9982,11647,23914,55796,182085,552728,740716,443097,378138,145265,162076,134274,160742,174618,238689,320462,382813,390689,391496,308614,302331,273048,294572,348909,347214,259665,206203,186065,190672,200650,228538,262000,294427,324836,299729,220250,154407,111753,83607,67031,46316,40410,44582,37544,35800,32986,33222,34041,43069,63168,76255,89467,104682,108071,112874,103422
Austria,cases,0,0,0,0,7,68,516,2318,5191,3784,1954,891,457,368,258,336,249,213,209,188,227,288,566,636,758,827,877,676,1311,1816,1905,2142,3751,4906,4663,5292,7104,9060,15540,27830,42977,49203,42813,32588,24255,18481,17133,13471,14265,15169,11549,10601,9599,9249,9346,11197,13568,15781,18086,20456,21658,21607,18850,16904,15745,13622,9759,6377,4528,3318,2502,2012,1088,765,630,896,1941,2482,3134,3432,5269,7609,9094,10742,13822,14233,11740,12446,12837,14091,21667,30491,50766,72347,94069,90862,58964,32318,21558,15179,20004,47305,101694,158820,220504,230455,223996,201880,186171,207629,283626,321703,272880,174533,105306,69393,53214,42639,38710,31506,16171,15123,14233,20617,33481,50650,70586,70876,76825,85763,69427,47720,40189,37002,35680,31375,18800,39304,49593,80741,97611,88490,47282,48891,29529,25002,26641,29689,29113,36648,35283,34150
