measure,location,sex,rei,Cancer,Cardiovascular diseases,Chronic respiratory diseases,Diabetes and kidney diseases,Digestive diseases,Enteric infections,HIV/AIDS,Interpersonal violence,Maternal disorders,Mental disorders,Musculoskeletal disorders,Neonatal disorders,Neurological disorders,Nutritional deficiencies,Other infectious diseases,Other non-communicable diseases,Respiratory infections and tuberculosis,Self-harm,Sense organ diseases,Sexually transmitted infections excluding HIV,Substance use disorders,Transport injuries,Unintentional injuries
DALYs,Andean Latin America,Both,Air pollution,17986.0,125264.0,47557.0,114480.0,,,,,,,,,,,,,182016.0,,8293.0,,,,
DALYs,Andean Latin America,Both,Alcohol use,68862.0,25298.0,,,124917.0,,,48041.0,,,,,28767.0,,,,82158.0,40603.0,,,127637.0,74192.0,43897.0
DALYs,Andean Latin America,Both,Child and maternal malnutrition,,,,,,62283.0,,,15142.0,,,709263.0,,280823.0,2411.0,1047.0,210438.0,,,,,,
DALYs,Andean Latin America,Both,Childhood maltreatment,,,,,,,,,,31567.0,,,,,,,,,,,7810.0,,
DALYs,Andean Latin America,Both,Dietary risks,77003.0,632676.0,,194209.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Drug use,6981.0,,,,36986.0,,2810.0,,,,,,,,123.0,,,8927.0,,,138883.0,,
DALYs,Andean Latin America,Both,High LDL cholesterol,,313379.0,,,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,High body-mass index,73587.0,376911.0,20846.0,404000.0,9821.0,,,,,,59987.0,,30004.0,,,,,,6904.0,,,,
DALYs,Andean Latin America,Both,High fasting plasma glucose,26352.0,196814.0,,686833.0,,,,,,,,,17463.0,,,,10209.0,,6842.0,,,,
DALYs,Andean Latin America,Both,High systolic blood pressure,,584606.0,,155271.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Impaired kidney function,,73069.0,,345100.0,,,,,,,855.0,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Intimate partner violence,,,,,,,6734.0,23499.0,654.0,13279.0,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Low bone mineral density,,,,,,,,524.0,,,,,,,,,,,,,,16869.0,27824.0
DALYs,Andean Latin America,Both,Low physical activity,4440.0,67618.0,,14934.0,,,,,,,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Occupational risks,19375.0,,38585.0,,,,,,,,163308.0,,,,,,,,41521.0,,,53354.0,40270.0
DALYs,Andean Latin America,Both,Other environmental risks,6109.0,44089.0,,8499.0,,,,,,6000.0,,,,,,,,,,,,,
DALYs,Andean Latin America,Both,Tobacco,108986.0,138238.0,50487.0,45369.0,4157.0,,,36.0,,,43037.0,,16498.0,,,,78740.0,,4290.0,,,1341.0,1427.0
