country,type,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,oil,2314.1,2438.1,2603.2,2771.3,2885.6,3077.3,3160.3,3327.6,3634.7,3697.2,3647.6,3736.4,3765.7,3886.9,4037.7,3965.8,3756.1,3410.2,3206.5,3236.8,3250.9,3323,3429.5,3610.1,3750.7,3466.1,3285.6,3371.4,3414.9,3487.9,3659.9,3750.4,3865.3,3939.9,4016,3993.1,4105.7,4259,4417.9,4611.3,4484.4,4523.9,4644.9,4483.3,4373.2,4568.4,4576.2,4640.8,4619.1,4614.8,4626.2,4614.5,4574.4,4734.9,4697.8,4113,4169.7
Mexico,oil,642.4,673.2,721,784,828.6,890.9,944.8,1063.8,1138.5,1286.1,1419.2,1563.3,1613.5,1816.6,1949.6,2173.2,2379.1,2463.4,2400.2,2540.6,2645.9,2678.7,2809.2,2802.2,2998.8,3132,3261.3,3297.7,3291.5,3547.7,3306.9,3384.5,3494.9,3678.9,3645.2,3817.5,3754.1,3590,3684.2,3834,3926.8,3886.7,4037.5,4027.7,3891.2,3908.1,3973.3,4037.4,3925.5,3747.8,3704.7,3731.6,3593.1,3505.5,3236.3,2465.8,2559.6
USA,oil,23092.1,24232.5,25159.7,26848.7,28194.6,29434.3,30462.1,32831.7,34758.9,33377.4,32579.4,35026.5,36977.5,37805.1,36928.2,34032.5,31725.9,30061.9,29921.3,30863.9,30745.6,32240.1,32911.8,34275.2,34263.1,33504.9,32790.6,33470.6,33753.8,34631.1,34551.1,35809.7,36287.2,36904,37933.5,38354.9,38292.7,38312.7,38893.3,40312.3,40370.7,39855.3,39606.3,36985.3,35054.1,35608.4,34900.4,34101.3,34659.2,34895.8,35606.6,35861.7,36208,37079,37022.2,32516.6,35326.9
Argentina,oil,990.7,1021.9,1046.6,1068.4,1108.8,1002.3,1067.4,1062.6,1070.1,1069.6,1012.6,1044.7,1100.3,1070.2,1151.5,1069.1,1002.8,954.1,967.5,920.2,855.1,899,959.6,966,886.8,827.9,864.9,909.7,891.9,941.3,934.3,935.3,991,1019.8,1033.1,953.6,883.1,838.1,854.7,916.9,960.3,1012.9,1129.5,1141.4,1091,1181.4,1224,1300.5,1381.6,1367.7,1394.3,1351.1,1335.2,1271.6,1169,1070.6,1226.1
Brazil,oil,639.8,697.7,720,864.7,948.8,1073.6,1182.9,1360.7,1675.2,1806.6,1865,2017.2,2063.2,2244.4,2358.5,2277.5,2173,2202.7,2091.2,2116.8,2148.2,2372.3,2441,2483.8,2502.7,2471.7,2499.5,2695.3,2803.6,2992.8,3123.9,3323.2,3572.4,3724,3780.8,3727.4,3789.2,3719.7,3606.2,3720.4,3797.8,3872,4025.5,4198.8,4165.5,4553.3,4831.2,4999.7,5265.4,5442.7,4942.8,4695.7,4748,4510.6,4536.6,4217.8,4456.4
Chile,oil,149.8,164,171.2,180.4,192.1,202.8,224.6,237.9,226.5,216.8,188.9,200.3,205.2,224.5,226.6,229.3,236.9,210.1,204.1,204.2,198.7,212.6,222.1,244.7,270.6,285.7,318.5,345.1,376.2,404,444.1,471.5,507.2,518.5,524.4,512.5,487.6,508.9,491.5,521.1,540.6,600.8,773.3,803.1,784.3,694.5,758.3,758.3,731.7,711,717.9,760.9,728.1,760.4,768.1,701.9,732.1
Colombia,oil,165.8,188.9,190.6,212.7,204.4,231.5,239.5,271.5,261.1,289.3,291,306.9,307.9,314.3,333.3,318.3,326.1,334.6,346.1,344.2,357.3,353.9,372.6,392.1,402.7,408.9,419.6,461.3,490.5,506.3,533.2,550.7,562.5,547.6,485.8,475.8,446.3,439,456.4,456.3,474,460.5,454.4,491.6,483.8,508.1,522.6,568.1,561.5,591.5,633.2,649.7,632.8,650.8,685.9,556.7,701.1
Ecuador,oil,28.5,29.8,32.2,38.4,40.7,46.4,51.2,52.7,58.6,66.8,65.3,73.8,92.1,94.2,100.3,128.7,143.9,157.1,143.9,144.7,177.9,180.7,182.3,215.2,223.9,229,256.4,255.8,256.8,279.2,274.8,308.6,352,354.3,309.6,282,292.9,290.9,297.3,314.2,342.5,363,369,380.2,386.6,446.9,458.3,474.4,502.7,529.4,513.6,482.5,471.1,510.1,494.3,397.7,492.3
Peru,oil,160.7,201.5,203.1,203.9,200.9,211,208.8,178.7,211.7,251.1,254.2,256.4,255.6,252.3,263.1,283.5,289.4,282.2,248.9,257,251.8,268.3,289.2,284.7,251.8,251.2,232.8,243.7,253.9,276.1,313.1,324.4,334.7,323.3,331.9,323.2,304.8,301.9,285.2,316.6,313.7,297.5,313.4,348.6,357.8,379.8,419.6,417.2,436.3,431.4,460.2,490.1,508.6,522.2,542.6,405.8,515.8
Trinidad & Tobago,oil,79.9,80.5,84,85.6,89.7,92,95.1,154.3,155.3,152.9,116.9,131.5,128.4,115.5,88.9,70.3,69.7,77.3,67.2,57.5,60.8,65.6,44,39.9,35.8,53.5,50.2,71.5,62.3,47.5,54.2,62.7,37,42.4,75.1,74.3,69.1,78.3,74.7,82,72.4,79.2,90.1,95.8,91.9,95.2,89.5,85.4,96.2,86.4,94.5,100,92.8,87.6,66,59.1,53
