country,income_level,year,population,migrants_destination,migrants_destination_per,refugees_destination,refugees_destination_per,migrants_origin,migrants_origin_per
Afghanistan,Low,1990,"12,249,000",57686,0.470944567,25,0.000204098,6724681,54.89983672
Afghanistan,Low,1995,"17,100,000",71522,0.41825731,19605,0.114649123,3625571,21.20216959
Afghanistan,Low,2000,"20,094,000",75917,0.377809296,0,0,4541159,22.59957699
Afghanistan,Low,2005,"25,071,000",87300,0.348211081,32,0.000127638,3826255,15.26167684
Afghanistan,Low,2010,"28,803,000",102246,0.354983856,6434,0.022337951,4989209,17.321838
Afghanistan,Low,2015,"33,736,000",489749,1.451710339,407953,1.209251245,4855376,14.39226939
Afghanistan,Low,2017,"35,530,000",133612,0.376054039,59996,0.168860118,4826464,13.58419364
Albania,Middle - upper,1990,"3,281,000",66013,2.011978055,3000,0.091435538,179490,5.470588235
Albania,Middle - upper,1995,"3,107,000",71354,2.296556164,4720,0.151915031,500353,16.10405536
Albania,Middle - upper,2000,"3,122,000",76695,2.456598334,528,0.016912236,823668,26.3827034
Albania,Middle - upper,2005,"3,079,000",64739,2.102598246,91,0.002955505,965066,31.34348815
Albania,Middle - upper,2010,"2,941,000",52784,1.794763686,99,0.003366202,1129071,38.39071744
Albania,Middle - upper,2015,"2,923,000",52031,1.780054738,934,0.031953472,1137917,38.92976394
Albania,Middle - upper,2017,"2,930,000",52484,1.791262799,1387,0.047337884,1148144,39.18580205
Algeria,Middle - upper,1990,"25,912,000",273954,1.057247607,169107,0.652620408,906030,3.496565298
Algeria,Middle - upper,1995,"28,904,000",262032,0.906559646,192489,0.665959729,965162,3.339198727
Algeria,Middle - upper,2000,"31,184,000",250110,0.802045921,167453,0.53698371,1025039,3.287067086
Algeria,Middle - upper,2005,"33,288,000",197422,0.593072579,94101,0.282687455,1588723,4.772659817
Algeria,Middle - upper,2010,"36,118,000",216964,0.600708788,94144,0.260656736,1630181,4.51348635
Algeria,Middle - upper,2015,"39,872,000",239473,0.600604434,100775,0.252746288,1785555,4.478217797
Algeria,Middle - upper,2017,"41,318,000",248624,0.601732901,99827,0.241606564,1792712,4.338816012
