country,year,record,crop_land,grazing_land,fishing_ground,built_up_land,forest_land
Afghanistan,1961,Biocapacity per capita,0.544551209,0.677892399,0,0.029706825,0.071405852
Afghanistan,1962,Biocapacity per capita,0.515781418,0.66336282,0,0.02846462,0.070071046
Afghanistan,1963,Biocapacity per capita,0.477027413,0.64809529,0,0.026682995,0.068629607
Afghanistan,1964,Biocapacity per capita,0.493723808,0.633600476,0,0.027962402,0.067231925
Afghanistan,1965,Biocapacity per capita,0.501745176,0.618203775,0,0.029013169,0.065904054
Afghanistan,1966,Biocapacity per capita,0.450237506,0.60499686,0,0.026466432,0.06463219
Afghanistan,1967,Biocapacity per capita,0.485002564,0.590446927,0,0.028886495,0.063265245
Afghanistan,1968,Biocapacity per capita,0.477899201,0.576428331,0,0.02909442,0.061724215
Afghanistan,1969,Biocapacity per capita,0.497585928,0.559236955,0,0.030944542,0.057195561
Afghanistan,1970,Biocapacity per capita,0.426790735,0.546710864,0,0.027172272,0.055749678
Afghanistan,1971,Biocapacity per capita,0.375319997,0.531910932,0,0.024430547,0.054321642
Afghanistan,1972,Biocapacity per capita,0.437915095,0.519884394,0,0.029228138,0.052925912
Afghanistan,1973,Biocapacity per capita,0.459464708,0.503566866,0,0.031458546,0.051658974
Afghanistan,1974,Biocapacity per capita,0.459348759,0.493260538,0,0.032217139,0.0503632
Afghanistan,1975,Biocapacity per capita,0.475927483,0.482525235,0,0.034104688,0.049315556
Afghanistan,1976,Biocapacity per capita,0.461332738,0.472584255,0,0.033711453,0.048358993
Afghanistan,1977,Biocapacity per capita,0.410176117,0.466577614,0,0.030491576,0.047529281
Afghanistan,1978,Biocapacity per capita,0.415743206,0.461408839,0,0.031298493,0.046858289
Afghanistan,1979,Biocapacity per capita,0.410269713,0.460077449,0,0.03103212,0.046656691
Afghanistan,1980,Biocapacity per capita,0.392198758,0.462554638,0,0.029504757,0.046680183
Afghanistan,1981,Biocapacity per capita,0.383912805,0.471090857,0,0.028398441,0.04746937
Afghanistan,1982,Biocapacity per capita,0.376526613,0.480734591,0,0.02714166,0.048756386
Afghanistan,1983,Biocapacity per capita,0.373247738,0.494686737,0,0.02608137,0.050306935
Afghanistan,1984,Biocapacity per capita,0.370079288,0.506612966,0,0.025087966,0.051823251
Afghanistan,1985,Biocapacity per capita,0.373693049,0.51617879,0,0.024733198,0.052999682
Afghanistan,1986,Biocapacity per capita,0.355875539,0.521195267,0,0.023166021,0.053738832
Afghanistan,1987,Biocapacity per capita,0.39693461,0.525242032,0,0.025639261,0.054214495
Afghanistan,1988,Biocapacity per capita,0.345014522,0.522467213,0,0.022373848,0.054036366
Afghanistan,1989,Biocapacity per capita,0.322138879,0.511432073,0,0.021317501,0.052930723
Afghanistan,1990,Biocapacity per capita,0.292295508,0.492904601,0,0.020107822,0.050707519
Afghanistan,1991,Biocapacity per capita,0.291883468,0.464386135,0,0.021306985,0.047889156
Afghanistan,1992,Biocapacity per capita,0.258038899,0.436062954,0,0.020244775,0.045145136
Afghanistan,1993,Biocapacity per capita,0.27125392,0.404104669,0,0.023229441,0.041958039
Afghanistan,1994,Biocapacity per capita,0.273767702,0.376786416,0,0.025487027,0.039235618
Afghanistan,1995,Biocapacity per capita,0.257712984,0.355476591,0,0.025553109,0.037107482
Afghanistan,1996,Biocapacity per capita,0.253914783,0.340620317,0,0.026244544,0.035678956
Afghanistan,1997,Biocapacity per capita,0.267740861,0.330094816,0,0.028408681,0.034555977
Afghanistan,1998,Biocapacity per capita,0.279650928,0.321635269,0,0.030159714,0.033655923
Afghanistan,1999,Biocapacity per capita,0.242287598,0.31283692,0,0.02726912,0.032684269
Afghanistan,2000,Biocapacity per capita,0.157220544,0.302659639,0,0.018311641,0.031574848
Afghanistan,2001,Biocapacity per capita,0.159536479,0.290891657,0,0.019363444,0.030271472
Afghanistan,2002,Biocapacity per capita,0.233955623,0.277951755,0,0.029718007,0.02896579
Afghanistan,2003,Biocapacity per capita,0.264824874,0.264125478,0,0.034537046,0.027545169
Afghanistan,2004,Biocapacity per capita,0.197112809,0.252525029,0,0.026836592,0.026350935
Afghanistan,2005,Biocapacity per capita,0.286608066,0.242050271,0,0.040520799,0.025344507
Afghanistan,2006,Biocapacity per capita,0.235769399,0.234053047,0,0.034403852,0.024603867
Afghanistan,2007,Biocapacity per capita,0.28661077,0.227515111,0,0.042975312,0.023897986
Afghanistan,2008,Biocapacity per capita,0.188535082,0.222551438,0,0.028980774,0.023275226
Afghanistan,2009,Biocapacity per capita,0.292143322,0.217991081,0,0.0460556,0.022596737
Afghanistan,2010,Biocapacity per capita,0.267673274,0.211500085,0,0.043368822,0.022012224
Afghanistan,2011,Biocapacity per capita,0.199030087,0.204157295,0,0.033219735,0.021330897
Afghanistan,2012,Biocapacity per capita,0.25621603,0.197736518,0,0.044132319,0.020602653
Afghanistan,2013,Biocapacity per capita,0.250989306,0.192273899,0,0.044621838,0.019904202
Afghanistan,2014,Biocapacity per capita,0.251691077,0.187020286,0,0.046125014,0.019240324
Afghanistan,1961,Biocapacity,4990784.712,6212850.071,0,272261.5698,654431.0764
Afghanistan,1962,Biocapacity,4819342.701,6198309.308,0,265966.8529,654727.7049
Afghanistan,1963,Biocapacity,4546810.55,6177352.538,0,254330.2932,654146.5198
Afghanistan,1964,Biocapacity,4803261.012,6164070.715,0,272036.1347,654075.1733
Afghanistan,1965,Biocapacity,4985019.133,6142077.277,0,288256.2857,654780.5212
Afghanistan,1966,Biocapacity,4569370.308,6139992.014,0,268602.5243,655939.1559
Afghanistan,1967,Biocapacity,5028797.394,6122107.782,0,299512.5043,655971.9935
Afghanistan,1968,Biocapacity,5065635.855,6110024.909,0,308395.0313,654264.3256
Afghanistan,1969,Biocapacity,5398558.524,6067441.343,0,335732.8109,620543.2338
Afghanistan,1970,Biocapacity,4746382.277,6080025.979,0,302185.5415,619997.7201
Afghanistan,1971,Biocapacity,4283451.992,6070592.986,0,278820.9476,619962.024
Afghanistan,1972,Biocapacity,5131007.552,6091433.661,0,342463.185,620127.6383
Afghanistan,1973,Biocapacity,5523914.451,6054132.644,0,378210.3641,621070.0108
Afghanistan,1974,Biocapacity,5657155.394,6074799.285,0,396773.3832,620253.0018
Afghanistan,1975,Biocapacity,5988595.513,6071615.028,0,429139.292,620537.641
Afghanistan,1976,Biocapacity,5919545.078,6063917.794,0,432565.1486,620513.6034
Afghanistan,1977,Biocapacity,5355464.471,6091870.611,0,398113.2581,620566.052
Afghanistan,1978,Biocapacity,5497164.536,6100978.368,0,413844.3211,619583.7329
Afghanistan,1979,Biocapacity,5449735.602,6111346.692,0,412208.9473,619754.8132
Afghanistan,1980,Biocapacity,5181494.821,6110994.528,0,389799.1637,616710.5915
Afghanistan,1981,Biocapacity,4989676.489,6122720.94,0,369091.7083,616954.6738
Afghanistan,1982,Biocapacity,4769462.612,6089465.061,0,343803.4119,617597.1361
Afghanistan,1983,Biocapacity,4583146.154,6074307.721,0,320255.7452,617723.8657
Afghanistan,1984,Biocapacity,4408569.52,6035026.953,0,298860.3979,617344.4742
Afghanistan,1985,Biocapacity,4346237.006,6003417.414,0,287659.4651,616412.8065
Afghanistan,1986,Biocapacity,4070824.837,5961900.74,0,264993.8063,614713.1419
Afghanistan,1987,Biocapacity,4500405.068,5955141.838,0,290695.3876,614678.5429
