measure,location,sex,cause,rei,val
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,Dietary risks,207217419.4
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,High systolic blood pressure,200482720.8
DALYs (Disability-Adjusted Life Years),Global,Both,Neonatal disorders,Child and maternal malnutrition,155805985.5
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,Dietary risks,125175230.3
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,High systolic blood pressure,114998218.4
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Neonatal disorders,Child and maternal malnutrition,98327027.51
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,High LDL cholesterol,94923289.34
DALYs (Disability-Adjusted Life Years),Global,Both,Diabetes and kidney diseases,High fasting plasma glucose,88496871.72
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cardiovascular diseases,Dietary risks,87677396.23
DALYs (Disability-Adjusted Life Years),Global,Male,Neonatal disorders,Child and maternal malnutrition,87207647.78
DALYs (Disability-Adjusted Life Years),Global,Female,Cardiovascular diseases,High systolic blood pressure,85484502.37
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Cardiovascular diseases,Dietary risks,84771161.8
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cardiovascular diseases,High systolic blood pressure,82371323.57
DALYs (Disability-Adjusted Life Years),Global,Female,Cardiovascular diseases,Dietary risks,82042189.17
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Cardiovascular diseases,High systolic blood pressure,81256757.69
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,High body-mass index,80849045.46
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,Tobacco,77458850.93
DALYs (Disability-Adjusted Life Years),Global,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",74078981.48
DALYs (Disability-Adjusted Life Years),Global,Female,Neonatal disorders,Child and maternal malnutrition,68598337.7
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,High fasting plasma glucose,67027187.12
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,Tobacco,60947160.01
DALYs (Disability-Adjusted Life Years),Global,Both,Respiratory infections and tuberculosis,Child and maternal malnutrition,60496670.21
DALYs (Disability-Adjusted Life Years),South Asia,Both,Neonatal disorders,Child and maternal malnutrition,60281937.68
DALYs (Disability-Adjusted Life Years),East Asia,Both,Cardiovascular diseases,Dietary risks,58379933.3
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,High LDL cholesterol,57500533.07
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Neonatal disorders,Child and maternal malnutrition,55128893.01
DALYs (Disability-Adjusted Life Years),Global,Both,Nutritional deficiencies,Child and maternal malnutrition,54530261.76
DALYs (Disability-Adjusted Life Years),Global,Both,Cancer,Tobacco,53657342.26
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Cardiovascular diseases,Dietary risks,53352774.01
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Cardiovascular diseases,Dietary risks,51201324.17
DALYs (Disability-Adjusted Life Years),East Asia,Both,Cardiovascular diseases,High systolic blood pressure,50263550.96
