key,description
Age,
Sex,"1 = male, 2 = female, 3 =other"
Children,Number of children
ChildrenUnder18,Number of children under 18 years
Education,"1 = less than high school, 7 = doctoral or professional degree"
SSES,"At the top of the ladder are the people who are the best off, have the most money, most education, and best jobs. These people are represented by number 10 marked on the ladder. At the bottom are the people who are the worst off, have the least money, least education, worst jobs, or no job. These people are represented by number 1 at the bottom of the ladder. "
OccupationRisk,"Has your occupation been identified as high-risk for COVID-19 transmission? 1 = no, 2 = not sure, 3 = yes"
MoveChildhood,How many times before the age of 18 did you move to a totally new neighborhood or town? 
Move,How many times since the age of 18 have you moved to a totally new neighborhood or town? 
NumberInHouse,How many people currently live in your household?
Preexisting,"Do you have any pre-existing health conditions that require you to take extra precautions to avoid catching a disease/illness? 1 = no, 2 = yes"
Citizen,
PFINeigh1,"When my neighborhood succeeds, I feel good. "
PFINeigh2,"When my neighborhood fails, I feel bad. "
PFINeigh3,I feel that my neighborhood's gains are my gains 
PFINeigh4,What is good for my neighborhood is good for me 
PFINeigh5,"Honestly, I don't care whether my neighborhood thrives or not "
PFINeigh6,My neighborhood and I rise and fall together (11)
WillingnessNeigh,"Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?"
NBTneigh,Helping someone from my neighborhood when they are in need is the right thing to do.
PFIcountry1,"When my country succeeds, I feel good. "
PFIcountry2,"When my country fails, I feel bad. "
PFIcountry3,I feel that my country's gains are my gains. 
PFIcountry4,What is good for my country is good for me. 
PFIcountry5,"Honestly, I don't care whether my country thrives or not. "
PFIcountry6,My country and I rise and fall together. 
WillingnessCountry,"A person who is a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?"
NBTcountry,Helping someone who is a citizen of your own country when they are in need is the right thing to do.
InfectedCovid,"Have you contracted COVID-19? 1 = no, 2 = maybe, 3 = yes"
TestedCovid,"If yes or maybe, have you tested positive? 1 = no, 2 = have not been tested, 3 = yes"
Symptoms1,"Fever or chills; (1 = no, 2 = yes)"
Symptoms2,"Cough; (1 = no, 2 = yes)"
Symptoms3,"Shortness of breath or difficulty breathing ; (1 = no, 2 = yes)"
Symptoms4,"Fatigue ; (1 = no, 2 = yes)"
Symptoms5,"Muscle or body aches; (1 = no, 2 = yes)"
Symptoms6,"Headache;(1 = no, 2 = yes)"
Symptoms7,"New loss of taste or smell; (1 = no, 2 = yes)"
Symptoms8,"Sore throat;(1 = no, 2 = yes)"
Symptoms9,"Congestion or runny nose; (1 = no, 2 = yes)"
Symptoms10,"Nausea or vomiting ; (1 = no, 2 = yes)"
Symptoms11,"Diarrhea;(1 = no, 2 = yes)"
Symptoms12,"Conjunctivitis (pink eye) (1 = no, 2 = yes)"
Symptoms13,"Purple or darker colored toes (1 = no, 2 = yes)"
WeekSinceCovid,"If yes or maybe, how many weeks ago did you contract COVID-19?"
ContactsInfected,How many people do you personally know who have been diagnosed by a physician or tested positive for COVID-19?
Contacts24hrs,"How many people (outside of your household) have you had in-person interactions with during the last 24 hours (e.g., visiting with friends, buying food or supplies from a cashier)?"
Contacts7days,"How many people (outside of your household) have you had in-person interactions with during the last 7 days(e.g., visiting with friends, buying food or supplies from a cashier)?"
ContactsMask,"During these in-person interactions, if you were closer than 6 feet (2 meters) from the person(s) did you wear a face mask?"
HouseMask,"When members of your household have in-person interactions where they are closer than 6 feet (2 meters) from others, do they wear a face mask?"
Stress,How stressed do you currently feel dealing with changes caused by COVID-19?
PerceptionRisk,"If you have never been infected with COVID-19, how likely do you think it is that you will become infected with COVID-19?"
InfectionSeverity,"If you have never been infected with COVID-19, how severe do expect your symptoms to be if you were to become infected with COVID-19?"
ConcernCovid,How anxious do you feel about the possibility of becoming sick (or sick again) with COVID-19? 
EconomyVSshutdown,"Government efforts to slow the spread of COVID-19 have led to severe economic consequences. Assuming your area has re-opened completely and a second wave hits in the winter, how should people in your area respond?"
HelpGiven1,"Giving money to someone you know who needs it (e.g., for rent, utilities, etc); 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
HelpGiven2,"Providing food or water (e.g., meals, groceries; 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
HelpGiven3,"Providing household supplies (e.g., medical, cleaning, etc); 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
HelpGiven4,"Providing help to someone who was sick, or injured; 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
HelpGiven5,"Providing help with child or dependent care; 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
HelpGiven6,"Providing emotional support; 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
EmpathyState1,To what extent did you feel each of the following emotions during this particular time that you helped someone that you know? - troubled
EmpathyState2,To what extent did you feel each of the following emotions during this particular time that you helped someone that you know? - distressed
