key,description
Age,
Sex,
Children,
Under12,Children under 12
Over12,Children over 12
Education,
SubjectiveSES,
Ethnicity,
English,
Fluent,Fluent in English
LivingSituation,
Preexisting,Preexisting  health conditions
MateSeeking1,I spend a lot of time thinking about ways to meet possible dating partners.
MateSeeking2,Starting a new romantic/sexual relationship is not a high priority for me.
PFIclose1,"When my close friend succeeds, I feel good."
PFIclose2,"When my close friend fails, I feel bad"
PFIclose3,I feel that my close friend's gain is my gain.
PFIclose4, What is good for my close friend is good for me.
PFIclose5,"Honestly, I don't care whether my close friend thrives or not."
PFIclose6,My close friend and I rise and fall together
CFIclose1," When something good happens to my close friend, that is ..."
CFIclose2,"When something bad happens to my close friend, that is ..."
CFIclose3,"When my close friend succeeds, I feel ..."
CFIclose4,"When my close friend fails, I feel ..."
CFIclose5, My close friend's gain is ...
CFIclose6,My close friend's loss is ...
PFIAcq1,"When my acquaintance succeeds, I feel good."
PFIAcq2,"When my acquaintance fails, I feel bad"
PFIAcq3, I feel that my acquaintance's gain is my gain.
PFIAcq4,What is good for my acquaintance is good for me.
PFIAcq5,"Honestly, I don't care whether my acquaintance thrives or not."
PFIAcq6,My acquaintance and I rise and fall together
CFIAcq1,"When something good happens to my acquaintance, that is ..."
CFIAcq2,"CFIAcq - When something bad happens to my acquaintance, that is ..."
CFIAcq3,"CFIAcq - When my acquaintance succeeds, I feel ..."
CFIAcq4,"CFIAcq - When my acquaintance fails, I feel ..."
CFIAcq5,My acquaintance's gain is ...
CFIAcq6,CFIAcq - My acquaintance's loss is ...
PSS1,"In the last month, how often have you been upset because of something that happened unexpectedly?"
PSS2,"In the last month, how often have you felt that you were unable to control the important things in your life?"
PSS3," In the last month, how often have you felt nervous and “stressed”?"
PSS4,"In the last month, how often have you felt confident about your ability to handle your personal problems?"
PSS5," In the last month, how often have you felt that things were going your way?"
PSS6,"In the last month, how often have you found that you could not cope with all the things that you had to do?"
PSS7,"In the last month, how often have you been able to control irritations in your life?"
PSS8," In the last month, how often have you felt that you were on top of things?"
PSS9,"In the last month, how often have you been angered because of things that were outside of your control?"
PSS10," In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?"
Stress,How stressed do you currently feel dealing with changes caused by COVID19?
Anxiety,How anxious do you feel when you think about the current events going on in the world?
Anxiety1,"Over the last two weeks, how often have you been bothered by the following problems? - Feeling nervous, anxious, or on edge"
Anxiety2,"Over the last two weeks, how often have you been bothered by the following problems? - Not being able to stop or control worrying"
Anxiety3,"Over the last two weeks, how often have you been bothered by the following problems? - Worrying too much about different things"
Anxiety4,"Over the last two weeks, how often have you been bothered by the following problems? - Trouble relaxing"
Anxiety5," Over the last two weeks, how often have you been bothered by the following problems? - Being so restless that it's hard to sit still"
Anxiety6,"Over the last two weeks, how often have you been bothered by the following problems? - Becoming easily annoyed or irritable"
Anxiety7,"Over the last two weeks, how often have you been bothered by the following problems? - Feeling afraid as if something awful might happen"
PerceptionsRisk,How likely do you think it is that you will contract COVID19?
PerceptionsRisk2,How likely is it that the epidemic will get a lot worse before it gets better?
PerceptionsRisk3,"How likely are you to avoid places where you might contract the virus (school, work, hospitals, etc.)?"
Riskmanagementtransfer,I am likely to ask parents or friends for help preparing for the COVID19 epidemic.
Riskmanagementretention,I have been stocking up on food and supplies so that I am prepared for the COVID19 epidemic.
Riskmanagementreduction,I try to reduce my risk of getting COVID19 by doing things like washing my hands often.
Riskmanagementavoidance,"I completely avoid situations that could put me at risk of contracting COVID19, like going to the grocery store when it is crowded."
RiskmanagementAvoid1,"I completely avoid situations that could put me at risk of contracting COVID19, for example staying away from large events where there have been cases."
RiskmanagementAvoid2,"I completely avoid situations that could put me at risk of contracting COVID19, for example not traveling to locations where there have been cases."
Riskmanagementreduction2,I try to reduce my risk of getting COVID19 by wearing a mask when I leave the house.
RiskmanagementavoidComposite,composite of avoidance questions
RiskmanagementreductionComposite,composite of reduction questions
DiseaseAvoidance1,I avoid places and people that might carry diseases.
DiseaseAvoidance2,I avoid people who might have a contagious illness.
DiseaseAvoidance3,I worry about catching colds and the flu from too much contact with other people.
DiseaseAvoidance4,I do not worry very much about getting germs from others.
DiseaseAvoidance5,"When someone near me is sick, it doesn't bother me very much."
DiseaseAvoidance6,I don't mind being around people who are sick.
CPR1,"If a stranger collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR."
CPR2,"If an acquaintance collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR."
CPR3,"If a family member collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR."
Delay1,I am considering delaying routine checkups and dentist visits.
NonfoodHave,How many days of non-food supplies do you currently have for your household?
NonfoodWant,How many days of non-food supplies would you like to have for your household?
FoodHave,How many days of food do you currently have for your household?
FoodWant,How many days of food would you like to have for your household?
Summer1,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the next week?"
Summer2,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the next month?"
Summer3,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the summer?"
Concern,How concerned are you about becoming infected with COVID19?
OtherConcern,How concerned are you about other matters (not-related to infection) associated with the COVID19 outbreak?
DiscussWith1,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Family
DiscussWith2,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Friends
DiscussWith3,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Coworkers
DiscussWith4,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Strangers
PFINeighEmpathy,"When my neighborhood succeeds, I feel good."
PFINeigh2,"When my neighborhood fails, I feel bad"
PFINeigh3,I feel that my neighborhood's gain is my gain.
PFINeigh4,What is good for my neighborhood is good for me.
PFINeigh5,"Honestly, I don't care whether my neighborhood thrives or not."
PFINeighSharedFate,My neighborhood and I rise and fall together
CFINeigh1,"When something good happens to my neighborhood, that is ..."
CFINeigh2,"When something bad happens to my neighborhood, that is ..."
CFINeigh3,"When my neighborhood succeeds, I feel ..."
CFINeigh4,"When my neighborhood fails, I feel ..."
CFINeigh5,My neighborhood's gain is ...
CFINeigh6,My neighborhood's loss is ...
WillingnessNeigh1,"During a winter storm, someone from your neighborhood knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?"
WillingnessNeigh2,Someone from your neighborhood has no water in their house. How willing would you be to fill their jugs with water from your tap?
WillingnessNeigh,"Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?"
WillingnessNeigh4,How willing would you be to help someone from your neighborhood move boxes into their new apartment?
RepayNeigh1,How much repayment or compensation would you expect for helping someone from your neighborhood?
NBTNeigh,Helping someone from my neighborhood when they are in need is the right thing to do.
NBTNeigh2,I get a strong urge to help when I see that someone from my neighborhood is upset.
PFICountry1,"When my country succeeds, I feel good."
PFICountry2,"When my country fails, I feel bad"
PFICountry3,I feel that my country's gain is my gain.
PFICountry4,What is good for my country is good for me.
PFICountry5,"Honestly, I don't care whether my country thrives or not."
PFICountry6,My country and I rise and fall together
CFICountry1,"When something good happens to my country, that is ..."
CFICountry2,"When something bad happens to my country, that is ..."
CFICountry3,"When my country succeeds, I feel ..."
CFICountry4,"When my country fails, I feel ..."
CFICountry5,My country's gain is ...
CFICountry6,My country's loss is ...
WillingnessCountry1,"During a winter storm, a displaced person who is a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?"
WillingnessCountry2,A displaced person who is a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap?
WillingnessCountry3," A displaced person who is a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?"
WillingnessCountry4,How willing would you be to help a displaced person who is a citizen of your own country move boxes into their new apartment?
RepayCountry1,How much repayment or compensation would you expect for helping someone from a displaced person who is a citizen of your own country?
NBTCommunity1,Helping a displaced person who is a citizen of your own country when they are in need is the right thing to do.
NBTCommunity2,I get a strong urge to help when I see that a displaced citizen from my own country is upset.
PFIHumanityEmpathy,"When all of humanity succeeds, I feel good."
PFIHumanity2,"When all of humanity fails, I feel bad"
PFIHumanity3,I feel that all of humanity's gain is my gain.
PFIHumanity4,What is good for my all of humanity is good for me.
PFIHumanity5,"Honestly, I don't care whether all of humanity thrives or not."
PFIHumanitySharedFate,All of humanity and I rise and fall together
CFIHumanity1,"When something good happens to all of humanity, that is ..."
CFIHumanity2,"When something bad happens to all of humanity, that is ..."
CFIHumanity3,"When all of humanity succeeds, I feel ..."
CFIHumanity4,"CFIHumanity - When all of humanity fails, I feel ..."
CFIHumanity5,All of humanity's gain is ...
CFIHumanity6,All of humanity's loss is ...
WillingnessHumanity1,"During a winter storm, a displaced person who is not a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?"
WillingnessHumanity2,A displaced person who is not a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap?
