Name,03/06/2020,03/14/2020,03/24/2020,04/03/2020,04/17/2020,05/02/2020,05/16/2020,05/30/2020,06/13/2020,06/27/2020,07/11/2020,07/25/2020,08/08/2020,08/22/2020
Age,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sex,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Children,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Under12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Over12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Education,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SubjectiveSES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethnicity,1,1,1,1,1,1,1,1,1,1,1,1,1,1
English,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fluent,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LivingSituation,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Preexisting,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MateSeeking1,,1,1,1,,,,,,,,,,
MateSeeking2,,1,1,1,,,,,,,,,,
PFIclose1,1,1,,,,,,,,,,,,
PFIclose2,1,1,,,,,,,,,,,,
PFIclose3,1,1,,,,,,,,,,,,
PFIclose4,1,1,,,,,,,,,,,,
PFIclose5,1,1,,,,,,,,,,,,
PFIclose6,1,1,,,,,,,,,,,,
CFIclose1,1,,,,,,,,,,,,,
CFIclose2,1,,,,,,,,,,,,,
CFIclose3,1,,,,,,,,,,,,,
CFIclose4,1,,,,,,,,,,,,,
CFIclose5,1,,,,,,,,,,,,,
CFIclose6,1,,,,,,,,,,,,,
PFIAcq1,1,,,,,,,,,,,1,1,
PFIAcq2,1,,,,,,,,,,,1,1,
PFIAcq3,1,,,,,,,,,,,1,1,
PFIAcq4,1,,,,,,,,,,,1,1,
PFIAcq5,1,,,,,,,,,,,1,1,
PFIAcq6,1,,,,,,,,,,,1,1,
CFIAcq1,1,,,,,,,,,,,,,
CFIAcq2,1,,,,,,,,,,,,,
CFIAcq3,1,,,,,,,,,,,,,
CFIAcq4,1,,,,,,,,,,,,,
CFIAcq5,1,,,,,,,,,,,,,
CFIAcq6,1,,,,,,,,,,,,,
PSS1,1,1,,,,,,,,,,,,
PSS2,1,1,,,,,,,,,,,,
PSS3,1,1,,,,,,,,,,,,
PSS4,1,1,,,,,,,,,,,,
PSS5,1,1,,,,,,,,,,,,
PSS6,1,1,,,,,,,,,,,,
PSS7,1,1,,,,,,,,,,,,
PSS8,1,1,,,,,,,,,,,,
PSS9,1,1,,,,,,,,,,,,
PSS10,1,1,,,,,,,,,,,,
Stress,,,1,1,1,1,1,1,1,1,1,1,1,1
Anxiety,,,1,1,,,,,,,,,,
Anxiety1,1,1,,,,,,,,,,,,
Anxiety2,1,1,,,,,,,,,,,,
Anxiety3,1,1,,,,,,,,,,,,
Anxiety4,1,1,,,,,,,,,,,,
Anxiety5,1,1,,,,,,,,,,,,
Anxiety6,1,1,,,,,,,,,,,,
Anxiety7,1,1,,,,,,,,,,,,
PerceptionsRisk,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PerceptionsRisk2,1,1,,,,,,,,,,,,
PerceptionsRisk3,1,1,,,,,,,,,,,,
Riskmanagementtransfer,1,1,1,1,1,1,1,1,1,1,1,,1,1
Riskmanagementretention,1,1,1,1,1,1,1,1,1,1,1,,1,1
Riskmanagementreduction,1,1,1,1,1,1,1,1,1,1,1,,1,1
Riskmanagementavoidance,,,1,1,1,1,1,1,1,1,1,,1,1
RiskmanagementAvoid1,1,1,,,,,,,,,,,,
RiskmanagementAvoid2,1,1,,,,,,,,,,,,
Riskmanagementreduction2,1,1,,,,,,,,,,,,
RiskmanagementavoidComposite,1,1,,,,,,,,,,,,
RiskmanagementreductionComposite,1,1,,,,,,,,,,,,
DiseaseAvoidance1,1,1,,,,,,,,,,,,
DiseaseAvoidance2,1,1,,,,,,,,,,,,
DiseaseAvoidance3,1,1,,,,,,,,,,,,
DiseaseAvoidance4,1,1,,,,,,,,,,,,
DiseaseAvoidance5,1,1,,,,,,,,,,,,
DiseaseAvoidance6,1,1,,,,,,,,,,,,
CPR1,1,1,,,,,,,,,,,,
CPR2,1,1,,,,,,,,,,,,
CPR3,1,1,,,,,,,,,,,,
Delay1,1,1,,,,,,,,,,,,
NonfoodHave,1,1,,,,,,,,,,,,
NonfoodWant,1,1,,,,,,,,,,,,
FoodHave,1,1,1,1,1,1,1,1,1,1,1,,1,1
FoodWant,1,1,1,1,1,1,1,1,1,1,1,,1,1
Summer1,1,1,,,,,,,,,,,,
Summer2,1,1,,,,,,,,,,,,
Summer3,1,1,,,,,,,,,,,,
Concern,1,1,,,,,,,,,,,,
OtherConcern,1,1,,,,,,,,,,,,
DiscussWith1,1,1,,,,,,,,,,,,
DiscussWith2,1,1,,,,,,,,,,,,
DiscussWith3,1,1,,,,,,,,,,,,
DiscussWith4,1,1,,,,,,,,,,,,
PFINeighEmpathy,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PFINeigh2,1,1,,,,,,,,,,,,
PFINeigh3,1,1,,,,,,,,,,,,
PFINeigh4,1,1,,,,,,,,,,,,
PFINeigh5,1,1,,,,,,,,,,,,
PFINeighSharedFate,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CFINeigh1,1,,,,,,,,,,,,,
CFINeigh2,1,,,,,,,,,,,,,
CFINeigh3,1,,,,,,,,,,,,,
CFINeigh4,1,,,,,,,,,,,,,
CFINeigh5,1,,,,,,,,,,,,,
CFINeigh6,1,,,,,,,,,,,,,
WillingnessNeigh1,1,1,,,,,,,,,,,,
WillingnessNeigh2,1,1,,,,,,,,,,,,
WillingnessNeigh,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WillingnessNeigh4,1,1,,,,,,,,,,,,
RepayNeigh1,1,1,,,,,,,,,,,,
NBTNeigh,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NBTNeigh2,1,1,,,,,,,,,,,,
PFICountry1,1,,,,,,,,,,,,,
PFICountry2,1,,,,,,,,,,,,,
PFICountry3,1,,,,,,,,,,,,,
PFICountry4,1,,,,,,,,,,,,,
PFICountry5,1,,,,,,,,,,,,,
PFICountry6,1,,,,,,,,,,,,,
CFICountry1,1,,,,,,,,,,,,,
CFICountry2,1,,,,,,,,,,,,,
CFICountry3,1,,,,,,,,,,,,,
CFICountry4,1,,,,,,,,,,,,,
CFICountry5,1,,,,,,,,,,,,,
CFICountry6,1,,,,,,,,,,,,,
WillingnessCountry1,1,,,,,,,,,,,,,
WillingnessCountry2,1,,,,,,,,,,,,,
WillingnessCountry3,1,,,,,,,,,,,,,
