State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Pennsylvania,Age,45.75757576,45.60714286,44.85185185,45.16666667,48.66666667,49.91304348,48.05263158,46.09090909,46.76470588,45.46153846,45.86666667,51.18181818
Virginia,Age,43.7,46.54545455,42.16666667,48.78571429,44.08333333,47,39.42857143,46,49.125,50.8,47.5,43.75
Tennessee,Age,46.875,51.5,49.91666667,49.18181818,48.6,48.75,51.11111111,52.77777778,60.5,52.2,53,55.5
California,Age,44.71875,45.2027027,47.38571429,47.04615385,47.13432836,48.6,47.17307692,47.87272727,48.12244898,48.17647059,49.5,51.34782609
Georgia,Age,47.17948718,50.16666667,54.15,52.2,53.45,54.5,57,55.35294118,54.5,57.47058824,56.38888889,54.66666667
Texas,Age,44.95652174,46.85714286,48,47.70212766,49.86046512,48.79487179,48.45454545,51.3030303,49.51515152,50.51428571,51.5,47.81081081
Massachusetts,Age,46,49.35294118,50.55,50.88235294,51.8125,51.8,52.09090909,52.125,55.5,52.16666667,51.1875,50.25
New York,Age,38.55555556,44.575,49.08108108,47.53846154,48.86206897,50.22222222,50.53846154,51.30769231,51.5,49.23529412,49.22222222,50.5
Kentucky,Age,48.71428571,51.33333333,49.15384615,48.54545455,48.81818182,48.90909091,53.14285714,50.44444444,54.71428571,53.88888889,53.125,53
Maryland,Age,40.0625,48.9,44.45454545,45.08333333,50.4,49.8,53.22222222,51.1,51.2,47.77777778,51.125,49.77777778
Washington,Age,47.26923077,53.94117647,51.84210526,49.23529412,50.88235294,53.17647059,50.08333333,51.07692308,50.91666667,55.16666667,53.45454545,53.6
Indiana,Age,46.33333333,47.53846154,47.92857143,48.07142857,47.6,49.6,50,52.4,53.88888889,57.85714286,56,58.125
Ohio,Age,51.36111111,55.16,54.07407407,54,54.73913043,54.33333333,54.15789474,56.33333333,56.125,56.05263158,54.57142857,54.56521739
Michigan,Age,53.48148148,53.86956522,55.375,53.70833333,56.1,56.47368421,55.76190476,53.77777778,53,56.86666667,56.5,55.85714286
Hawaii,Age,46.2,47.75,46.4,48,46.75,46.6,48,46.8,57.5,55,52.33333333,57.5
North Carolina,Age,48.36363636,48.5,50.36363636,51,56.47368421,52.52941176,51.68421053,52.61111111,52.72222222,52.89473684,50.68421053,51.8125
Oregon,Age,44.66666667,45.78571429,44.33333333,46,47.8,47.8,47.77777778,47.77777778,45,44.44444444,47.5,48.66666667
New Mexico,Age,56.75,64,66.66666667,66.66666667,66.66666667,61,67.33333333,67.33333333,61.5,67.33333333,61.5,62
Florida,Age,51.26760563,53.01923077,54.57407407,55.79166667,54.40816327,55.97674419,55.975,56.5,56.13157895,57.07894737,54.53846154,56.02857143
Illinois,Age,47.31034483,46.375,48.86363636,49.90909091,48.52380952,49.14285714,48.38461538,46.11764706,50.28571429,47.0625,52.07142857,50.42857143
Arizona,Age,49.59090909,51.06666667,50.52941176,50.57894737,49.0625,53.26666667,53.21428571,49.125,51.35714286,50.5,51.44444444,52.58333333
Colorado,Age,56.07692308,59.1,60,58.77777778,60.1,55.3,58,60.71428571,58.125,58.125,57.9,59.55555556
Oklahoma,Age,47.92857143,54.66666667,51.77777778,54.125,54.5,53.6,51.83333333,56.16666667,56.66666667,53.2,55.42857143,55.85714286
Missouri,Age,48.08333333,47.72727273,51.88888889,46.7,48.28571429,49.33333333,58.16666667,56.16666667,56.16666667,56.16666667,53.71428571,55.2
Arkansas,Age,45.77777778,46.5,51.25,51.6,58,58,56.25,51.5,56.75,58.66666667,59,58.66666667
Idaho,Age,47.5,50.66666667,47,51,51.33333333,60,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667,51.66666667
Alabama,Age,37.33333333,40.71428571,39.375,39.375,47.66666667,38.33333333,47.5,34.5,49,,,
West Virginia,Age,49,49.25,49.25,49.25,54.66666667,56.5,41.5,49,49,49.33333333,49.33333333,49.33333333
Puerto Rico,Age,31,31,31,31,31,31,31,31,31,31,31,32
Vermont,Age,47.33333333,47.33333333,54.5,54.5,54.5,54.5,54.5,55,71,55.5,55.5,72
Montana,Age,63,63,63,63,64,64,,64,64,64,64,
Wisconsin,Age,46.8,49.81818182,48.66666667,50.27272727,49.07692308,50.44444444,50.55555556,51.5,57.85714286,54.77777778,61.6,54
Kansas,Age,50.2,50.2,60,48.25,59.66666667,60.5,50.66666667,47,52,69,,
District of Columbia,Age,46.5,65,47,47,66,66,47,66,66,,66,66
Louisiana,Age,43.625,43.75,40.71428571,40.85714286,44.125,47.16666667,43.16666667,46.42857143,47.33333333,41.2,43.66666667,43.66666667
Minnesota,Age,40,40,50.25,47.8,55.33333333,64,57,57,57,,29,43.5
South Carolina,Age,51.53846154,53.63636364,51.33333333,47.9,54.22222222,49.375,53.33333333,58.75,53.75,60.2,60.2,54.16666667
Iowa,Age,42,46.2,52.75,46.4,52.75,50.66666667,47,55.5,45.66666667,37,55.5,55.5
New Jersey,Age,49.4,51.13636364,53.75,48.42105263,47.73684211,53.38461538,52.9,52.6,53.45454545,51.25,53.11111111,58
Nebraska,Age,48.2,54,48.2,48.4,54.25,54.25,62.33333333,54.5,62.33333333,55,63,63
New Hampshire,Age,57.25,56.66666667,56.66666667,56.66666667,65.5,63.66666667,66,63.66666667,66,66,66.5,66.5
