index,Country,Week,Deaths_old,Deaths_2020,Deaths_2021
0,Sweden,1,1975.4,1822.0,2301.0
1,Sweden,2,1952.6,1891.0,2277.0
2,Sweden,3,1947.4,1831.0,2237.0
3,Sweden,4,1923.6,1730.0,2061.0
4,Sweden,5,1886.6,1848.0,1842.0
5,Sweden,6,1890.2,1728.0,1858.0
6,Sweden,7,1927.4,1824.0,1830.0
7,Sweden,8,1991.4,1777.0,1789.0
8,Sweden,9,1977.0,1778.0,1631.0
9,Sweden,10,1915.0,1826.0,1767.0
10,Sweden,11,1899.8,1730.0,1600.0
11,Sweden,12,1798.0,1865.0,899.0
12,Sweden,13,1820.6,2040.0,0.0
13,Sweden,14,1803.8,2383.0,0.0
14,Sweden,15,1747.0,2569.0,0.0
15,Sweden,16,1761.2,2525.0,0.0
16,Sweden,17,1695.4,2269.0,0.0
17,Sweden,18,1649.0,2239.0,0.0
18,Sweden,19,1637.2,2182.0,0.0
19,Sweden,20,1572.0,1989.0,0.0
20,Sweden,21,1562.4,1918.0,0.0
21,Sweden,22,1562.0,1656.0,0.0
22,Sweden,23,1537.0,1751.0,0.0
23,Sweden,24,1525.0,1721.0,0.0
24,Sweden,25,1536.4,1670.0,0.0
25,Sweden,26,1559.6,1674.0,0.0
26,Sweden,27,1579.4,1565.0,0.0
27,Sweden,28,1566.6,1571.0,0.0
28,Sweden,29,1572.6,1513.0,0.0
29,Sweden,30,1561.6,1540.0,0.0
30,Sweden,31,1582.4,1547.0,0.0
31,Sweden,32,1529.6,1571.0,0.0
32,Sweden,33,1527.6,1517.0,0.0
33,Sweden,34,1538.8,1578.0,0.0
34,Sweden,35,1587.6,1486.0,0.0
35,Sweden,36,1571.6,1517.0,0.0
36,Sweden,37,1550.6,1527.0,0.0
37,Sweden,38,1568.8,1513.0,0.0
38,Sweden,39,1593.4,1563.0,0.0
39,Sweden,40,1640.2,1547.0,0.0
40,Sweden,41,1650.8,1543.0,0.0
41,Sweden,42,1627.2,1612.0,0.0
42,Sweden,43,1670.4,1570.0,0.0
43,Sweden,44,1695.4,1691.0,0.0
44,Sweden,45,1663.0,1673.0,0.0
45,Sweden,46,1689.8,1868.0,0.0
46,Sweden,47,1665.2,1989.0,0.0
47,Sweden,48,1737.8,1959.0,0.0
48,Sweden,49,1786.0,2148.0,0.0
49,Sweden,50,1752.6,2117.0,0.0
50,Sweden,51,1800.6,2299.0,0.0
51,Sweden,52,1830.8,2316.0,0.0
52,Sweden,53,1914.0,2374.0,0.0
53,Finland,1,1165.2,1046.0,1098.0
54,Finland,2,1180.4,1068.0,1121.0
55,Finland,3,1172.4,1059.0,1200.0
56,Finland,4,1127.2,1039.0,1150.0
57,Finland,5,1137.6,1074.0,1089.0
58,Finland,6,1123.0,1115.0,1048.0
59,Finland,7,1098.8,1098.0,1147.0
60,Finland,8,1095.2,1091.0,1109.0
61,Finland,9,1120.2,1050.0,1058.0
62,Finland,10,1102.6,1106.0,999.0
63,Finland,11,1102.8,1105.0,1011.0
64,Finland,12,1087.6,1122.0,0.0
65,Finland,13,1064.0,1108.0,0.0
66,Finland,14,1077.0,1108.0,0.0
67,Finland,15,1047.4,1180.0,0.0
68,Finland,16,1057.8,1094.0,0.0
69,Finland,17,1015.4,1142.0,0.0
70,Finland,18,1037.8,1131.0,0.0
71,Finland,19,991.4,1074.0,0.0
72,Finland,20,970.8,1104.0,0.0
73,Finland,21,958.6,957.0,0.0
74,Finland,22,950.4,990.0,0.0
75,Finland,23,966.2,984.0,0.0
76,Finland,24,950.0,1003.0,0.0
77,Finland,25,967.0,1067.0,0.0
78,Finland,26,950.6,1021.0,0.0
79,Finland,27,945.8,997.0,0.0
80,Finland,28,943.0,943.0,0.0
81,Finland,29,959.6,1023.0,0.0
82,Finland,30,973.4,964.0,0.0
83,Finland,31,938.6,982.0,0.0
84,Finland,32,924.8,954.0,0.0
85,Finland,33,950.4,977.0,0.0
86,Finland,34,958.6,1017.0,0.0
87,Finland,35,963.0,988.0,0.0
88,Finland,36,967.2,979.0,0.0
89,Finland,37,965.0,1123.0,0.0
90,Finland,38,986.6,1043.0,0.0
91,Finland,39,990.8,1087.0,0.0
92,Finland,40,1016.4,977.0,0.0
93,Finland,41,1022.8,984.0,0.0
94,Finland,42,1015.4,1072.0,0.0
95,Finland,43,1034.8,1071.0,0.0
96,Finland,44,1032.6,1128.0,0.0
97,Finland,45,1008.6,1040.0,0.0
98,Finland,46,994.8,1020.0,0.0
99,Finland,47,1023.2,1112.0,0.0
100,Finland,48,1032.6,1099.0,0.0
101,Finland,49,1058.0,1098.0,0.0
102,Finland,50,1060.6,1089.0,0.0
103,Finland,51,1088.2,1091.0,0.0
104,Finland,52,1162.4,938.0,0.0
105,Finland,53,1103.0,931.0,0.0
106,Luxembourg,1,86.8,62.0,101.0
107,Luxembourg,2,94.6,85.0,96.0
108,Luxembourg,3,87.4,92.0,89.0
109,Luxembourg,4,89.2,86.0,110.0
110,Luxembourg,5,97.2,89.0,94.0
111,Luxembourg,6,97.0,90.0,89.0
112,Luxembourg,7,97.2,70.0,93.0
113,Luxembourg,8,90.4,85.0,86.0
114,Luxembourg,9,87.6,74.0,89.0
115,Luxembourg,10,102.0,92.0,114.0
116,Luxembourg,11,81.6,87.0,0.0
117,Luxembourg,12,86.0,87.0,0.0
118,Luxembourg,13,86.2,113.0,0.0
119,Luxembourg,14,83.6,91.0,0.0
120,Luxembourg,15,71.6,116.0,0.0
121,Luxembourg,16,79.0,88.0,0.0
122,Luxembourg,17,74.2,83.0,0.0
123,Luxembourg,18,71.8,69.0,0.0
124,Luxembourg,19,70.4,87.0,0.0
125,Luxembourg,20,71.4,80.0,0.0
126,Luxembourg,21,76.4,77.0,0.0
127,Luxembourg,22,69.2,77.0,0.0
128,Luxembourg,23,73.8,73.0,0.0
129,Luxembourg,24,74.6,70.0,0.0
130,Luxembourg,25,66.6,78.0,0.0
131,Luxembourg,26,68.8,67.0,0.0
132,Luxembourg,27,75.2,70.0,0.0
133,Luxembourg,28,80.4,73.0,0.0
134,Luxembourg,29,72.2,73.0,0.0
135,Luxembourg,30,74.8,71.0,0.0
136,Luxembourg,31,75.0,91.0,0.0
137,Luxembourg,32,74.6,93.0,0.0
138,Luxembourg,33,74.0,99.0,0.0
139,Luxembourg,34,67.2,72.0,0.0
140,Luxembourg,35,76.0,61.0,0.0
141,Luxembourg,36,76.0,86.0,0.0
142,Luxembourg,37,73.8,73.0,0.0
143,Luxembourg,38,67.4,87.0,0.0
144,Luxembourg,39,80.8,75.0,0.0
145,Luxembourg,40,77.2,82.0,0.0
146,Luxembourg,41,84.8,69.0,0.0
147,Luxembourg,42,74.8,87.0,0.0
148,Luxembourg,43,74.4,93.0,0.0
149,Luxembourg,44,85.2,98.0,0.0
150,Luxembourg,45,83.0,113.0,0.0
151,Luxembourg,46,79.2,117.0,0.0
152,Luxembourg,47,85.0,126.0,0.0
153,Luxembourg,48,74.2,134.0,0.0
154,Luxembourg,49,78.6,110.0,0.0
155,Luxembourg,50,82.8,126.0,0.0
156,Luxembourg,51,83.8,105.0,0.0
157,Luxembourg,52,84.2,117.0,0.0
158,Luxembourg,53,83.0,97.0,0.0
159,Greece,1,2825.25,2751.0,2645.0
160,Greece,2,2969.0,2923.0,2488.0
161,Greece,3,2837.25,2863.0,2645.0
162,Greece,4,2785.5,2774.0,2619.0
163,Greece,5,2787.25,2990.0,2494.0
164,Greece,6,2678.25,2850.0,2458.0
165,Greece,7,2535.75,2782.0,2525.0
166,Greece,8,2472.75,2469.0,2664.0
167,Greece,9,2479.25,2545.0,0.0
168,Greece,10,2426.0,2645.0,0.0
169,Greece,11,2396.0,2594.0,0.0
170,Greece,12,2341.0,2548.0,0.0
171,Greece,13,2302.25,2439.0,0.0
172,Greece,14,2348.0,2454.0,0.0
173,Greece,15,2312.75,2362.0,0.0
174,Greece,16,2251.5,2268.0,0.0
175,Greece,17,2246.0,2203.0,0.0
176,Greece,18,2274.25,2307.0,0.0
177,Greece,19,2167.75,2128.0,0.0
178,Greece,20,2132.75,2474.0,0.0
179,Greece,21,2067.75,2329.0,0.0
180,Greece,22,2228.75,1961.0,0.0
181,Greece,23,2176.75,2101.0,0.0
182,Greece,24,2261.25,2211.0,0.0
183,Greece,25,2385.0,2354.0,0.0
184,Greece,26,2378.5,2181.0,0.0
185,Greece,27,2358.75,2671.0,0.0
186,Greece,28,2255.5,2304.0,0.0
187,Greece,29,2134.0,2137.0,0.0
188,Greece,30,2240.0,2235.0,0.0
189,Greece,31,2312.0,2714.0,0.0
190,Greece,32,2404.25,2528.0,0.0
191,Greece,33,2264.0,2367.0,0.0
192,Greece,34,2156.25,2361.0,0.0
193,Greece,35,2155.75,2298.0,0.0
194,Greece,36,2083.75,2315.0,0.0
195,Greece,37,2054.5,2274.0,0.0
196,Greece,38,2018.0,2276.0,0.0
197,Greece,39,2001.75,2156.0,0.0
198,Greece,40,2122.75,2223.0,0.0
199,Greece,41,2136.5,2214.0,0.0
200,Greece,42,2164.75,2144.0,0.0
201,Greece,43,2191.25,2223.0,0.0
202,Greece,44,2236.5,2413.0,0.0
203,Greece,45,2298.5,2547.0,0.0
204,Greece,46,2279.5,2784.0,0.0
205,Greece,47,2351.0,3149.0,0.0
206,Greece,48,2364.0,3297.0,0.0
207,Greece,49,2429.0,3336.0,0.0
208,Greece,50,2458.75,3115.0,0.0
209,Greece,51,2515.75,2938.0,0.0
210,Greece,52,2615.5,2763.0,0.0
211,Greece,53,0.0,2678.0,0.0
212,Hungary,1,2885.4,2609.0,3204.0
213,Hungary,2,2918.4,2586.0,3181.0
214,Hungary,3,2924.6,2582.0,2995.0
215,Hungary,4,3016.6,2720.0,2803.0
216,Hungary,5,3056.2,2800.0,2793.0
217,Hungary,6,3068.4,2635.0,2770.0
218,Hungary,7,2983.4,2750.0,2823.0
219,Hungary,8,2955.8,2586.0,3003.0
220,Hungary,9,2893.8,2782.0,2901.0
221,Hungary,10,2812.0,2605.0,3211.0
222,Hungary,11,2709.2,2577.0,0.0
223,Hungary,12,2635.2,2801.0,0.0
224,Hungary,13,2591.6,2591.0,0.0
225,Hungary,14,2510.6,2525.0,0.0
226,Hungary,15,2478.2,2572.0,0.0
227,Hungary,16,2430.2,2509.0,0.0
228,Hungary,17,2436.8,2356.0,0.0
229,Hungary,18,2367.0,2250.0,0.0
230,Hungary,19,2314.6,2291.0,0.0
231,Hungary,20,2271.8,2344.0,0.0
232,Hungary,21,2275.8,2111.0,0.0
233,Hungary,22,2286.6,2192.0,0.0
234,Hungary,23,2262.2,2397.0,0.0
235,Hungary,24,2292.0,2288.0,0.0
236,Hungary,25,2250.0,2071.0,0.0
237,Hungary,26,2193.4,2263.0,0.0
238,Hungary,27,2219.0,2314.0,0.0
239,Hungary,28,2281.0,2173.0,0.0
240,Hungary,29,2279.2,2112.0,0.0
241,Hungary,30,2380.4,2152.0,0.0
242,Hungary,31,2309.4,2359.0,0.0
243,Hungary,32,2284.8,2312.0,0.0
244,Hungary,33,2306.6,2265.0,0.0
