index,Country,Cases,Cases_2020,Cases_2021,Cases_2022,Cases_week,Deaths,Deaths_2020,Deaths_2021,Deaths_2022,Deaths_week,Fully_vaccinated,Vaccinated_booster
1,Afghanistan,205612.0,52330.0,105754,47528.0,1.6186,7833.0,2189.0,5167,477.0,0.0070,25.61,0.0
2,Albania,333330.0,58316.0,151908,123106.0,3.7193,3594.0,1181.0,2036,377.0,0.0000,44.62,13.08
3,Algeria,271061.0,99610.0,118822,52629.0,0.1209,6881.0,2756.0,3520,605.0,0.0000,14.43,1.28
4,Andorra,46824.0,8049.0,15691,23084.0,0.0000,156.0,84.0,56,16.0,0.0000,66.99,53.83
5,Angola,104491.0,17553.0,64040,22898.0,0.0000,1923.0,405.0,1365,153.0,0.0241,21.96,3.17
6,Anguilla,3904.0,13.0,1661,2230.0,0.0000,12.0,0.0,5,7.0,0.0000,65.29,18.88
7,Antigua and Barbuda,9106.0,159.0,4124,4823.0,0.0000,146.0,5.0,114,27.0,0.0000,66.53,10.49
8,Argentina,9727247.0,1625514.0,4028894,4072839.0,10.4309,130025.0,43245.0,73924,12856.0,0.0251,83.22,69.11
9,Armenia,445631.0,159409.0,185521,100701.0,6.0627,8709.0,2823.0,5149,737.0,0.0000,0.0,0.0
10,Aruba,43568.0,5489.0,14972,23107.0,99.3004,236.0,49.0,132,55.0,1.3419,78.8,0.0
11,Australia,10649747.0,28425.0,374524,10246798.0,488.2454,16100.0,909.0,1339,13852.0,0.6549,82.73,74.55
12,Austria,5547582.0,360815.0,917804,4268963.0,474.4371,21187.0,6222.0,7511,7454.0,0.6871,0.0,73.78
13,Azerbaijan,824232.0,218700.0,398247,207285.0,3.8341,9976.0,2641.0,5717,1618.0,0.0551,46.94,32.46
14,Bahamas,37476.0,7871.0,16605,13000.0,8.0141,833.0,170.0,547,116.0,0.0000,40.4,8.94
15,Bahrain,695914.0,92675.0,189387,413852.0,93.0557,1536.0,352.0,1042,142.0,0.1940,83.32,68.47
16,Bangladesh,2036527.0,513510.0,1072029,450988.0,0.1336,29431.0,7559.0,20513,1359.0,0.0009,73.08,34.4
17,Barbados,103955.0,383.0,28182,75390.0,61.3739,564.0,7.0,253,304.0,0.0000,55.0,22.07
18,Belarus,994037.0,194284.0,504826,294927.0,0.0000,7118.0,1424.0,4154,1540.0,0.0000,67.08,38.1
19,Belgium,4633112.0,646496.0,1458847,2527769.0,72.6301,33042.0,19528.0,8803,4711.0,0.2574,78.63,98.67
20,Belize,69012.0,10776.0,22064,36172.0,8.4597,688.0,248.0,354,86.0,0.3524,54.58,12.59
21,Benin,27922.0,3251.0,21684,2987.0,0.0000,163.0,44.0,117,2.0,0.0000,20.17,0.0
22,Bermuda,18463.0,604.0,5816,12043.0,0.0000,151.0,10.0,100,41.0,0.0000,74.22,55.81
23,Bhutan,62488.0,670.0,1990,59828.0,5.1121,21.0,0.0,3,18.0,0.0000,86.61,81.11
24,Bolivia,1110701.0,160124.0,439629,510948.0,5.9719,22246.0,9165.0,10515,2566.0,0.0234,50.4,17.73
25,Bonaire Sint Eustatius and Saba,11544.0,196.0,3210,8138.0,147.8634,38.0,3.0,20,15.0,0.0000,0.0,0.0
26,Bosnia and Herzegovina,400466.0,110985.0,180328,109153.0,5.7434,16200.0,4050.0,9392,2758.0,0.4419,0.0,0.0
27,Botswana,326344.0,14805.0,204704,106835.0,0.0000,2790.0,42.0,2402,346.0,0.0000,53.7,18.95
28,Brazil,35149503.0,7681032.0,14610807,12857664.0,60.5741,689442.0,195072.0,424262,70108.0,0.1666,80.2,55.18
29,British Virgin Islands,7305.0,86.0,3406,3813.0,0.0000,64.0,1.0,38,25.0,0.0000,58.28,11.89
30,Brunei,253406.0,157.0,15313,237936.0,1356.0233,225.0,3.0,95,127.0,0.0000,99.28,75.4
