location,sex,age,cause,value
Afghanistan,Female,10 to 19,Conflict and terrorism,11.95
Afghanistan,Both,10 to 19,Transport injuries,15.21
Afghanistan,Both,20 to 29,Transport injuries,15.62
Afghanistan,Male,30 to 39,Cardiovascular diseases,18.36
Afghanistan,Both,30 to 39,Cardiovascular diseases,19.7
Afghanistan,Female,30 to 39,Cardiovascular diseases,21.08
Afghanistan,Female,20 to 29,Maternal and neonatal disorders,22.07
Afghanistan,Male,10 to 19,Transport injuries,22.11
Afghanistan,Male,All ages,Cardiovascular diseases,22.66
Afghanistan,Both,All ages,Cardiovascular diseases,24.65
Afghanistan,Male,20 to 29,Transport injuries,24.65
Afghanistan,Female,0 to 9,Maternal and neonatal disorders,24.88
Afghanistan,Female,All ages,Cardiovascular diseases,26.67
Afghanistan,Both,0 to 9,Maternal and neonatal disorders,27.41
Afghanistan,Male,0 to 9,Maternal and neonatal disorders,29.57
Afghanistan,Female,40 to 49,Cardiovascular diseases,36.12
Afghanistan,Both,40 to 49,Cardiovascular diseases,36.78
Afghanistan,Male,40 to 49,Cardiovascular diseases,37.52
Afghanistan,Female,50 to 59,Cardiovascular diseases,43.94
Afghanistan,Both,50 to 59,Cardiovascular diseases,44.76
Afghanistan,Female,60 to 69,Cardiovascular diseases,45.68
Afghanistan,Male,50 to 59,Cardiovascular diseases,45.71
Afghanistan,Both,60 to 69,Cardiovascular diseases,46.13
Afghanistan,Male,60 to 69,Cardiovascular diseases,46.84
Afghanistan,Male,70 to 79,Cardiovascular diseases,47.1
Afghanistan,Male,80 to 89,Cardiovascular diseases,47.42
Afghanistan,Male,90+,Cardiovascular diseases,47.44
Afghanistan,Both,70 to 79,Cardiovascular diseases,48.58
Afghanistan,Female,70 to 79,Cardiovascular diseases,49.84
Afghanistan,Both,90+,Cardiovascular diseases,50.43
Afghanistan,Both,80 to 89,Cardiovascular diseases,50.53
Afghanistan,Female,80 to 89,Cardiovascular diseases,53.67
Afghanistan,Female,90+,Cardiovascular diseases,54.53
Albania,Both,10 to 19,Cancer,18.8
Albania,Both,20 to 29,Transport injuries,19.76
Albania,Male,10 to 19,Unintentional injuries,20.77
Albania,Male,20 to 29,Transport injuries,23.5
Albania,Female,0 to 9,Maternal and neonatal disorders,25.74
Albania,Male,30 to 39,Cardiovascular diseases,26.4
Albania,Female,10 to 19,Cancer,26.92
Albania,Both,30 to 39,Cancer,28.08
Albania,Female,20 to 29,Cancer,30.3
Albania,Both,0 to 9,Maternal and neonatal disorders,32.78
Albania,Male,40 to 49,Cardiovascular diseases,34.83
Albania,Male,0 to 9,Maternal and neonatal disorders,39.05
Albania,Male,50 to 59,Cancer,40.67
Albania,Both,40 to 49,Cancer,40.79
Albania,Both,50 to 59,Cancer,43.24
Albania,Male,60 to 69,Cardiovascular diseases,46.39
Albania,Female,30 to 39,Cancer,47.5
Albania,Both,60 to 69,Cardiovascular diseases,47.67
Albania,Female,50 to 59,Cancer,49.14
Albania,Female,60 to 69,Cardiovascular diseases,50.73
Albania,Male,All ages,Cardiovascular diseases,53.52
Albania,Female,40 to 49,Cancer,56.17
Albania,Male,70 to 79,Cardiovascular diseases,56.56
Albania,Both,All ages,Cardiovascular diseases,56.94
Albania,Both,70 to 79,Cardiovascular diseases,59.87
Albania,Female,All ages,Cardiovascular diseases,61.42
Albania,Female,70 to 79,Cardiovascular diseases,64.97
Albania,Male,80 to 89,Cardiovascular diseases,66.31
Albania,Both,80 to 89,Cardiovascular diseases,68.41
Albania,Male,90+,Cardiovascular diseases,69.06
Albania,Both,90+,Cardiovascular diseases,70.39
Albania,Female,80 to 89,Cardiovascular diseases,71.01
Albania,Female,90+,Cardiovascular diseases,71.56
Algeria,Female,20 to 29,Transport injuries,22.56
Algeria,Female,30 to 39,Cardiovascular diseases,22.81
Algeria,Female,10 to 19,Transport injuries,23.91
Algeria,Both,30 to 39,Transport injuries,25.16
Algeria,Male,30 to 39,Transport injuries,31.38
Algeria,Both,10 to 19,Transport injuries,34.74
Algeria,Female,40 to 49,Cardiovascular diseases,35.03
Algeria,Both,20 to 29,Transport injuries,35.89
Algeria,Both,40 to 49,Cardiovascular diseases,37.44
Algeria,Male,40 to 49,Cardiovascular diseases,39.77
Algeria,Male,10 to 19,Transport injuries,42.22
Algeria,Male,20 to 29,Transport injuries,42.99
Algeria,Female,50 to 59,Cardiovascular diseases,45.05
Algeria,Female,0 to 9,Maternal and neonatal disorders,46.04
Algeria,Male,All ages,Cardiovascular diseases,46.71
Algeria,Both,0 to 9,Maternal and neonatal disorders,47.06
Algeria,Male,0 to 9,Maternal and neonatal disorders,47.99
Algeria,Both,50 to 59,Cardiovascular diseases,48.2
Algeria,Both,All ages,Cardiovascular diseases,48.69
Algeria,Male,50 to 59,Cardiovascular diseases,50.79
Algeria,Female,All ages,Cardiovascular diseases,50.94
Algeria,Both,60 to 69,Cardiovascular diseases,53.98
Algeria,Male,60 to 69,Cardiovascular diseases,53.99
Algeria,Female,60 to 69,Cardiovascular diseases,54.04
Algeria,Male,70 to 79,Cardiovascular diseases,56.93
Algeria,Both,70 to 79,Cardiovascular diseases,58.99
Algeria,Male,80 to 89,Cardiovascular diseases,60.93
Algeria,Female,70 to 79,Cardiovascular diseases,61.36
Algeria,Male,90+,Cardiovascular diseases,63.13
Algeria,Both,80 to 89,Cardiovascular diseases,64.4
Algeria,Both,90+,Cardiovascular diseases,65.73
Algeria,Female,80 to 89,Cardiovascular diseases,67.47
Algeria,Female,90+,Cardiovascular diseases,70.65
American Samoa,Both,All ages,Cardiovascular diseases,33.51
American Samoa,Female,All ages,Cardiovascular diseases,33.95
American Samoa,Male,All ages,Cardiovascular diseases,34.32
American Samoa,Female,50 to 59,Cardiovascular diseases,38.88
American Samoa,Both,70 to 79,Cardiovascular diseases,40
American Samoa,Both,60 to 69,Cardiovascular diseases,40.62
American Samoa,Both,50 to 59,Cardiovascular diseases,40.81
American Samoa,Female,60 to 69,Cardiovascular diseases,40.9
American Samoa,Both,80 to 89,Cardiovascular diseases,41.07
American Samoa,Male,80 to 89,Cardiovascular diseases,45.45
American Samoa,Male,70 to 79,Cardiovascular diseases,46.87
American Samoa,Male,60 to 69,Cardiovascular diseases,47.05
American Samoa,Female,70 to 79,Cardiovascular diseases,48.14
American Samoa,Both,40 to 49,Cardiovascular diseases,50
American Samoa,Female,40 to 49,Cancer,50
American Samoa,Male,50 to 59,Cardiovascular diseases,50
American Samoa,Female,80 to 89,Cardiovascular diseases,52
American Samoa,Both,90+,Cardiovascular diseases,54.54
American Samoa,Male,40 to 49,Cardiovascular diseases,60
American Samoa,Both,0 to 9,Maternal and neonatal disorders,66.66
American Samoa,Both,30 to 39,Cardiovascular diseases,66.66
American Samoa,Female,90+,Cardiovascular diseases,80
American Samoa,Both,20 to 29,Unintentional injuries,100
American Samoa,Female,0 to 9,Maternal and neonatal disorders,100
American Samoa,Male,0 to 9,Maternal and neonatal disorders,100
American Samoa,Male,20 to 29,Unintentional injuries,100
American Samoa,Male,30 to 39,Cardiovascular diseases,100
American Samoa,Male,90+,Cardiovascular diseases,100
Andorra,Female,All ages,Cardiovascular diseases,33.58
Andorra,Both,80 to 89,Cardiovascular diseases,35
Andorra,Male,90+,Cardiovascular diseases,36.17
Andorra,Both,All ages,Cancer,37.54
Andorra,Both,90+,Cardiovascular diseases,40.15
Andorra,Male,80 to 89,Cancer,40.96
Andorra,Female,80 to 89,Cardiovascular diseases,42.64
Andorra,Male,All ages,Cancer,45.16
Andorra,Female,70 to 79,Cancer,45.94
Andorra,Female,90+,Cardiovascular diseases,47.29
Andorra,Both,70 to 79,Cancer,50.84
Andorra,Male,70 to 79,Cancer,58.57
Andorra,Both,60 to 69,Cancer,68.11
Andorra,Male,60 to 69,Cancer,71.11
Andorra,Female,60 to 69,Cancer,72.22
Andorra,Both,40 to 49,Cancer,73.33
Andorra,Male,50 to 59,Cancer,74.07
Andorra,Both,50 to 59,Cancer,75
Andorra,Male,40 to 49,Cancer,85.71
Andorra,Female,50 to 59,Cancer,90.9
Andorra,Both,30 to 39,Cancer,100
Andorra,Female,40 to 49,Cancer,100
Andorra,Male,30 to 39,Cancer,100
Angola,Both,All ages,Cardiovascular diseases,13.9
Angola,Male,All ages,Respiratory infections and tuberculosis,14.58
Angola,Female,All ages,Cardiovascular diseases,15.08
Angola,Female,10 to 19,Transport injuries,17.41
Angola,Male,40 to 49,Respiratory infections and tuberculosis,18.32
Angola,Female,50 to 59,Cardiovascular diseases,20.47
Angola,Male,30 to 39,HIV/AIDS and sexually transmitted infections,20.77
Angola,Both,50 to 59,Cardiovascular diseases,21.33
Angola,Both,20 to 29,HIV/AIDS and sexually transmitted infections,21.79
Angola,Male,50 to 59,Cardiovascular diseases,21.99
Angola,Both,10 to 19,Transport injuries,22.06
Angola,Male,10 to 19,Transport injuries,25.35
Angola,Female,0 to 9,Maternal and neonatal disorders,25.89
Angola,Both,40 to 49,HIV/AIDS and sexually transmitted infections,26.27
Angola,Male,20 to 29,Transport injuries,27.86
Angola,Male,90+,Cardiovascular diseases,28.47
Angola,Male,60 to 69,Cardiovascular diseases,28.54
Angola,Both,0 to 9,Maternal and neonatal disorders,28.74
Angola,Male,80 to 89,Cardiovascular diseases,29.93
Angola,Both,60 to 69,Cardiovascular diseases,30.02
Angola,Male,70 to 79,Cardiovascular diseases,30.76
Angola,Male,0 to 9,Maternal and neonatal disorders,31.01
Angola,Female,60 to 69,Cardiovascular diseases,32.08
Angola,Both,90+,Cardiovascular diseases,33.54
Angola,Both,30 to 39,HIV/AIDS and sexually transmitted infections,36.17
Angola,Female,90+,Cardiovascular diseases,36.38
Angola,Both,70 to 79,Cardiovascular diseases,36.44
Angola,Both,80 to 89,Cardiovascular diseases,37.18
Angola,Female,40 to 49,HIV/AIDS and sexually transmitted infections,37.2
Angola,Female,20 to 29,HIV/AIDS and sexually transmitted infections,38.67
Angola,Female,70 to 79,Cardiovascular diseases,42.47
Angola,Female,80 to 89,Cardiovascular diseases,43.18
Angola,Female,30 to 39,HIV/AIDS and sexually transmitted infections,50.18
Antigua and Barbuda,Both,30 to 39,Cancer,25
Antigua and Barbuda,Male,All ages,Cardiovascular diseases,30.89
Antigua and Barbuda,Both,40 to 49,Cancer,33.33
Antigua and Barbuda,Both,50 to 59,Cancer,33.33
Antigua and Barbuda,Both,All ages,Cardiovascular diseases,33.33
Antigua and Barbuda,Both,60 to 69,Cardiovascular diseases,36.73
Antigua and Barbuda,Female,All ages,Cardiovascular diseases,37.19
Antigua and Barbuda,Both,70 to 79,Cardiovascular diseases,38.93
Antigua and Barbuda,Male,80 to 89,Cardiovascular diseases,38.98
Antigua and Barbuda,Male,70 to 79,Cardiovascular diseases,39.34
Antigua and Barbuda,Female,60 to 69,Cardiovascular diseases,40
Antigua and Barbuda,Male,60 to 69,Cardiovascular diseases,41.3
Antigua and Barbuda,Both,80 to 89,Cardiovascular diseases,41.48
Antigua and Barbuda,Male,50 to 59,Cardiovascular diseases,42.3
Antigua and Barbuda,Female,70 to 79,Cardiovascular diseases,43.1
Antigua and Barbuda,Female,50 to 59,Cancer,47.82
Antigua and Barbuda,Male,90+,Cardiovascular diseases,50
Antigua and Barbuda,Female,80 to 89,Cardiovascular diseases,52.38
Antigua and Barbuda,Both,90+,Cardiovascular diseases,54.76
Antigua and Barbuda,Female,90+,Cardiovascular diseases,59.25
Antigua and Barbuda,Male,40 to 49,Cardiovascular diseases,60
Antigua and Barbuda,Female,40 to 49,Cancer,66.66
Antigua and Barbuda,Both,0 to 9,Maternal and neonatal disorders,80
Antigua and Barbuda,Both,20 to 29,Unintentional injuries,100
Antigua and Barbuda,Female,0 to 9,Maternal and neonatal disorders,100
Antigua and Barbuda,Female,30 to 39,Cancer,100
Antigua and Barbuda,Male,0 to 9,Maternal and neonatal disorders,100
Antigua and Barbuda,Male,20 to 29,Unintentional injuries,100
Argentina,Male,30 to 39,Transport injuries,16.51
Argentina,Female,10 to 19,Cancer,16.88
Argentina,Female,20 to 29,Cancer,19.23
Argentina,Both,10 to 19,Transport injuries,19.91
Argentina,Both,20 to 29,Transport injuries,21.18
Argentina,Male,40 to 49,Cancer,21.63
Argentina,Both,30 to 39,Cancer,21.96
Argentina,Male,10 to 19,Transport injuries,22.1
Argentina,Male,20 to 29,Transport injuries,24
Argentina,Male,All ages,Cardiovascular diseases,27.73
Argentina,Both,All ages,Cardiovascular diseases,29.16
Argentina,Female,70 to 79,Cardiovascular diseases,30.42
Argentina,Both,70 to 79,Cardiovascular diseases,30.63
Argentina,Female,All ages,Cardiovascular diseases,30.7
Argentina,Male,70 to 79,Cardiovascular diseases,30.81
Argentina,Male,50 to 59,Cancer,30.89
Argentina,Both,40 to 49,Cancer,31.04
Argentina,Male,80 to 89,Cardiovascular diseases,32.04
Argentina,Male,60 to 69,Cancer,33.35
Argentina,Male,90+,Cardiovascular diseases,33.82
Argentina,Both,80 to 89,Cardiovascular diseases,34.65
Argentina,Both,60 to 69,Cancer,36.16
Argentina,Female,80 to 89,Cardiovascular diseases,36.64
Argentina,Female,30 to 39,Cancer,37.03
Argentina,Both,50 to 59,Cancer,37.15
Argentina,Both,90+,Cardiovascular diseases,38.23
Argentina,Female,0 to 9,Maternal and neonatal disorders,39.99
Argentina,Female,90+,Cardiovascular diseases,40.13
Argentina,Both,0 to 9,Maternal and neonatal disorders,40.68
Argentina,Female,60 to 69,Cancer,40.83
Argentina,Male,0 to 9,Maternal and neonatal disorders,41.43
Argentina,Female,40 to 49,Cancer,46.14
Argentina,Female,50 to 59,Cancer,47.81
Armenia,Both,20 to 29,Cancer,18.88
Armenia,Male,30 to 39,Cardiovascular diseases,20.46
Armenia,Male,20 to 29,Transport injuries,22.47
Armenia,Both,30 to 39,Cancer,25.05
Armenia,Male,10 to 19,Unintentional injuries,25.86
Armenia,Both,10 to 19,Cancer,28.75
Armenia,Male,0 to 9,Maternal and neonatal disorders,29.24
Armenia,Both,40 to 49,Cancer,31.33
Armenia,Both,0 to 9,Maternal and neonatal disorders,32.08
Armenia,Male,40 to 49,Cardiovascular diseases,36.05
Armenia,Female,60 to 69,Cardiovascular diseases,36.92
Armenia,Both,50 to 59,Cardiovascular diseases,37.21
Armenia,Female,0 to 9,Maternal and neonatal disorders,38.42
Armenia,Both,60 to 69,Cardiovascular diseases,40.03
Armenia,Male,50 to 59,Cardiovascular diseases,42.05
Armenia,Male,60 to 69,Cardiovascular diseases,42.08
Armenia,Female,20 to 29,Cancer,42.85
Armenia,Male,All ages,Cardiovascular diseases,45.37
Armenia,Male,70 to 79,Cardiovascular diseases,47.78
Armenia,Both,All ages,Cardiovascular diseases,48.29
Armenia,Female,50 to 59,Cancer,48.32
Armenia,Both,70 to 79,Cardiovascular diseases,49.59
Armenia,Female,30 to 39,Cancer,50.76
Armenia,Female,All ages,Cardiovascular diseases,51.42
Armenia,Female,70 to 79,Cardiovascular diseases,51.67
Armenia,Female,10 to 19,Cancer,53.33
Armenia,Female,40 to 49,Cancer,56.25
Armenia,Male,80 to 89,Cardiovascular diseases,56.39
Armenia,Both,80 to 89,Cardiovascular diseases,59.99
Armenia,Male,90+,Cardiovascular diseases,61.91
Armenia,Female,80 to 89,Cardiovascular diseases,62.57
Armenia,Both,90+,Cardiovascular diseases,64.67
Armenia,Female,90+,Cardiovascular diseases,66.58
Australia,Both,30 to 39,Cancer,22.39
Australia,Female,10 to 19,Transport injuries,23.11
Australia,Female,20 to 29,Suicide,23.79
Australia,Male,30 to 39,Suicide,25.61
Australia,Both,10 to 19,Transport injuries,26.35
Australia,Male,40 to 49,Cancer,27.87
Australia,Male,10 to 19,Transport injuries,28.65
Australia,Both,20 to 29,Suicide,31.21
Australia,Both,All ages,Cancer,31.43
Australia,Female,All ages,Cardiovascular diseases,31.93
Australia,Male,80 to 89,Cardiovascular diseases,33.33
Australia,Male,All ages,Cancer,34.2
Australia,Male,20 to 29,Suicide,34.4
Australia,Both,80 to 89,Cardiovascular diseases,34.7
Australia,Female,30 to 39,Cancer,36.09
Australia,Female,80 to 89,Cardiovascular diseases,36.14
Australia,Both,40 to 49,Cancer,36.22
Australia,Both,0 to 9,Maternal and neonatal disorders,40.33
Australia,Male,90+,Cardiovascular diseases,40.41
Australia,Male,0 to 9,Maternal and neonatal disorders,40.62
Australia,Female,0 to 9,Maternal and neonatal disorders,41.15
Australia,Female,70 to 79,Cancer,42.88
Australia,Both,70 to 79,Cancer,43.28
Australia,Male,50 to 59,Cancer,43.53
Australia,Male,70 to 79,Cancer,43.59
Australia,Both,90+,Cardiovascular diseases,43.68
Australia,Female,90+,Cardiovascular diseases,45.5
Australia,Both,50 to 59,Cancer,49.43
Australia,Male,60 to 69,Cancer,49.89
Australia,Female,40 to 49,Cancer,50.02
Australia,Both,60 to 69,Cancer,52.66
Australia,Female,60 to 69,Cancer,57.18
Australia,Female,50 to 59,Cancer,58.89
Austria,Both,30 to 39,Cancer,24.04
Austria,Female,10 to 19,Transport injuries,25.58
Austria,Female,20 to 29,Cancer,25.8
Austria,Male,30 to 39,Suicide,26.23
Austria,Male,40 to 49,Cancer,27.3
Austria,Both,10 to 19,Transport injuries,27.45
Austria,Both,20 to 29,Suicide,29.72
Austria,Male,10 to 19,Transport injuries,30.69
Austria,Male,20 to 29,Suicide,33.22
Austria,Male,All ages,Cardiovascular diseases,36.38
Austria,Both,40 to 49,Cancer,36.57
Austria,Male,70 to 79,Cancer,37.15
Austria,Both,70 to 79,Cancer,37.61
Austria,Female,70 to 79,Cancer,38.33
Austria,Male,50 to 59,Cancer,39.49
Austria,Both,All ages,Cardiovascular diseases,40
Austria,Both,0 to 9,Other non-communicable diseases,40.41
Austria,Male,0 to 9,Other non-communicable diseases,42.48
Austria,Female,0 to 9,Other non-communicable diseases,42.97
Austria,Female,30 to 39,Cancer,43.06
Austria,Male,60 to 69,Cancer,43.42
Austria,Female,All ages,Cardiovascular diseases,43.44
Austria,Male,80 to 89,Cardiovascular diseases,44.82
Austria,Both,50 to 59,Cancer,46.06
Austria,Both,60 to 69,Cancer,46.96
Austria,Both,80 to 89,Cardiovascular diseases,46.96
Austria,Female,80 to 89,Cardiovascular diseases,48.82
Austria,Male,90+,Cardiovascular diseases,51.97
Austria,Female,60 to 69,Cancer,53.4
Austria,Female,40 to 49,Cancer,53.75
Austria,Both,90+,Cardiovascular diseases,55.52
Austria,Female,90+,Cardiovascular diseases,57.04
Austria,Female,50 to 59,Cancer,58.73
Azerbaijan,Both,20 to 29,Cancer,15.75
Azerbaijan,Male,20 to 29,Unintentional injuries,17.24
Azerbaijan,Both,10 to 19,Cancer,20.83
Azerbaijan,Male,10 to 19,Unintentional injuries,21.09
Azerbaijan,Female,20 to 29,Cancer,23.52
Azerbaijan,Both,30 to 39,Cardiovascular diseases,24.29
Azerbaijan,Female,10 to 19,Cancer,24.4
Azerbaijan,Male,30 to 39,Cardiovascular diseases,25.23
Azerbaijan,Female,30 to 39,Cancer,35.67
Azerbaijan,Female,0 to 9,Respiratory infections and tuberculosis,36.45
Azerbaijan,Both,40 to 49,Cardiovascular diseases,37.75
Azerbaijan,Both,0 to 9,Maternal and neonatal disorders,39.2
Azerbaijan,Female,40 to 49,Cancer,41.24
Azerbaijan,Male,40 to 49,Cardiovascular diseases,41.35
Azerbaijan,Female,50 to 59,Cardiovascular diseases,43.86
Azerbaijan,Male,0 to 9,Maternal and neonatal disorders,44.84
Azerbaijan,Both,50 to 59,Cardiovascular diseases,48.01
Azerbaijan,Male,50 to 59,Cardiovascular diseases,50.33
Azerbaijan,Male,All ages,Cardiovascular diseases,52.84
Azerbaijan,Both,All ages,Cardiovascular diseases,56.09
Azerbaijan,Male,60 to 69,Cardiovascular diseases,57.58
Azerbaijan,Both,60 to 69,Cardiovascular diseases,57.72
Azerbaijan,Female,60 to 69,Cardiovascular diseases,58.15
Azerbaijan,Female,All ages,Cardiovascular diseases,59.98
Azerbaijan,Male,70 to 79,Cardiovascular diseases,67.16
Azerbaijan,Both,70 to 79,Cardiovascular diseases,69.54
Azerbaijan,Female,70 to 79,Cardiovascular diseases,71.86
Azerbaijan,Male,80 to 89,Cardiovascular diseases,74.82
Azerbaijan,Male,90+,Cardiovascular diseases,76.93
Azerbaijan,Both,80 to 89,Cardiovascular diseases,77.06
Azerbaijan,Both,90+,Cardiovascular diseases,78.62
Azerbaijan,Female,80 to 89,Cardiovascular diseases,78.63
Azerbaijan,Female,90+,Cardiovascular diseases,80.12
Bahamas,Both,30 to 39,Interpersonal violence,17.96
Bahamas,Both,40 to 49,Cardiovascular diseases,23.5
Bahamas,Male,40 to 49,Cardiovascular diseases,24.85
Bahamas,Male,30 to 39,Interpersonal violence,25
Bahamas,Female,20 to 29,HIV/AIDS and sexually transmitted infections,28.57
Bahamas,Female,30 to 39,Cancer,28.57
Bahamas,Male,All ages,Cardiovascular diseases,30.13
Bahamas,Both,All ages,Cardiovascular diseases,31.91
Bahamas,Both,50 to 59,Cardiovascular diseases,32.66
Bahamas,Female,All ages,Cardiovascular diseases,34.46
Bahamas,Both,20 to 29,Interpersonal violence,35.18
Bahamas,Male,50 to 59,Cardiovascular diseases,35.68
Bahamas,Female,60 to 69,Cardiovascular diseases,35.93
Bahamas,Both,60 to 69,Cardiovascular diseases,37.26
Bahamas,Female,50 to 59,Cancer,37.41
Bahamas,Female,40 to 49,Cancer,37.5
Bahamas,Male,70 to 79,Cardiovascular diseases,39.27
Bahamas,Both,10 to 19,Unintentional injuries,39.28
Bahamas,Male,60 to 69,Cardiovascular diseases,39.62
Bahamas,Both,70 to 79,Cardiovascular diseases,40.63
Bahamas,Male,80 to 89,Cardiovascular diseases,40.86
Bahamas,Male,10 to 19,Unintentional injuries,43.75
Bahamas,Female,70 to 79,Cardiovascular diseases,44.13
Bahamas,Male,20 to 29,Interpersonal violence,44.15
Bahamas,Both,80 to 89,Cardiovascular diseases,44.52
Bahamas,Male,90+,Cardiovascular diseases,45.9
Bahamas,Both,0 to 9,Maternal and neonatal disorders,46.51
Bahamas,Both,90+,Cardiovascular diseases,47.45
Bahamas,Female,10 to 19,Unintentional injuries,50
Bahamas,Female,80 to 89,Cardiovascular diseases,50.22
Bahamas,Female,90+,Cardiovascular diseases,53.46
Bahamas,Male,0 to 9,Maternal and neonatal disorders,55
Bahamas,Female,0 to 9,Maternal and neonatal disorders,56.25
Bahrain,Both,30 to 39,Cardiovascular diseases,19.59
Bahrain,Male,30 to 39,Cardiovascular diseases,22.09
Bahrain,Female,20 to 29,Cancer,23.52
Bahrain,Both,40 to 49,Cardiovascular diseases,29.06
Bahrain,Both,All ages,Cardiovascular diseases,29.85
Bahrain,Male,All ages,Cardiovascular diseases,29.86
