SourceCountry,TargetCountry,Type,Total,Coal,Oil,NaturalGas,Electricity
BMU,NLD,Export,0.0000001,0,0.0000001,0,0
BTN,FRA,Export,0.0000001,0,0.0000001,0,0
CPV,KOR,Export,0.0000001,0,0.0000001,0,0
GUY,NLD,Export,0.0000001,0,0.0000001,0,0
NCL,CAN,Export,0.0000001,0,0.0000001,0,0
AIA,BRB,Import,0.0000001,0,0.0000001,0,0
SSD,CHN,Import,0.0000001,0,0.0000001,0,0
WSM,CHN,Export,0.0000001,0,0.0000001,0,0
AFG,BEL,Export,0.0000002,0,0.0000002,0,0
MMR,NLD,Export,0.0000002,0,0.0000002,0,0
GUY,CUW,Export,0.0000002,0,0.0000002,0,0
MNP,PLW,Export,0.0000002,0,0.0000002,0,0
PRY,AGO,Export,0.0000002,0,0.0000002,0,0
VCT,ATG,Export,0.0000002,0,0.0000002,0,0
SYC,TZA,Export,0.0000002,0,0.0000002,0,0
SSD,NLD,Import,0.0000002,0,0.0000002,0,0
DJI,NLD,Export,0.0000003,0,0.0000003,0,0
PRY,BRB,Export,0.0000003,0.0000003,0,0,0
BWA,COD,Export,0.0000004,0,0.0000004,0,0
DMA,ATG,Export,0.0000004,0,0.0000004,0,0
TON,DEU,Export,0.0000004,0,0.0000004,0,0
BGD,CHE,Export,0.0000005,0,0.0000005,0,0
BDI,FRA,Export,0.0000005,0,0.0000005,0,0
PYF,DEU,Export,0.0000005,0,0.0000005,0,0
MLI,SGP,Export,0.0000005,0,0.0000005,0,0
MSR,MNE,Export,0.0000005,0,0.0000005,0,0
BGD,CAN,Export,0.0000006,0,0.0000006,0,0
ARM,USA,Export,0.0000006,0,0.0000006,0,0
GUY,DEU,Export,0.0000006,0,0.0000006,0,0
PYF,NCL,Export,0.0000007,0,0.0000007,0,0
NCL,MYS,Export,0.0000007,0,0.0000007,0,0
SHN,CAN,Import,0.0000007,0,0.0000007,0,0
VGB,AGO,Export,0.0000008,0,0.0000008,0,0
LAO,FIN,Import,0.0000008,0,0.0000008,0,0
LAO,IDN,Export,0.0000008,0,0.0000008,0,0
VCT,BRB,Export,0.0000008,0.0000008,0,0,0
AFG,BHR,Export,0.0000009,0,0.0000009,0,0
SLB,SGP,Export,0.0000009,0,0.0000009,0,0
