Country,Region,IncomeGroup,Area,Measure,Value
Afghanistan,Middle East/Central Asia,Low income,Built up land,Biocapacity,0.046125014
Afghanistan,Middle East/Central Asia,Low income,Cropland,Biocapacity,0.251691077
Afghanistan,Middle East/Central Asia,Low income,Fishing grounds,Biocapacity,0
Afghanistan,Middle East/Central Asia,Low income,Forest,Biocapacity,0.019240324
Afghanistan,Middle East/Central Asia,Low income,Grazing land,Biocapacity,0.187020286
Afghanistan,Middle East/Central Asia,Low income,Total,Biocapacity,0.504076701
Afghanistan,Middle East/Central Asia,Low income,Built up land,Ecological deficit or reserve,0
Afghanistan,Middle East/Central Asia,Low income,Cropland,Ecological deficit or reserve,-0.062226229
Afghanistan,Middle East/Central Asia,Low income,Fishing grounds,Ecological deficit or reserve,-0.000247764
Afghanistan,Middle East/Central Asia,Low income,Forest,Ecological deficit or reserve,-0.205858243
Afghanistan,Middle East/Central Asia,Low income,Grazing land,Ecological deficit or reserve,0.000148876
Afghanistan,Middle East/Central Asia,Low income,Total,Ecological deficit or reserve,-0.268183361
Afghanistan,Middle East/Central Asia,Low income,Built up land,Ecological footprint of consumption,0.046125014
Afghanistan,Middle East/Central Asia,Low income,Cropland,Ecological footprint of consumption,0.313917307
Afghanistan,Middle East/Central Asia,Low income,Fishing grounds,Ecological footprint of consumption,0.000247764
Afghanistan,Middle East/Central Asia,Low income,Forest,Ecological footprint of consumption,0.225098566
Afghanistan,Middle East/Central Asia,Low income,Grazing land,Ecological footprint of consumption,0.186871411
Afghanistan,Middle East/Central Asia,Low income,Total,Ecological footprint of consumption,0.772260062
Albania,Other Europe,Upper-middle,Built up land,Biocapacity,0.039772281
Albania,Other Europe,Upper-middle,Cropland,Biocapacity,0.395455656
Albania,Other Europe,Upper-middle,Fishing grounds,Biocapacity,0.081883656
Albania,Other Europe,Upper-middle,Forest,Biocapacity,0.315863091
Albania,Other Europe,Upper-middle,Grazing land,Biocapacity,0.21857232
Albania,Other Europe,Upper-middle,Total,Biocapacity,1.051547003
Albania,Other Europe,Upper-middle,Built up land,Ecological deficit or reserve,0
Albania,Other Europe,Upper-middle,Cropland,Ecological deficit or reserve,-0.254683901
Albania,Other Europe,Upper-middle,Fishing grounds,Ecological deficit or reserve,0.05661298
Albania,Other Europe,Upper-middle,Forest,Ecological deficit or reserve,-0.871645432
Albania,Other Europe,Upper-middle,Grazing land,Ecological deficit or reserve,-0.020371281
Albania,Other Europe,Upper-middle,Total,Ecological deficit or reserve,-1.090087634
Albania,Other Europe,Upper-middle,Built up land,Ecological footprint of consumption,0.039772281
Albania,Other Europe,Upper-middle,Cropland,Ecological footprint of consumption,0.650139557
Albania,Other Europe,Upper-middle,Fishing grounds,Ecological footprint of consumption,0.025270675
Albania,Other Europe,Upper-middle,Forest,Ecological footprint of consumption,1.187508523
Albania,Other Europe,Upper-middle,Grazing land,Ecological footprint of consumption,0.238943601
Albania,Other Europe,Upper-middle,Total,Ecological footprint of consumption,2.141634637
Algeria,Africa,Upper-middle,Built up land,Biocapacity,0.028062842
Algeria,Africa,Upper-middle,Cropland,Biocapacity,0.202869592
Algeria,Africa,Upper-middle,Fishing grounds,Biocapacity,0.008251253
Algeria,Africa,Upper-middle,Forest,Biocapacity,0.028272274
Algeria,Africa,Upper-middle,Grazing land,Biocapacity,0.274074612
Algeria,Africa,Upper-middle,Total,Biocapacity,0.541530572
Algeria,Africa,Upper-middle,Built up land,Ecological deficit or reserve,0
Algeria,Africa,Upper-middle,Cropland,Ecological deficit or reserve,-0.379815428
Algeria,Africa,Upper-middle,Fishing grounds,Ecological deficit or reserve,-0.007189137
